ENSSHAP00000007571	ENSSHAG00000006580	Sarcophilus_harrisii	ENSSHAT00000007634
ENSMODP00000038857	ENSMODG00000027692	Monodelphis_domestica	ENSMODT00000041963
ENSPTRP00000066979	ENSPTRG00000046614	Pan_troglodytes	ENSPTRT00000107020
ENSPPAP00000003414	ENSPPAG00000014326	Pan_paniscus	ENSPPAT00000015700
ENSGGOP00000052155	ENSGGOG00000043704	Gorilla_gorilla	ENSGGOT00000065765
ENSP00000488568	ENSG00000239642	Homo_sapiens	ENST00000442687
ENSNLEP00000025243	ENSNLEG00000027562	Nomascus_leucogenys
ENSCATP00000028346	ENSCATG00000037472	Cercocebus_atys
ENSMLEP00000023612	ENSMLEG00000035990	Mandrillus_leucophaeus
ENSTGEP00000022081	ENSTGEG00000017831	Theropithecus_gelada
ENSPANP00000029855	ENSPANG00000033439	Papio_anubis
ENSMFAP00000039910	ENSMFAG00000046133	Macaca_fascicularis
ENSMNEP00000034097	ENSMNEG00000040265	Macaca_nemestrina
ENSCANP00000007930	ENSCANG00000026048	Colobus_angolensis_palliatus
ENSPTEP00000003621	ENSPTEG00000004281	Piliocolobus_tephrosceles
ENSRROP00000015466	ENSRROG00000031919	Rhinopithecus_roxellana
ENSRBIP00000023711	ENSRBIG00000035772	Rhinopithecus_bieti
ENSSBOP00000026677	ENSSBOG00000029771	Saimiri_boliviensis_boliviensis
ENSCCAP00000018715	ENSCCAG00000027198	Cebus_capucinus_imitator
ENSCJAP00000064435	ENSCJAG00000048685	Callithrix_jacchus
ENSANAP00000003447	ENSANAG00000019654	Aotus_nancymaae
ENSTSYP00000022464	ENSTSYG00000037227	Carlito_syrichta
ENSMICP00000034353	ENSMICG00000034049	Microcebus_murinus
ENSPSMP00000032657	ENSPSMG00000022585	Prolemur_simus
ENSPCOP00000008715	ENSPCOG00000015659	Propithecus_coquereli
ENSHGLP00000015110	ENSHGLG00000010823	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100003137	ENSHGLG00100002398	Heterocephalus_glaber_HetGla_1.0
ENSCLAP00000020360	ENSCLAG00000013946	Chinchilla_lanigera
MGP_SPRETEiJ_P0028082	MGP_SPRETEiJ_G0017199	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000091745	ENSMUSG00000020332	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000006112	ENSMSIG00000005478	Mus_spicilegus
MGP_CAROLIEiJ_P0026711	MGP_CAROLIEiJ_G0016357	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0033482	MGP_PahariEiJ_G0017492	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000031709	ENSRNOG00000026596	Rattus_norvegicus
ENSMUGP00000029790	ENSMUGG00000024725	Meriones_unguiculatus
ENSCGRP00015028555	ENSCGRG00015021594	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001013830	ENSCGRG00001014860	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000020660	ENSCGRG00000015032	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000007488	ENSMAUG00000009150	Mesocricetus_auratus
ENSMOCP00000023828	ENSMOCG00000020433	Microtus_ochrogaster
ENSPEMP00000024350	ENSPEMG00000021124	Peromyscus_maniculatus_bairdii
ENSNGAP00000020364	ENSNGAG00000019878	Nannospalax_galili
ENSOCUP00000027037	ENSOCUG00000029222	Oryctolagus_cuniculus
ENSECAP00000014460	ENSECAG00000016913	Equus_caballus
ENSEASP00005023991	ENSEASG00005016284	Equus_asinus_asinus
ENSMLUP00000016604	ENSMLUG00000024903	Myotis_lucifugus
ENSBIXP00000039701	ENSBIXG00000023641	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005015063	ENSBIXG00005019016	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000020397	ENSBMUG00000015363	Bos_mutus
ENSBBBP00000003837	ENSBBBG00000002500	Bison_bison_bison
ENSCHIP00000032962	ENSCHIG00000026718	Capra_hircus
ENSSSCP00000015181	ENSSSCG00000014271	Sus_scrofa_strain_reference
ENSNVIP00000023791	ENSNVIG00000018458	Neovison_vison
ENSMPUP00000011492	ENSMPUG00000011583	Mustela_putorius_furo
ENSAMEP00000018604	ENSAMEG00000017611	Ailuropoda_melanoleuca
ENSCAFP00000037499	ENSCAFG00000032085	Canis_lupus_familiaris
ENSCAFP00020017425	ENSCAFG00020013948	Canis_lupus_dingo
ENSPTIP00000017592	ENSPTIG00000015962	Panthera_tigris_altaica
ENSPPRP00000029291	ENSPPRG00000021932	Panthera_pardus
ENSFCAP00000021614	ENSFCAG00000023079	Felis_catus
ENSGAGP00000029429	ENSGAGG00000021270	Gopherus_agassizii
ENSPSIP00000006084	ENSPSIG00000005641	Pelodiscus_sinensis
ENSNMEP00000024085	ENSNMEG00000020485	Numida_meleagris
ENSGALP00000061571	ENSGALG00000044678	Gallus_gallus
ENSSCAP00000014698	ENSSCAG00000010796	Serinus_canaria
