ENSXCOP00000025628	ENSXCOG00000019148	Xiphophorus_couchianus
ENSHHUP00000011493	ENSHHUG00000007017	Hucho_hucho
ENSLCRP00005023364	ENSLCRG00005009393	Larimichthys_crocea
ENSMALP00000032783	ENSMALG00000022546	Monopterus_albus
ENSORLP00015007539	ENSORLG00015008359	Oryzias_latipes_ASM223469v1
ENSMZEP00005000111	ENSMZEG00005000114	Maylandia_zebra
ENSORLP00020022498	ENSORLG00020002826	Oryzias_latipes_ASM223471v1
ENSCHAP00000058250	ENSCHAG00000026247	Clupea_harengus
ENSAMXP00005055525	ENSAMXG00005024729	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSELUP00000021966	ENSELUG00000020968	Esox_lucius
ENSPMGP00000015162	ENSPMGG00000012418	Periophthalmus_magnuspinnatus
ENSSFOP00015023138	ENSSFOG00015014868	Scleropages_formosus
ENSATEP00000028467	ENSATEG00000019636	Anabas_testudineus
ENSPMEP00000004727	ENSPMEG00000006039	Poecilia_mexicana
ENSGMOP00000005400	ENSGMOG00000005098	Gadus_morhua
ENSPRNP00000032983	ENSPRNG00000016637	Parambassis_ranga
ENSFHEP00000008799	ENSFHEG00000010018	Fundulus_heteroclitus
ENSPFOP00000016318	ENSPFOG00000016263	Poecilia_formosa
ENSSLDP00000032956	ENSSLDG00000025250	Seriola_lalandi_dorsalis
ENSCHAP00000025417	ENSCHAG00000012381	Clupea_harengus
ENSXMAP00000010829	ENSXMAG00000010807	Xiphophorus_maculatus
ENSORLP00000016723	ENSORLG00000013344	Oryzias_latipes_ASM223467v1
ENSGAFP00000032101	ENSGAFG00000021606	Gambusia_affinis
ENSACLP00000038718	ENSACLG00000026124	Astatotilapia_calliptera
ENSGACP00000012445	ENSGACG00000009439	Gasterosteus_aculeatus
ENSAPOP00000005154	ENSAPOG00000006841	Acanthochromis_polyacanthus
ENSSDUP00000020105	ENSSDUG00000014609	Seriola_dumerili
ENSAMXP00000028164	ENSAMXG00000043063	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000039389
ENSIPUP00000008804	ENSIPUG00000006000	Ictalurus_punctatus
ENSTNIP00000006106	ENSTNIG00000003518	Tetraodon_nigroviridis
ENSPNAP00000001228	ENSPNAG00000008035	Pygocentrus_nattereri
ENSPLAP00000019520	ENSPLAG00000001720	Poecilia_latipinna
ENSHHUP00000011568	ENSHHUG00000007066	Hucho_hucho
ENSPNYP00000029629	ENSPNYG00000022327	Pundamilia_nyererei
ENSSFOP00015037475	ENSSFOG00015023856	Scleropages_formosus
ENSDCDP00000008002	ENSDCDG00000004120	Denticeps_clupeoides
ENSMMOP00000020393	ENSMMOG00000015497	Mola_mola
ENSPKIP00000032508	ENSPKIG00000012582	Paramormyrops_kingsleyae
ENSCGOP00000018249	ENSCGOG00000008739	Cottoperca_gobio
ENSLBEP00000014978	ENSLBEG00000011670	Labrus_bergylta
ENSACIP00000018701	ENSACIG00000014563	Amphilophus_citrinellus
ENSEEEP00000007244	ENSEEEG00000003806	Electrophorus_electricus
ENSPKIP00000039786	ENSPKIG00000017004	Paramormyrops_kingsleyae
ENSAMXP00005041865	ENSAMXG00005019561	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSGWIP00000021441	ENSGWIG00000011572	Gouania_willdenowi
ENSCVAP00000028205	ENSCVAG00000015092	Cyprinodon_variegatus
ENSOMEP00000031059	ENSOMEG00000015669	Oryzias_melastigma
ENSCSEP00000030475	ENSCSEG00000019510	Cynoglossus_semilaevis
ENSBSLP00000012454	ENSBSLG00000006312	Betta_splendens
ENSDARP00000108333	ENSDARG00000087074	Danio_rerio
ENSELUP00000019509	ENSELUG00000018826	Esox_lucius
ENSONIP00000016494	ENSONIG00000013113	Oreochromis_niloticus
ENSAMXP00000038731	ENSAMXG00000038917	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPREP00000020540	ENSPREG00000013888	Poecilia_reticulata
ENSSMAP00000014637	ENSSMAG00000008952	Scophthalmus_maximus
ENSLCAP00010000184	ENSLCAG00010000123	Lates_calcarifer
ENSMAMP00000006962	ENSMAMG00000004742	Mastacembelus_armatus
ENSHHUP00000011475	ENSHHUG00000007008	Hucho_hucho
ENSHCOP00000009454	ENSHCOG00000011906	Hippocampus_comes
ENSAOCP00000025839	ENSAOCG00000013726	Amphiprion_ocellaris
ENSPNAP00000003596	ENSPNAG00000010010	Pygocentrus_nattereri
ENSAMXP00005021571	ENSAMXG00005011194	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSHBUP00000015703	ENSHBUG00000017622	Haplochromis_burtoni
ENSSPAP00000030847	ENSSPAG00000023141	Stegastes_partitus
ENSAPEP00000014112	ENSAPEG00000010055	Amphiprion_percula
ENSKMAP00000013564	ENSKMAG00000010186	Kryptolebias_marmoratus
ENSNBRP00000026345	ENSNBRG00000020102	Neolamprologus_brichardi
ENSTRUP00000054701	ENSTRUG00000006262	Takifugu_rubripes
