ENSCATP00000025810	ENSCATG00000036354	Cercocebus_atys	ENSCATT00000050042
ENSPANP00000000673	ENSPANG00000012955	Papio_anubis	ENSPANT00000002884
ENSTGEP00000008747	ENSTGEG00000007189	Theropithecus_gelada	ENSTGET00000010551
ENSMFAP00000010919	ENSMFAG00000011565	Macaca_fascicularis	ENSMFAT00000044881
ENSCANP00000012971	ENSCANG00000029902	Colobus_angolensis_palliatus
ENSMLEP00000034393	ENSMLEG00000041355	Mandrillus_leucophaeus
ENSMNEP00000020441	ENSMNEG00000034039	Macaca_nemestrina
ENSRBIP00000009847	ENSRBIG00000028793	Rhinopithecus_bieti
ENSRROP00000032812	ENSRROG00000040045	Rhinopithecus_roxellana
ENSPTEP00000016656	ENSPTEG00000018277	Piliocolobus_tephrosceles
ENSCSAP00000000548	ENSCSAG00000004191	Chlorocebus_sabaeus
ENSPTRP00000069649	ENSPTRG00000043313	Pan_troglodytes
ENSPPAP00000029314	ENSPPAG00000037669	Pan_paniscus
ENSGGOP00000051508	ENSGGOG00000043749	Gorilla_gorilla
ENSNLEP00000045352	ENSNLEG00000027524	Nomascus_leucogenys
