ENSUAMP00000027658	ENSUAMG00000021386	Ursus_americanus
ENSUMAP00000017026	ENSUMAG00000012483	Ursus_maritimus
ENSNVIP00000031721	ENSNVIG00000024403	Neovison_vison
ENSCAFP00020032404	ENSCAFG00020025243	Canis_lupus_dingo
ENSVVUP00000018341	ENSVVUG00000013520	Vulpes_vulpes
ENSPPRP00000024942	ENSPPRG00000015149	Panthera_pardus
ENSPTIP00000015546	ENSPTIG00000014600	Panthera_tigris_altaica
ENSTTRP00000012505	ENSTTRG00000013177	Tursiops_truncatus
ENSSSCP00000047097	ENSSSCG00000031589	Sus_scrofa_strain_reference
ENSVPAP00000007609	ENSVPAG00000008176	Vicugna_pacos
ENSVPAP00000002223	ENSVPAG00000002406	Vicugna_pacos
ENSBIXP00000005556	ENSBIXG00000011716	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005018711	ENSBIXG00005022033	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000070082	ENSBTAG00000051862	Bos_taurus
ENSBBBP00000002195	ENSBBBG00000011304	Bison_bison_bison
ENSBMUP00000016164	ENSBMUG00000012293	Bos_mutus
ENSFCAP00000035695	ENSFCAG00000039340	Felis_catus
ENSFCAP00000042593	ENSFCAG00000042316	Felis_catus
ENSECAP00000051839	ENSECAG00000035844	Equus_caballus
ENSEASP00005009675	ENSEASG00005006874	Equus_asinus_asinus
ENSPPAP00000025405	ENSPPAG00000035834	Pan_paniscus
ENSPTRP00000087391	ENSPTRG00000046015	Pan_troglodytes
ENSP00000354377	ENSG00000075407	Homo_sapiens
ENSGGOP00000006011	ENSGGOG00000006145	Gorilla_gorilla
ENSPPYP00000002576	ENSPPYG00000002205	Pongo_abelii
ENSNLEP00000010643	ENSNLEG00000008727	Nomascus_leucogenys
ENSMMUP00000022472	ENSMMUG00000017077	Macaca_mulatta
ENSMNEP00000013290	ENSMNEG00000030906	Macaca_nemestrina
ENSPANP00000037070	ENSPANG00000035416	Papio_anubis
ENSTGEP00000013315	ENSTGEG00000010830	Theropithecus_gelada
ENSMFAP00000043698	ENSMFAG00000039253	Macaca_fascicularis
ENSPANP00000021043	ENSPANG00000032559	Papio_anubis
ENSTGEP00000013375	ENSTGEG00000010870	Theropithecus_gelada
ENSMLEP00000019700	ENSMLEG00000034053	Mandrillus_leucophaeus
ENSCSAP00000007424	ENSCSAG00000011219	Chlorocebus_sabaeus
ENSCANP00000000204	ENSCANG00000000578	Colobus_angolensis_palliatus
ENSPTEP00000015452	ENSPTEG00000017132	Piliocolobus_tephrosceles
ENSRBIP00000005600	ENSRBIG00000024596	Rhinopithecus_bieti
ENSRROP00000021383	ENSRROG00000034616	Rhinopithecus_roxellana
ENSMFAP00000013369	ENSMFAG00000028579	Macaca_fascicularis
ENSMNEP00000000003	ENSMNEG00000000002	Macaca_nemestrina
ENSCATP00000005018	ENSCATG00000016920	Cercocebus_atys
ENSCANP00000006970	ENSCANG00000023168	Colobus_angolensis_palliatus
ENSRBIP00000016705	ENSRBIG00000032374	Rhinopithecus_bieti
ENSSBOP00000031222	ENSSBOG00000031854	Saimiri_boliviensis_boliviensis
ENSCCAP00000016677	ENSCCAG00000026128	Cebus_capucinus_imitator
ENSCJAP00000052214	ENSCJAG00000000768	Callithrix_jacchus
ENSANAP00000004322	ENSANAG00000020262	Aotus_nancymaae
ENSANAP00000006244	ENSANAG00000021206	Aotus_nancymaae
ENSANAP00000013715	ENSANAG00000024768	Aotus_nancymaae
ENSTSYP00000011502	ENSTSYG00000012537	Carlito_syrichta
ENSPCOP00000013367	ENSPCOG00000018292	Propithecus_coquereli
ENSPSMP00000033105	ENSPSMG00000022856	Prolemur_simus
ENSP00000491560	ENSG00000283930	Homo_sapiens
ENSCAPP00000007139	ENSCAPG00000009145	Cavia_aperea	ENSCAPT00000010828
ENSAMEP00000001077	ENSAMEG00000001037	Ailuropoda_melanoleuca
ENSCHOP00000001837	ENSCHOG00000002076	Choloepus_hoffmanni
ENSTBEP00000004685	ENSTBEG00000005458	Tupaia_belangeri
ENSMPUP00000012615	ENSMPUG00000012709	Mustela_putorius_furo
ENSMMUP00000078772	ENSMMUG00000063852	Macaca_mulatta
ENSTGEP00000013918	ENSTGEG00000011297	Theropithecus_gelada	ENSTGET00000016691
ENSTBEP00000007709	ENSTBEG00000008895	Tupaia_belangeri	ENSTBET00000008894
ENSSSCP00000072558	ENSSSCG00000043073	Sus_scrofa_strain_reference
ENSOARP00000004137	ENSOARG00000003874	Ovis_aries
ENSAMEP00000017110	ENSAMEG00000016210	Ailuropoda_melanoleuca
ENSAMEP00000017771	ENSAMEG00000016832	Ailuropoda_melanoleuca
ENSCAFP00020032447	ENSCAFG00020025284	Canis_lupus_dingo
ENSNVIP00000007149	ENSNVIG00000005682	Neovison_vison
ENSUMAP00000016986	ENSUMAG00000012450	Ursus_maritimus
ENSBTAP00000074137	ENSBTAG00000051838	Bos_taurus
ENSBIXP00000022963	ENSBIXG00000002048	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005005978	ENSBIXG00005001123	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000018447	ENSBMUG00000013964	Bos_mutus
ENSBBBP00000011169	ENSBBBG00000019160	Bison_bison_bison
ENSFCAP00000042525	ENSFCAG00000052669	Felis_catus
ENSAMEP00000012614	ENSAMEG00000011991	Ailuropoda_melanoleuca
ENSAMEP00000007914	ENSAMEG00000007518	Ailuropoda_melanoleuca
ENSCAFP00000015286	ENSCAFG00000043983	Canis_lupus_familiaris
ENSFCAP00000062258	ENSFCAG00000049075	Felis_catus
ENSECAP00000022051	ENSECAG00000010279	Equus_caballus
ENSCCNP00000012618	ENSCCNG00000013110	Castor_canadensis
ENSLAFP00000002389	ENSLAFG00000002857	Loxodonta_africana
