ENSPTRP00000061538	ENSPTRG00000049747	Pan_troglodytes	ENSPTRT00000083901
ENSMNEP00000023888	ENSMNEG00000035530	Macaca_nemestrina	ENSMNET00000048154
ENSPPAP00000023410	ENSPPAG00000034882	Pan_paniscus	ENSPPAT00000046234
ENSPPAP00000020698	ENSPPAG00000033572	Pan_paniscus
ENSCSAP00000001351	ENSCSAG00000005031	Chlorocebus_sabaeus	ENSCSAT00000003060
ENSMMUP00000065026	ENSMMUG00000029122	Macaca_mulatta	ENSMMUT00000093867
ENSPPYP00000008736	ENSPPYG00000007752	Pongo_abelii	ENSPPYT00000009093
ENSCATP00000038579	ENSCATG00000041966	Cercocebus_atys	ENSCATT00000062885
ENSCJAP00000071725	ENSCJAG00000041011	Callithrix_jacchus	ENSCJAT00000089411
ENSNLEP00000046899	ENSNLEG00000002261	Nomascus_leucogenys	ENSNLET00000037434
ENSMNEP00000004915	ENSMNEG00000022350	Macaca_nemestrina	ENSMNET00000024461
ENSCCAP00000031014	ENSCCAG00000033568	Cebus_capucinus_imitator	ENSCCAT00000048764
ENSPANP00000012793	ENSPANG00000020493	Papio_anubis	ENSPANT00000024181
ENSMNEP00000039964	ENSMNEG00000042908	Macaca_nemestrina	ENSMNET00000064455
ENSMMUP00000066489	ENSMMUG00000059112	Macaca_mulatta	ENSMMUT00000091728
ENSCATP00000004124	ENSCATG00000014985	Cercocebus_atys	ENSCATT00000017061
ENSMFAP00000001456	ENSMFAG00000036300	Macaca_fascicularis
ENSCJAP00000057817	ENSCJAG00000043001	Callithrix_jacchus	ENSCJAT00000072157
ENSGGOP00000038192	ENSGGOG00000040689	Gorilla_gorilla	ENSGGOT00000068222
ENSNLEP00000045500	ENSNLEG00000028940	Nomascus_leucogenys	ENSNLET00000047577
ENSPANP00000022776	ENSPANG00000032523	Papio_anubis	ENSPANT00000034033
ENSCJAP00000071976	ENSCJAG00000056068	Callithrix_jacchus	ENSCJAT00000091377
ENSMLEP00000006082	ENSMLEG00000025875	Mandrillus_leucophaeus	ENSMLET00000028353
