ENSVURP00010025939	ENSVURG00010019863	Vombatus_ursinus	ENSVURT00010029540
ENSPCIP00000024094	ENSPCIG00000018201	Phascolarctos_cinereus	ENSPCIT00000029712
ENSMEUP00000001905	ENSMEUG00000002081	Notamacropus_eugenii	ENSMEUT00000002085
ENSMODP00000005073	ENSMODG00000004119	Monodelphis_domestica	ENSMODT00000005182
ENSPVAP00000015802	ENSPVAG00000016749	Pteropus_vampyrus	ENSPVAT00000016748
ENSMLUP00000003085	ENSMLUG00000003396	Myotis_lucifugus	ENSMLUT00000003394
ENSEASP00005018270	ENSEASG00005012601	Equus_asinus_asinus
ENSPTIP00000026143	ENSPTIG00000021658	Panthera_tigris_altaica
ENSPPRP00000022469	ENSPPRG00000013000	Panthera_pardus
ENSFCAP00000016550	ENSFCAG00000030349	Felis_catus
ENSMPUP00000000734	ENSMPUG00000000737	Mustela_putorius_furo
ENSNVIP00000013187	ENSNVIG00000010401	Neovison_vison
ENSUMAP00000033181	ENSUMAG00000023922	Ursus_maritimus
ENSUAMP00000024484	ENSUAMG00000019126	Ursus_americanus
ENSAMEP00000009608	ENSAMEG00000009109	Ailuropoda_melanoleuca
ENSCAFP00000060127	ENSCAFG00000000248	Canis_lupus_familiaris
ENSCAFP00020004377	ENSCAFG00020003611	Canis_lupus_dingo
ENSVVUP00000001421	ENSVVUG00000001156	Vulpes_vulpes
ENSBBBP00000018294	ENSBBBG00000002004	Bison_bison_bison
ENSBMUP00000002941	ENSBMUG00000002322	Bos_mutus
ENSCHIP00000021111	ENSCHIG00000019524	Capra_hircus
ENSOARP00000007166	ENSOARG00000006692	Ovis_aries
ENSTTRP00000010073	ENSTTRG00000010625	Tursiops_truncatus
ENSSSCP00000053945	ENSSSCG00000014028	Sus_scrofa_strain_reference
ENSVPAP00000004697	ENSVPAG00000005063	Vicugna_pacos
ENSEEUP00000003465	ENSEEUG00000003789	Erinaceus_europaeus
ENSDORP00000021754	ENSDORG00000024543	Dipodomys_ordii
ENSPSMP00000017131	ENSPSMG00000012122	Prolemur_simus
ENSPCOP00000008503	ENSPCOG00000015540	Propithecus_coquereli
ENSMICP00000024602	ENSMICG00000038063	Microcebus_murinus
ENSOGAP00000015192	ENSOGAG00000016962	Otolemur_garnettii
ENSPTRP00000030075	ENSPTRG00000017605	Pan_troglodytes
ENSPPAP00000029615	ENSPPAG00000037779	Pan_paniscus
ENSP00000316948	ENSG00000113240	Homo_sapiens
ENSGGOP00000013902	ENSGGOG00000014248	Gorilla_gorilla
ENSPPYP00000018025	ENSPPYG00000016110	Pongo_abelii
ENSNLEP00000019194	ENSNLEG00000015794	Nomascus_leucogenys
ENSMFAP00000042966	ENSMFAG00000040140	Macaca_fascicularis
ENSMNEP00000012070	ENSMNEG00000030273	Macaca_nemestrina
ENSPANP00000011080	ENSPANG00000014774	Papio_anubis
ENSTGEP00000021038	ENSTGEG00000016955	Theropithecus_gelada
ENSCATP00000015546	ENSCATG00000031741	Cercocebus_atys
ENSCSAP00000004860	ENSCSAG00000008600	Chlorocebus_sabaeus
ENSMLEP00000000174	ENSMLEG00000000189	Mandrillus_leucophaeus
ENSCANP00000022984	ENSCANG00000034817	Colobus_angolensis_palliatus
ENSRBIP00000003280	ENSRBIG00000015400	Rhinopithecus_bieti
ENSSBOP00000007417	ENSSBOG00000020575	Saimiri_boliviensis_boliviensis
ENSCCAP00000019627	ENSCCAG00000027529	Cebus_capucinus_imitator
ENSCJAP00000022284	ENSCJAG00000012089	Callithrix_jacchus
ENSANAP00000008383	ENSANAG00000022160	Aotus_nancymaae
ENSTSYP00000026797	ENSTSYG00000011471	Carlito_syrichta
ENSTBEP00000007064	ENSTBEG00000008149	Tupaia_belangeri
ENSOPRP00000006633	ENSOPRG00000007241	Ochotona_princeps
ENSHGLP00000019220	ENSHGLG00000013793	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100013324	ENSHGLG00100009865	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000013827	ENSHGLG00000009881	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100010898	ENSHGLG00100008093	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000010003	ENSFDAG00000017882	Fukomys_damarensis
ENSCAPP00000012019	ENSCAPG00000012961	Cavia_aperea
ENSCPOP00000002633	ENSCPOG00000002898	Cavia_porcellus
ENSCLAP00000019840	ENSCLAG00000013604	Chinchilla_lanigera
ENSODEP00000009028	ENSODEG00000006750	Octodon_degus
MGP_SPRETEiJ_P0027879	MGP_SPRETEiJ_G0017152	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000025578	ENSMSIG00000021585	Mus_spicilegus
ENSMUSP00000090820	ENSMUSG00000020385	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0026507	MGP_CAROLIEiJ_G0016308	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0033278	MGP_PahariEiJ_G0017443	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000005048	ENSRNOG00000003714	Rattus_norvegicus
ENSMUGP00000028893	ENSMUGG00000023933	Meriones_unguiculatus
ENSPEMP00000007446	ENSPEMG00000009386	Peromyscus_maniculatus_bairdii
ENSMOCP00000026142	ENSMOCG00000022044	Microtus_ochrogaster
ENSCGRP00001016632	ENSCGRG00001016893	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000019392	ENSCGRG00000014126	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015034142	ENSCGRG00015025724	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000005036	ENSMAUG00000006824	Mesocricetus_auratus
ENSNGAP00000005696	ENSNGAG00000008105	Nannospalax_galili
ENSJJAP00000011119	ENSJJAG00000014522	Jaculus_jaculus
ENSSTOP00000004477	ENSSTOG00000004989	Ictidomys_tridecemlineatus
ENSSDAP00000019177	ENSSDAG00000017450	Spermophilus_dauricus
ENSCCNP00000002051	ENSCCNG00000002261	Castor_canadensis
ENSUPAP00010021530	ENSUPAG00010017101	Urocitellus_parryii
ENSMMMP00000000890	ENSMMMG00000000808	Marmota_marmota_marmota
ENSDORP00000009176	ENSDORG00000009760	Dipodomys_ordii
ENSBIXP00005023187	ENSBIXG00005004463	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000040487	ENSBIXG00000024566	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000063888	ENSBTAG00000019414	Bos_taurus
ENSECAP00000024592	ENSECAG00000014153	Equus_caballus
ENSPTEP00000029175	ENSPTEG00000028636	Piliocolobus_tephrosceles
ENSMMUP00000005339	ENSMMUG00000004002	Macaca_mulatta
ENSRROP00000043175	ENSRROG00000044637	Rhinopithecus_roxellana
ENSSARP00000009497	ENSSARG00000010509	Sorex_araneus
ENSOCUP00000041764	ENSOCUG00000003228	Oryctolagus_cuniculus
ENSLAFP00000013334	ENSLAFG00000015899	Loxodonta_africana
ENSPCAP00000000269	ENSPCAG00000000287	Procavia_capensis
ENSETEP00000007141	ENSETEG00000008790	Echinops_telfairi
ENSCHOP00000006539	ENSCHOG00000007381	Choloepus_hoffmanni
ENSDNOP00000003675	ENSDNOG00000004758	Dasypus_novemcinctus
ENSOANP00000016222	ENSOANG00000010230	Ornithorhynchus_anatinus
ENSOANP00000014073	ENSOANG00000008838	Ornithorhynchus_anatinus
ENSOANP00000029869	ENSOANG00000031571	Ornithorhynchus_anatinus
ENSAHAP00000008497	ENSAHAG00000006252	Apteryx_haastii
ENSAOWP00000013960	ENSAOWG00000009373	Apteryx_owenii
ENSARWP00000003118	ENSARWG00000002340	Apteryx_rowi
ENSDNVP00000014728	ENSDNVG00000010374	Dromaius_novaehollandiae
ENSNPEP00000009992	ENSNPEG00000007428	Nothoprocta_perdicaria
ENSAPLP00000014694	ENSAPLG00000014787	Anas_platyrhynchos_platyrhynchos
ENSABRP00000003588	ENSABRG00000003361	Anser_brachyrhynchus
ENSGALP00000009752	ENSGALG00000006057	Gallus_gallus
ENSCJPP00005005470	ENSCJPG00005005226	Coturnix_japonica
ENSMGAP00000007779	ENSMGAG00000007606	Meleagris_gallopavo
ENSNMEP00000023954	ENSNMEG00000020360	Numida_meleagris
ENSCPUP00000004913	ENSCPUG00000003613	Calidris_pugnax
ENSCPUP00000004908	ENSCPUG00000003612	Calidris_pugnax
ENSCPGP00000004853	ENSCPGG00000003492	Calidris_pygmaea
ENSMUNP00000003429	ENSMUNG00000002928	Melopsittacus_undulatus
ENSTGUP00000018291	ENSTGUG00000018153	Taeniopygia_guttata
ENSTGUP00000001189	ENSTGUG00000001155	Taeniopygia_guttata
ENSLSDP00000013353	ENSLSDG00000009702	Lonchura_striata_domestica
ENSSCAP00000015208	ENSSCAG00000011140	Serinus_canaria
ENSPMJP00000011213	ENSPMJG00000008727	Parus_major
ENSCCEP00000010996	ENSCCEG00000010811	Cyanistes_caeruleus
ENSFALP00000008014	ENSFALG00000007682	Ficedula_albicollis
ENSJHYP00000018572	ENSJHYG00000014130	Junco_hyemalis
ENSZALP00000012200	ENSZALG00000010270	Zonotrichia_albicollis
ENSMVIP00005014969	ENSMVIG00005010798	Manacus_vitellinus
ENSLCOP00000010630	ENSLCOG00000007722	Lepidothrix_coronata
ENSCPRP00005016436	ENSCPRG00005011465	Crocodylus_porosus
ENSCABP00000000845	ENSCABG00000000733	Chelonoidis_abingdonii
ENSCABP00000000843	ENSCABG00000000731	Chelonoidis_abingdonii
ENSGAGP00000016266	ENSGAGG00000012200	Gopherus_agassizii
ENSCPBP00000011654	ENSCPBG00000008860	Chrysemys_picta_bellii
ENSPSIP00000018122	ENSPSIG00000016071	Pelodiscus_sinensis
ENSPVIP00000010140	ENSPVIG00000008046	Pogona_vitticeps
ENSACAP00000016562	ENSACAG00000016756	Anolis_carolinensis
ENSNSUP00000003733	ENSNSUG00000003008	Notechis_scutatus
ENSSMRP00000022322	ENSSMRG00000017348	Salvator_merianae
ENSNSUP00000003728	ENSNSUG00000003006	Notechis_scutatus
