ENSPPAP00000015558	ENSPPAG00000030910	Pan_paniscus
ENSPTRP00000075947	ENSPTRG00000000432	Pan_troglodytes
ENSP00000497402	ENSG00000180198	Homo_sapiens
ENSGGOP00000006961	ENSGGOG00000007119	Gorilla_gorilla
ENSPPYP00000001894	ENSPPYG00000001640	Pongo_abelii
ENSMMUP00000079528	ENSMMUG00000018338	Macaca_mulatta
ENSMLEP00000016193	ENSMLEG00000032267	Mandrillus_leucophaeus
ENSTGEP00000012081	ENSTGEG00000009846	Theropithecus_gelada
ENSCSAP00000016999	ENSCSAG00000001012	Chlorocebus_sabaeus
ENSMNEP00000038706	ENSMNEG00000042349	Macaca_nemestrina
ENSMFAP00000019279	ENSMFAG00000032656	Macaca_fascicularis
ENSPANP00000044226	ENSPANG00000030656	Papio_anubis
ENSRBIP00000014074	ENSRBIG00000031101	Rhinopithecus_bieti
ENSCANP00000013967	ENSCANG00000030382	Colobus_angolensis_palliatus
ENSPTEP00000031299	ENSPTEG00000030272	Piliocolobus_tephrosceles
ENSMNEP00000001259	ENSMNEG00000005673	Macaca_nemestrina
ENSMFAP00000043551	ENSMFAG00000039145	Macaca_fascicularis
ENSCATP00000019587	ENSCATG00000033576	Cercocebus_atys
ENSPANP00000035770	ENSPANG00000033403	Papio_anubis
ENSRROP00000039451	ENSRROG00000042995	Rhinopithecus_roxellana
ENSNLEP00000045316	ENSNLEG00000009802	Nomascus_leucogenys
ENSSBOP00000000297	ENSSBOG00000001098	Saimiri_boliviensis_boliviensis
ENSCCAP00000016320	ENSCCAG00000025966	Cebus_capucinus_imitator
ENSCJAP00000017782	ENSCJAG00000009686	Callithrix_jacchus
ENSANAP00000038931	ENSANAG00000036884	Aotus_nancymaae
ENSCCAP00000037624	ENSCCAG00000036649	Cebus_capucinus_imitator
ENSSBOP00000025971	ENSSBOG00000029433	Saimiri_boliviensis_boliviensis
ENSSBOP00000037138	ENSSBOG00000034659	Saimiri_boliviensis_boliviensis
ENSANAP00000023690	ENSANAG00000029590	Aotus_nancymaae
ENSTSYP00000011585	ENSTSYG00000012633	Carlito_syrichta
ENSPCOP00000008462	ENSPCOG00000015509	Propithecus_coquereli
ENSPSMP00000014727	ENSPSMG00000010510	Prolemur_simus
ENSMICP00000045065	ENSMICG00000047487	Microcebus_murinus
ENSOGAP00000006695	ENSOGAG00000007487	Otolemur_garnettii
ENSTBEP00000005859	ENSTBEG00000006787	Tupaia_belangeri
ENSCGRP00001026213	ENSCGRG00001023596	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000019839	ENSCGRG00000014440	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015020180	ENSCGRG00015015460	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001005393	ENSCGRG00001007082	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000023474	ENSMAUG00000020618	Mesocricetus_auratus
ENSPEMP00000017945	ENSPEMG00000016697	Peromyscus_maniculatus_bairdii
ENSMOCP00000018230	ENSMOCG00000016589	Microtus_ochrogaster
ENSMUSP00000030726	ENSMUSG00000028896	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000010598	ENSMSIG00000009244	Mus_spicilegus
MGP_SPRETEiJ_P0067364	MGP_SPRETEiJ_G0027545	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0064841	MGP_CAROLIEiJ_G0026564	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0079923	MGP_PahariEiJ_G0028897	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000074333	ENSRNOG00000050106	Rattus_norvegicus
ENSMUGP00000018781	ENSMUGG00000015921	Meriones_unguiculatus
ENSNGAP00000000789	ENSNGAG00000000590	Nannospalax_galili
ENSJJAP00000001645	ENSJJAG00000002119	Jaculus_jaculus
ENSCCNP00000018321	ENSCCNG00000018585	Castor_canadensis
ENSDORP00000008222	ENSDORG00000008750	Dipodomys_ordii
ENSSTOP00000025867	ENSSTOG00000012131	Ictidomys_tridecemlineatus
ENSSDAP00000022343	ENSSDAG00000020297	Spermophilus_dauricus
ENSUPAP00010026277	ENSUPAG00010020770	Urocitellus_parryii
ENSMMMP00000014588	ENSMMMG00000012973	Marmota_marmota_marmota
