ENSOANP00000006249	ENSOANG00000003952	Ornithorhynchus_anatinus
ENSCPBP00000035057	ENSCPBG00000024432	Chrysemys_picta_bellii
ENSJJAP00000025117	ENSJJAG00000024389	Jaculus_jaculus
ENSMUGP00000023397	ENSMUGG00000019591	Meriones_unguiculatus
ENSPANP00000031440	ENSPANG00000030266	Papio_anubis
ENSPNAP00000008387	ENSPNAG00000013991	Pygocentrus_nattereri	ENSPNAT00000000219
ENSCHAP00000029928	ENSCHAG00000014313	Clupea_harengus	ENSCHAT00000032511
ENSNLEP00000043869	ENSNLEG00000005346	Nomascus_leucogenys
ENSELUP00000001713	ENSELUG00000003165	Esox_lucius	ENSELUT00000016909
ENSAMXP00005052671	ENSAMXG00005023684	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSEEEP00000011810	ENSEEEG00000005940	Electrophorus_electricus	ENSEEET00000011948
ENSMLEP00000009710	ENSMLEG00000029022	Mandrillus_leucophaeus
ENSUMAP00000011140	ENSUMAG00000008375	Ursus_maritimus
ENSCCAP00000016729	ENSCCAG00000026150	Cebus_capucinus_imitator
ENSNSUP00000003359	ENSNSUG00000002731	Notechis_scutatus
ENSCANP00000010125	ENSCANG00000028473	Colobus_angolensis_palliatus
ENSMPUP00000010336	ENSMPUG00000010412	Mustela_putorius_furo
ENSCSAVP00000000284	ENSCSAVG00000000156	Ciona_savignyi
ENSHHUP00000063838	ENSHHUG00000037710	Hucho_hucho	ENSHHUT00000066000
ENSACAP00000000132	ENSACAG00000000139	Anolis_carolinensis
ENSRBIP00000021805	ENSRBIG00000034853	Rhinopithecus_bieti
ENSAOWP00000012081	ENSAOWG00000008267	Apteryx_owenii
ENSCJAP00000004804	ENSCJAG00000037831	Callithrix_jacchus
ENSNPEP00000013287	ENSNPEG00000009935	Nothoprocta_perdicaria
ENSSMRP00000008591	ENSSMRG00000006879	Salvator_merianae
ENSMNEP00000028354	ENSMNEG00000037620	Macaca_nemestrina
ENSPSIP00000010954	ENSPSIG00000009851	Pelodiscus_sinensis
ENSARWP00000025901	ENSARWG00000017592	Apteryx_rowi
ENSRBIP00000036799	ENSRBIG00000041988	Rhinopithecus_bieti
ENSLAFP00000008546	ENSLAFG00000010201	Loxodonta_africana
ENSVPAP00000005836	ENSVPAG00000006291	Vicugna_pacos
ENSPTRP00000093907	ENSPTRG00000045098	Pan_troglodytes
ENSBMUP00000027374	ENSBMUG00000020513	Bos_mutus
ENSPVIP00000002335	ENSPVIG00000002002	Pogona_vitticeps
ENSDNVP00000005661	ENSDNVG00000004045	Dromaius_novaehollandiae
ENSMNEP00000022368	ENSMNEG00000034859	Macaca_nemestrina
ENSCCNP00000001454	ENSCCNG00000001628	Castor_canadensis
ENSCABP00000011954	ENSCABG00000008929	Chelonoidis_abingdonii
ENSOPRP00000007724	ENSOPRG00000008430	Ochotona_princeps
ENSTGEP00000032748	ENSTGEG00000026159	Theropithecus_gelada
ENSRROP00000019327	ENSRROG00000033679	Rhinopithecus_roxellana
ENSECAP00000018298	ENSECAG00000020759	Equus_caballus
ENSMMUP00000002252	ENSMMUG00000029700	Macaca_mulatta
MGP_PahariEiJ_P0065138	MGP_PahariEiJ_G0025633	Mus_pahari_strain_PAHARI_EIJ
ENSBIXP00005038780	ENSBIXG00005020986	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCCNP00000001441	ENSCCNG00000001598	Castor_canadensis
ENSMFAP00000026265	ENSMFAG00000044589	Macaca_fascicularis
ENSUAMP00000018916	ENSUAMG00000014977	Ursus_americanus
ENSAMEP00000016096	ENSAMEG00000015273	Ailuropoda_melanoleuca
ENSCGRP00015026129	ENSCGRG00015019822	Cricetulus_griseus_CriGri-PICR
ENSSHAP00000016929	ENSSHAG00000014399	Sarcophilus_harrisii
ENSMOCP00000008261	ENSMOCG00000008206	Microtus_ochrogaster
ENSAHAP00000005521	ENSAHAG00000004229	Apteryx_haastii
ENSSPUP00000018888	ENSSPUG00000014562	Sphenodon_punctatus
ENSNGAP00000000153	ENSNGAG00000000129	Nannospalax_galili
ENSPSMP00000012687	ENSPSMG00000009160	Prolemur_simus
ENSHGLP00000020563	ENSHGLG00000014701	Heterocephalus_glaber_HetGla_female_1.0
ENSFCAP00000035076	ENSFCAG00000025930	Felis_catus
ENSCSAP00000005605	ENSCSAG00000009397	Chlorocebus_sabaeus
ENSBIXP00000009001	ENSBIXG00000014719	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSDORP00000004192	ENSDORG00000004482	Dipodomys_ordii
ENSPEMP00000016085	ENSPEMG00000015421	Peromyscus_maniculatus_bairdii
ENSPTEP00000017990	ENSPTEG00000019463	Piliocolobus_tephrosceles
ENSCMIP00000004856	ENSCMIG00000002875	Callorhinchus_milii
ENSMNEP00000037221	ENSMNEG00000041683	Macaca_nemestrina
ENSCHIP00000017550	ENSCHIG00000017322	Capra_hircus
ENSOGAP00000005461	ENSOGAG00000006112	Otolemur_garnettii
ENSSDAP00000015051	ENSSDAG00000013559	Spermophilus_dauricus
ENSMAUP00000024940	ENSMAUG00000021642	Mesocricetus_auratus
ENSCAFP00000019448	ENSCAFG00000013189	Canis_lupus_familiaris
ENSMODP00000033168	ENSMODG00000017763	Monodelphis_domestica
ENSMLEP00000010338	ENSMLEG00000029361	Mandrillus_leucophaeus
ENSOCUP00000001001	ENSOCUG00000033403	Oryctolagus_cuniculus
ENSTSYP00000021780	ENSTSYG00000025449	Carlito_syrichta
ENSLOCP00000017543	ENSLOCG00000014249	Lepisosteus_oculatus
ENSPPRP00000002208	ENSPPRG00000023581	Panthera_pardus
ENSCATP00000026626	ENSCATG00000036714	Cercocebus_atys
ENSSBOP00000016938	ENSSBOG00000025113	Saimiri_boliviensis_boliviensis
ENSNLEP00000025527	ENSNLEG00000028778	Nomascus_leucogenys
ENSPTRP00000079230	ENSPTRG00000051408	Pan_troglodytes
ENSSSCP00000057106	ENSSSCG00000004701	Sus_scrofa_strain_reference
ENSPPAP00000003954	ENSPPAG00000016741	Pan_paniscus
MGP_SPRETEiJ_P0056254	MGP_SPRETEiJ_G0025107	Mus_spretus_strain_SPRET/EiJ
ENSRNOP00000038712	ENSRNOG00000023064	Rattus_norvegicus
ENSLACP00000014915	ENSLACG00000013125	Latimeria_chalumnae
ENSUPAP00010012894	ENSUPAG00010010437	Urocitellus_parryii
ENSCCAP00000022747	ENSCCAG00000029171	Cebus_capucinus_imitator
ENSANAP00000005726	ENSANAG00000020927	Aotus_nancymaae
ENSMFAP00000001055	ENSMFAG00000038253	Macaca_fascicularis
ENSBIXP00005038803	ENSBIXG00005021004	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPTIP00000026173	ENSPTIG00000021679	Panthera_tigris_altaica
ENSANAP00000005720	ENSANAG00000020939	Aotus_nancymaae
ENSMFAP00000037359	ENSMFAG00000037924	Macaca_fascicularis
ENSGAGP00000022419	ENSGAGG00000016450	Gopherus_agassizii
ENSCGRP00000015465	ENSCGRG00000011221	Cricetulus_griseus_CriGri_1.0
ENSGGOP00000049579	ENSGGOG00000041810	Gorilla_gorilla
ENSAMXP00000045832	ENSAMXG00000030954	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000041549
ENSPNAP00000006794	ENSPNAG00000012791	Pygocentrus_nattereri
ENSBTAP00000042959	ENSBTAG00000032130	Bos_taurus
ENSPTRP00000011959	ENSPTRG00000006999	Pan_troglodytes
ENSPCIP00000024225	ENSPCIG00000018291	Phascolarctos_cinereus
ENSPTEP00000009338	ENSPTEG00000010569	Piliocolobus_tephrosceles
ENSPTEP00000018022	ENSPTEG00000019503	Piliocolobus_tephrosceles
ENSGGOP00000037250	ENSGGOG00000043668	Gorilla_gorilla
ENSCGRP00001028098	ENSCGRG00001024914	Cricetulus_griseus_CHOK1GS_HDv1
ENSCINP00000009347	ENSCING00000004522	Ciona_intestinalis
ENSOARP00000011634	ENSOARG00000010849	Ovis_aries
MGP_CAROLIEiJ_P0054157	MGP_CAROLIEiJ_G0024191	Mus_caroli_strain_CAROLI_EIJ
ENSRROP00000017395	ENSRROG00000032797	Rhinopithecus_roxellana
ENSPPYP00000007273	ENSPPYG00000006418	Pongo_abelii
ENSPCAP00000014428	ENSPCAG00000015455	Procavia_capensis
ENSCANP00000004557	ENSCANG00000015757	Colobus_angolensis_palliatus
ENSP00000371180	ENSG00000166762	Homo_sapiens
ENSNLEP00000030491	ENSNLEG00000032558	Nomascus_leucogenys
ENSMLUP00000008536	ENSMLUG00000009375	Myotis_lucifugus
ENSVVUP00000014357	ENSVVUG00000010512	Vulpes_vulpes
ENSGGOP00000006045	ENSGGOG00000006175	Gorilla_gorilla
ENSBBBP00000000812	ENSBBBG00000009961	Bison_bison_bison
ENSVURP00010007609	ENSVURG00010005773	Vombatus_ursinus
ENSMMMP00000020805	ENSMMMG00000018345	Marmota_marmota_marmota
ENSCATP00000034860	ENSCATG00000040325	Cercocebus_atys
ENSCLAP00000010700	ENSCLAG00000007383	Chinchilla_lanigera
ENSEEUP00000005171	ENSEEUG00000005688	Erinaceus_europaeus
ENSPCOP00000029480	ENSPCOG00000027449	Propithecus_coquereli
ENSRBIP00000032637	ENSRBIG00000040103	Rhinopithecus_bieti
ENSSTOP00000020735	ENSSTOG00000025459	Ictidomys_tridecemlineatus
ENSMUSP00000037222	ENSMUSG00000033486	Mus_musculus_strain_reference_(CL57BL6)
ENSBMUP00000027357	ENSBMUG00000020503	Bos_mutus
ENSPANP00000024886	ENSPANG00000031176	Papio_anubis
ENSMICP00000042838	ENSMICG00000048141	Microcebus_murinus
ENSNVIP00000026880	ENSNVIG00000020798	Neovison_vison
ENSCANP00000024469	ENSCANG00000035650	Colobus_angolensis_palliatus
ENSCAFP00020000220	ENSCAFG00020000273	Canis_lupus_dingo
ENSMSIP00000034636	ENSMSIG00000028892	Mus_spicilegus
ENSEASP00005008098	ENSEASG00005005873	Equus_asinus_asinus
