ENSMICP00000029253	ENSMICG00000038107	Microcebus_murinus
MGP_CAROLIEiJ_P0037399	MGP_CAROLIEiJ_G0019509	Mus_caroli_strain_CAROLI_EIJ
ENSBIXP00000002076	ENSBIXG00000007450	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPCAP00000002768	ENSPCAG00000002949	Procavia_capensis
ENSPSMP00000012810	ENSPSMG00000009229	Prolemur_simus
ENSCHOP00000002298	ENSCHOG00000002593	Choloepus_hoffmanni
ENSPCOP00000003809	ENSPCOG00000011386	Propithecus_coquereli
ENSNGAP00000020626	ENSNGAG00000020059	Nannospalax_galili
ENSMNEP00000013547	ENSMNEG00000031014	Macaca_nemestrina
ENSPTRP00000086089	ENSPTRG00000005854	Pan_troglodytes
ENSCCAP00000013958	ENSCCAG00000024800	Cebus_capucinus_imitator
ENSNVIP00000011346	ENSNVIG00000008979	Neovison_vison
ENSFCAP00000054493	ENSFCAG00000009184	Felis_catus
ENSMUGP00000029511	ENSMUGG00000024491	Meriones_unguiculatus
ENSPPAP00000017195	ENSPPAG00000031676	Pan_paniscus
ENSCAFP00020024622	ENSCAFG00020019361	Canis_lupus_dingo
ENSANAP00000022910	ENSANAG00000029208	Aotus_nancymaae
ENSCLAP00000000358	ENSCLAG00000000306	Chinchilla_lanigera
ENSMUGP00000029520	ENSMUGG00000024498	Meriones_unguiculatus
ENSOCUP00000025653	ENSOCUG00000014059	Oryctolagus_cuniculus
ENSRBIP00000009133	ENSRBIG00000028445	Rhinopithecus_bieti
ENSSSCP00000024881	ENSSSCG00000009411	Sus_scrofa_strain_reference
ENSTGEP00000003001	ENSTGEG00000002585	Theropithecus_gelada
ENSVPAP00000004809	ENSVPAG00000005185	Vicugna_pacos
ENSMLUP00000008865	ENSMLUG00000009728	Myotis_lucifugus
ENSEEUP00000014533	ENSEEUG00000015910	Erinaceus_europaeus
ENSCGRP00015004893	ENSCGRG00015003829	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001022993	ENSCGRG00001021365	Cricetulus_griseus_CHOK1GS_HDv1
ENSNLEP00000003279	ENSNLEG00000002719	Nomascus_leucogenys
ENSPTIP00000002050	ENSPTIG00000005072	Panthera_tigris_altaica
ENSGGOP00000004497	ENSGGOG00000004589	Gorilla_gorilla
ENSPTEP00000028490	ENSPTEG00000028126	Piliocolobus_tephrosceles
ENSCCNP00000011216	ENSCCNG00000011597	Castor_canadensis
ENSTTRP00000003389	ENSTTRG00000003614	Tursiops_truncatus
ENSPEMP00000023478	ENSPEMG00000020509	Peromyscus_maniculatus_bairdii
ENSLAFP00000027436	ENSLAFG00000011144	Loxodonta_africana
MGP_SPRETEiJ_P0039135	MGP_SPRETEiJ_G0020404	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000022574	ENSMUSG00000021997	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000024910	ENSMSIG00000021056	Mus_spicilegus
ENSCATP00000033992	ENSCATG00000039942	Cercocebus_atys
ENSMMUP00000012913	ENSMMUG00000009860	Macaca_mulatta
MGP_PahariEiJ_P0085488	MGP_PahariEiJ_G0030527	Mus_pahari_strain_PAHARI_EIJ
ENSCANP00000040217	ENSCANG00000043783	Colobus_angolensis_palliatus
ENSBMUP00000017702	ENSBMUG00000013390	Bos_mutus
ENSMOCP00000021030	ENSMOCG00000018528	Microtus_ochrogaster
ENSP00000469337	ENSG00000173988	Homo_sapiens
ENSDNOP00000025087	ENSDNOG00000042434	Dasypus_novemcinctus
ENSPANP00000003275	ENSPANG00000012865	Papio_anubis
ENSOARP00000008478	ENSOARG00000007900	Ovis_aries	ENSOART00000008601
ENSCSAP00000013779	ENSCSAG00000017757	Chlorocebus_sabaeus
ENSTSYP00000006645	ENSTSYG00000007261	Carlito_syrichta
ENSUMAP00000023458	ENSUMAG00000017071	Ursus_maritimus
ENSTBEP00000006352	ENSTBEG00000007369	Tupaia_belangeri
ENSCAFP00000039213	ENSCAFG00000030857	Canis_lupus_familiaris
ENSCHIP00000021371	ENSCHIG00000019710	Capra_hircus	ENSCHIT00000029215
ENSUAMP00000021076	ENSUAMG00000016577	Ursus_americanus
ENSRROP00000039818	ENSRROG00000043204	Rhinopithecus_roxellana
ENSPVAP00000011652	ENSPVAG00000012363	Pteropus_vampyrus	ENSPVAT00000012362
ENSCJAP00000031021	ENSCJAG00000016849	Callithrix_jacchus
ENSVVUP00000039838	ENSVVUG00000028383	Vulpes_vulpes
ENSBIXP00005039740	ENSBIXG00005022158	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMLEP00000036081	ENSMLEG00000042168	Mandrillus_leucophaeus
ENSECAP00000019370	ENSECAG00000021952	Equus_caballus
ENSETEP00000004974	ENSETEG00000006126	Echinops_telfairi
ENSMPUP00000001560	ENSMPUG00000001576	Mustela_putorius_furo
ENSSBOP00000039437	ENSSBOG00000035757	Saimiri_boliviensis_boliviensis
ENSRNOP00000072416	ENSRNOG00000038291	Rattus_norvegicus
ENSBBBP00000027181	ENSBBBG00000023288	Bison_bison_bison
ENSBTAP00000055544	ENSBTAG00000015994	Bos_taurus
ENSMMMP00000026646	ENSMMMG00000023317	Marmota_marmota_marmota
ENSOGAP00000014094	ENSOGAG00000015732	Otolemur_garnettii
ENSPPRP00000006484	ENSPPRG00000001903	Panthera_pardus
ENSOPRP00000006631	ENSOPRG00000007245	Ochotona_princeps
ENSPPYP00000006089	ENSPPYG00000005347	Pongo_abelii
ENSMAUP00000018730	ENSMAUG00000017212	Mesocricetus_auratus
ENSMFAP00000020566	ENSMFAG00000033245	Macaca_fascicularis
