ENSMALP00000028298	ENSMALG00000019540	Monopterus_albus
ENSMAMP00000003550	ENSMAMG00000002322	Mastacembelus_armatus
ENSSDUP00000004973	ENSSDUG00000003599	Seriola_dumerili
ENSSMAP00000023748	ENSSMAG00000014431	Scophthalmus_maximus
ENSATEP00000005423	ENSATEG00000003669	Anabas_testudineus
ENSAOCP00000017711	ENSAOCG00000022880	Amphiprion_ocellaris
ENSAPEP00000025812	ENSAPEG00000018283	Amphiprion_percula
ENSAPOP00000014442	ENSAPOG00000017461	Acanthochromis_polyacanthus
ENSPFOP00000006136	ENSPFOG00000005431	Poecilia_formosa
ENSPNAP00000037316	ENSPNAG00000004515	Pygocentrus_nattereri
ENSIPUP00000013589	ENSIPUG00000009183	Ictalurus_punctatus
ENSPREP00000003920	ENSPREG00000002796	Poecilia_reticulata
ENSHHUP00000060209	ENSHHUG00000035723	Hucho_hucho
ENSPFOP00000011823	ENSPFOG00000011323	Poecilia_formosa
ENSNBRP00000015638	ENSNBRG00000012096	Neolamprologus_brichardi
ENSPKIP00000019355	ENSPKIG00000004551	Paramormyrops_kingsleyae
ENSONIP00000012279	ENSONIG00000009773	Oreochromis_niloticus
ENSMGAP00000013620	ENSMGAG00000012906	Meleagris_gallopavo
ENSCJPP00005011793	ENSCJPG00005010100	Coturnix_japonica
ENSPMJP00000015498	ENSPMJG00000011782	Parus_major
ENSPSIP00000004554	ENSPSIG00000004222	Pelodiscus_sinensis
ENSACAP00000012084	ENSACAG00000012191	Anolis_carolinensis
ENSCCNP00000005727	ENSCCNG00000005939	Castor_canadensis
ENSDORP00000026812	ENSDORG00000003304	Dipodomys_ordii
ENSUPAP00010008116	ENSUPAG00010006452	Urocitellus_parryii
ENSSTOP00000018535	ENSSTOG00000019372	Ictidomys_tridecemlineatus
ENSMMMP00000005638	ENSMMMG00000004920	Marmota_marmota_marmota
ENSFDAP00000013580	ENSFDAG00000000363	Fukomys_damarensis
MGP_SPRETEiJ_P0040194	MGP_SPRETEiJ_G0020755	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000007513	ENSMSIG00000006458	Mus_spicilegus
ENSMUSP00000125069	ENSMUSG00000079022	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0038403	MGP_CAROLIEiJ_G0019857	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0041767	MGP_PahariEiJ_G0019863	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000029936	ENSRNOG00000024824	Rattus_norvegicus
ENSMUGP00000009863	ENSMUGG00000008673	Meriones_unguiculatus
ENSPEMP00000030332	ENSPEMG00000030858	Peromyscus_maniculatus_bairdii
ENSMOCP00000020419	ENSMOCG00000018105	Microtus_ochrogaster
ENSCGRP00015003761	ENSCGRG00015002855	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001009217	ENSCGRG00001011324	Cricetulus_griseus_CHOK1GS_HDv1
ENSOCUP00000007537	ENSOCUG00000008699	Oryctolagus_cuniculus
ENSPANP00000018309	ENSPANG00000007983	Papio_anubis
ENSCSAP00000005871	ENSCSAG00000009743	Chlorocebus_sabaeus
ENSRROP00000005635	ENSRROG00000023084	Rhinopithecus_roxellana
ENSCANP00000036691	ENSCANG00000042008	Colobus_angolensis_palliatus
ENSCATP00000032643	ENSCATG00000039350	Cercocebus_atys
ENSCCAP00000028360	ENSCCAG00000032083	Cebus_capucinus_imitator
ENSPCOP00000022302	ENSPCOG00000023237	Propithecus_coquereli
ENSFCAP00000050006	ENSFCAG00000040466	Felis_catus
ENSPPRP00000006943	ENSPPRG00000002336	Panthera_pardus
ENSCAFP00000001679	ENSCAFG00000001178	Canis_lupus_familiaris
ENSVVUP00000026550	ENSVVUG00000019498	Vulpes_vulpes
ENSOANP00000011327	ENSOANG00000007120	Ornithorhynchus_anatinus
ENSPFOP00000014214	ENSPFOG00000012997	Poecilia_formosa
ENSPREP00000022521	ENSPREG00000015205	Poecilia_reticulata
ENSTNIP00000007005	ENSTNIG00000014018	Tetraodon_nigroviridis
ENSGMOP00000013604	ENSGMOG00000012707	Gadus_morhua
ENSLOCP00000004573	ENSLOCG00000003807	Lepisosteus_oculatus
ENSTGUP00000009048	ENSTGUG00000008766	Taeniopygia_guttata
ENSNPEP00000010814	ENSNPEG00000008132	Nothoprocta_perdicaria
ENSEEUP00000013518	ENSEEUG00000014680	Erinaceus_europaeus
ENSJJAP00000018066	ENSJJAG00000019371	Jaculus_jaculus
ENSCCAP00000029496	ENSCCAG00000032774	Cebus_capucinus_imitator
ENSHGLP00100014630	ENSHGLG00100010824	Heterocephalus_glaber_HetGla_1.0
ENSSHAP00000013074	ENSSHAG00000011181	Sarcophilus_harrisii
ENSXETP00000019264	ENSXETG00000001381	Xenopus_tropicalis
ENSMGAP00000015755	ENSMGAG00000014863	Meleagris_gallopavo
ENSGALP00000065392	ENSGALG00000016843	Gallus_gallus
ENSTGUP00000015565	ENSTGUG00000015224	Taeniopygia_guttata
ENSLACP00000011275	ENSLACG00000009918	Latimeria_chalumnae
ENSDARP00000128073	ENSDARG00000007912	Danio_rerio
