ENSMUSP00000136224	ENSMUSG00000094018	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000001458	ENSMSIG00000001423	Mus_spicilegus
MGP_SPRETEiJ_P0061236	MGP_SPRETEiJ_G0026188	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0058880	MGP_CAROLIEiJ_G0025245	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0069832	MGP_PahariEiJ_G0026689	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000029405	ENSMUGG00000024404	Meriones_unguiculatus
ENSMOCP00000019468	ENSMOCG00000017451	Microtus_ochrogaster
ENSCGRP00015009482	ENSCGRG00015007295	Cricetulus_griseus_CriGri-PICR
ENSNGAP00000015856	ENSNGAG00000016761	Nannospalax_galili
ENSCCNP00000016544	ENSCCNG00000016837	Castor_canadensis
ENSDORP00000015194	ENSDORG00000016153	Dipodomys_ordii
ENSPTRP00000051744	ENSPTRG00000001354	Pan_troglodytes
ENSPPAP00000023730	ENSPPAG00000035026	Pan_paniscus
ENSGGOP00000020941	ENSGGOG00000024473	Gorilla_gorilla
ENSP00000499289	ENSG00000196754	Homo_sapiens
ENSPPYP00000000944	ENSPPYG00000000807	Pongo_abelii
ENSNLEP00000012667	ENSNLEG00000010409	Nomascus_leucogenys
ENSRBIP00000040239	ENSRBIG00000043549	Rhinopithecus_bieti
ENSRROP00000000464	ENSRROG00000001625	Rhinopithecus_roxellana
ENSCANP00000036649	ENSCANG00000042002	Colobus_angolensis_palliatus
ENSMMUP00000014387	ENSMMUG00000010978	Macaca_mulatta
ENSMNEP00000033880	ENSMNEG00000040172	Macaca_nemestrina
ENSMFAP00000034320	ENSMFAG00000003648	Macaca_fascicularis
ENSPANP00000031979	ENSPANG00000014083	Papio_anubis
ENSTGEP00000023314	ENSTGEG00000018882	Theropithecus_gelada
ENSCATP00000031019	ENSCATG00000038657	Cercocebus_atys
ENSCSAP00000016176	ENSCSAG00000001855	Chlorocebus_sabaeus
ENSPTEP00000039251	ENSPTEG00000036345	Piliocolobus_tephrosceles
ENSMLEP00000026392	ENSMLEG00000037399	Mandrillus_leucophaeus
ENSSBOP00000012146	ENSSBOG00000022888	Saimiri_boliviensis_boliviensis
ENSCJAP00000016594	ENSCJAG00000067896	Callithrix_jacchus
ENSCCAP00000028778	ENSCCAG00000032373	Cebus_capucinus_imitator
ENSANAP00000001717	ENSANAG00000014891	Aotus_nancymaae
ENSPCOP00000013768	ENSPCOG00000018529	Propithecus_coquereli
ENSMICP00000016463	ENSMICG00000029559	Microcebus_murinus
ENSPSMP00000029781	ENSPSMG00000020676	Prolemur_simus
ENSTSYP00000032025	ENSTSYG00000027906	Carlito_syrichta
ENSBIXP00000041849	ENSBIXG00000001803	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005028599	ENSBIXG00005006078	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000071742	ENSBTAG00000037651	Bos_taurus
ENSBMUP00000036065	ENSBMUG00000026790	Bos_mutus
ENSBBBP00000004032	ENSBBBG00000012972	Bison_bison_bison
ENSOARP00000000692	ENSOARG00000000674	Ovis_aries
ENSCHIP00000009570	ENSCHIG00000012385	Capra_hircus
ENSSSCP00000030063	ENSSSCG00000006580	Sus_scrofa_strain_reference
ENSUAMP00000003916	ENSUAMG00000003614	Ursus_americanus
ENSUMAP00000028504	ENSUMAG00000020706	Ursus_maritimus
ENSAMEP00000012848	ENSAMEG00000012213	Ailuropoda_melanoleuca
ENSNVIP00000019073	ENSNVIG00000014942	Neovison_vison
ENSMPUP00000008280	ENSMPUG00000008343	Mustela_putorius_furo
ENSCAFP00000046914	ENSCAFG00000032326	Canis_lupus_familiaris
ENSCAFP00020012847	ENSCAFG00020010348	Canis_lupus_dingo
ENSVVUP00000039642	ENSVVUG00000028250	Vulpes_vulpes
ENSPTIP00000024554	ENSPTIG00000020617	Panthera_tigris_altaica
ENSPPRP00000007393	ENSPPRG00000002558	Panthera_pardus
ENSFCAP00000018025	ENSFCAG00000038959	Felis_catus
ENSECAP00000004869	ENSECAG00000006694	Equus_caballus
ENSEASP00005001112	ENSEASG00005000932	Equus_asinus_asinus
ENSSTOP00000000588	ENSSTOG00000000655	Ictidomys_tridecemlineatus
ENSUPAP00010019789	ENSUPAG00010015673	Urocitellus_parryii
ENSSDAP00000002640	ENSSDAG00000002542	Spermophilus_dauricus
ENSMMMP00000020506	ENSMMMG00000018090	Marmota_marmota_marmota
ENSOGAP00000006173	ENSOGAG00000006896	Otolemur_garnettii
ENSPVAP00000006543	ENSPVAG00000006934	Pteropus_vampyrus
ENSMLUP00000008500	ENSMLUG00000009333	Myotis_lucifugus
ENSLAFP00000018112	ENSLAFG00000026541	Loxodonta_africana
ENSETEP00000007094	ENSETEG00000008730	Echinops_telfairi
ENSVURP00010029609	ENSVURG00010022639	Vombatus_ursinus
ENSVURP00010022433	ENSVURG00010017170	Vombatus_ursinus
ENSPCIP00000043040	ENSPCIG00000029370	Phascolarctos_cinereus
ENSOANP00000022312	ENSOANG00000014147	Ornithorhynchus_anatinus
ENSCABP00000003821	ENSCABG00000002888	Chelonoidis_abingdonii
