ENSPMAP00000003625	ENSPMAG00000003309	Petromyzon_marinus	ENSPMAT00000003640
ENSEBUP00000017694	ENSEBUG00000011060	Eptatretus_burgeri	ENSEBUT00000018270
ENSPVIP00000015007	ENSPVIG00000011560	Pogona_vitticeps	ENSPVIT00000018758
ENSACAP00000016125	ENSACAG00000016363	Anolis_carolinensis	ENSACAT00000016446
ENSNSUP00000009307	ENSNSUG00000006947	Notechis_scutatus
ENSSMRP00000001160	ENSSMRG00000001022	Salvator_merianae
ENSSPUP00000018589	ENSSPUG00000014345	Sphenodon_punctatus
ENSAOWP00000002758	ENSAOWG00000001986	Apteryx_owenii
ENSARWP00000017674	ENSARWG00000012162	Apteryx_rowi
ENSAHAP00000013032	ENSAHAG00000009107	Apteryx_haastii
ENSDNVP00000020258	ENSDNVG00000014173	Dromaius_novaehollandiae
ENSNPEP00000021629	ENSNPEG00000016047	Nothoprocta_perdicaria
ENSABRP00000027061	ENSABRG00000022565	Anser_brachyrhynchus
ENSAPLP00000005048	ENSAPLG00000005422	Anas_platyrhynchos_platyrhynchos
ENSGALP00000057176	ENSGALG00000014787	Gallus_gallus
ENSCJPP00005009085	ENSCJPG00005008039	Coturnix_japonica
ENSMGAP00000004480	ENSMGAG00000004617	Meleagris_gallopavo
ENSNMEP00000007961	ENSNMEG00000007882	Numida_meleagris
ENSCPGP00000021826	ENSCPGG00000015199	Calidris_pygmaea
ENSCPUP00000021875	ENSCPUG00000014869	Calidris_pugnax
ENSMUNP00000017334	ENSMUNG00000013321	Melopsittacus_undulatus
ENSZALP00000003207	ENSZALG00000003263	Zonotrichia_albicollis
ENSJHYP00000003816	ENSJHYG00000003048	Junco_hyemalis
ENSSCAP00000008513	ENSSCAG00000006486	Serinus_canaria
ENSLSDP00000005470	ENSLSDG00000004267	Lonchura_striata_domestica
ENSTGUP00000000651	ENSTGUG00000000636	Taeniopygia_guttata
ENSPMJP00000021705	ENSPMJG00000016124	Parus_major
ENSCCEP00000018016	ENSCCEG00000016599	Cyanistes_caeruleus
ENSFALP00000010276	ENSFALG00000009851	Ficedula_albicollis
ENSMVIP00005021502	ENSMVIG00005015117	Manacus_vitellinus
ENSLCOP00000016937	ENSLCOG00000012038	Lepidothrix_coronata
ENSCPRP00005024916	ENSCPRG00005017288	Crocodylus_porosus
ENSCABP00000028499	ENSCABG00000020858	Chelonoidis_abingdonii
ENSGAGP00000004345	ENSGAGG00000003610	Gopherus_agassizii
ENSCPBP00000038980	ENSCPBG00000026888	Chrysemys_picta_bellii
ENSPSIP00000011682	ENSPSIG00000010552	Pelodiscus_sinensis
ENSVURP00010025456	ENSVURG00010019482	Vombatus_ursinus
ENSVURP00010029746	ENSVURG00010022727	Vombatus_ursinus
ENSPCIP00000001004	ENSPCIG00000000830	Phascolarctos_cinereus
ENSMEUP00000007527	ENSMEUG00000008232	Notamacropus_eugenii
ENSSHAP00000008197	ENSSHAG00000007104	Sarcophilus_harrisii
ENSMODP00000024577	ENSMODG00000019697	Monodelphis_domestica
ENSMODP00000032159	ENSMODG00000023902	Monodelphis_domestica
ENSPPAP00000021412	ENSPPAG00000033882	Pan_paniscus
ENSPTRP00000048262	ENSPTRG00000016941	Pan_troglodytes
ENSGGOP00000014771	ENSGGOG00000015127	Gorilla_gorilla
ENSP00000379836	ENSG00000145740	Homo_sapiens
ENSPPYP00000017344	ENSPPYG00000015521	Pongo_abelii
ENSNLEP00000034749	ENSNLEG00000003953	Nomascus_leucogenys
ENSPTEP00000009124	ENSPTEG00000010344	Piliocolobus_tephrosceles
ENSCANP00000008151	ENSCANG00000026784	Colobus_angolensis_palliatus
ENSRROP00000035636	ENSRROG00000041297	Rhinopithecus_roxellana
ENSRBIP00000031885	ENSRBIG00000039754	Rhinopithecus_bieti
ENSTGEP00000022411	ENSTGEG00000018139	Theropithecus_gelada
ENSPANP00000006424	ENSPANG00000025511	Papio_anubis
ENSMMUP00000069855	ENSMMUG00000018143	Macaca_mulatta
ENSMFAP00000031900	ENSMFAG00000036926	Macaca_fascicularis
ENSCATP00000034453	ENSCATG00000040127	Cercocebus_atys
ENSMLEP00000021604	ENSMLEG00000034999	Mandrillus_leucophaeus
ENSMNEP00000019459	ENSMNEG00000033492	Macaca_nemestrina
ENSCSAP00000011951	ENSCSAG00000015873	Chlorocebus_sabaeus
ENSCJAP00000029564	ENSCJAG00000016039	Callithrix_jacchus
ENSCCAP00000014427	ENSCCAG00000025016	Cebus_capucinus_imitator
ENSSBOP00000010116	ENSSBOG00000021871	Saimiri_boliviensis_boliviensis
ENSSBOP00000020159	ENSSBOG00000026687	Saimiri_boliviensis_boliviensis
ENSANAP00000026334	ENSANAG00000030835	Aotus_nancymaae
ENSTSYP00000015412	ENSTSYG00000014243	Carlito_syrichta
ENSMICP00000019952	ENSMICG00000013423	Microcebus_murinus
ENSPSMP00000029256	ENSPSMG00000020317	Prolemur_simus
ENSPCOP00000029986	ENSPCOG00000027703	Propithecus_coquereli
ENSOGAP00000001927	ENSOGAG00000002155	Otolemur_garnettii
ENSTBEP00000010123	ENSTBEG00000011709	Tupaia_belangeri
ENSOARP00000006229	ENSOARG00000005799	Ovis_aries
ENSCHIP00000024729	ENSCHIG00000021792	Capra_hircus
ENSBIXP00000032245	ENSBIXG00000014759	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005034443	ENSBIXG00005015407	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000001343	ENSBTAG00000001013	Bos_taurus
ENSBMUP00000032457	ENSBMUG00000024203	Bos_mutus
ENSBBBP00000019681	ENSBBBG00000002640	Bison_bison_bison
ENSTTRP00000005435	ENSTTRG00000005753	Tursiops_truncatus
ENSSSCP00000045046	ENSSSCG00000022430	Sus_scrofa_strain_reference
ENSVPAP00000010082	ENSVPAG00000010828	Vicugna_pacos
ENSECAP00000022088	ENSECAG00000024474	Equus_caballus
ENSEASP00005009520	ENSEASG00005006790	Equus_asinus_asinus
ENSUMAP00000010681	ENSUMAG00000008034	Ursus_maritimus
ENSUAMP00000034755	ENSUAMG00000026405	Ursus_americanus
ENSAMEP00000003271	ENSAMEG00000003073	Ailuropoda_melanoleuca
ENSMPUP00000014560	ENSMPUG00000014669	Mustela_putorius_furo
ENSNVIP00000019866	ENSNVIG00000015566	Neovison_vison
ENSCAFP00020024667	ENSCAFG00020019408	Canis_lupus_dingo
ENSCAFP00000011389	ENSCAFG00000007670	Canis_lupus_familiaris
ENSVVUP00000008873	ENSVVUG00000006638	Vulpes_vulpes
ENSPPRP00000003474	ENSPPRG00000022743	Panthera_pardus
ENSPTIP00000021513	ENSPTIG00000018637	Panthera_tigris_altaica
ENSFCAP00000007598	ENSFCAG00000008198	Felis_catus
ENSPVAP00000010212	ENSPVAG00000010836	Pteropus_vampyrus
ENSMLUP00000013623	ENSMLUG00000014955	Myotis_lucifugus
ENSEEUP00000014420	ENSEEUG00000015790	Erinaceus_europaeus
ENSCCNP00000022539	ENSCCNG00000022159	Castor_canadensis
ENSDORP00000003539	ENSDORG00000003790	Dipodomys_ordii
MGP_SPRETEiJ_P0036999	MGP_SPRETEiJ_G0019730	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000003582	ENSMSIG00000003198	Mus_spicilegus
ENSMUSP00000065764	ENSMUSG00000021629	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0035323	MGP_CAROLIEiJ_G0018851	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0026984	MGP_PahariEiJ_G0015923	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000025506	ENSRNOG00000018746	Rattus_norvegicus
ENSMUGP00000030732	ENSMUGG00000025552	Meriones_unguiculatus
ENSCGRP00001012728	ENSCGRG00001014056	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015007937	ENSCGRG00015006176	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000011921	ENSCGRG00000008683	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000009140	ENSMAUG00000010382	Mesocricetus_auratus
ENSMOCP00000019466	ENSMOCG00000017446	Microtus_ochrogaster
ENSPEMP00000026752	ENSPEMG00000022757	Peromyscus_maniculatus_bairdii
ENSNGAP00000011828	ENSNGAG00000013873	Nannospalax_galili
ENSJJAP00000001117	ENSJJAG00000000942	Jaculus_jaculus
ENSJJAP00000007139	ENSJJAG00000011611	Jaculus_jaculus
ENSUPAP00010026611	ENSUPAG00010021029	Urocitellus_parryii
ENSSTOP00000009390	ENSSTOG00000010451	Ictidomys_tridecemlineatus
ENSMMMP00000026598	ENSMMMG00000023272	Marmota_marmota_marmota
ENSSDAP00000020498	ENSSDAG00000018644	Spermophilus_dauricus
ENSCPOP00000003586	ENSCPOG00000003972	Cavia_porcellus
ENSCAPP00000004778	ENSCAPG00000007237	Cavia_aperea
ENSODEP00000021902	ENSODEG00000016100	Octodon_degus
ENSCLAP00000005172	ENSCLAG00000003670	Chinchilla_lanigera
ENSHGLP00000019496	ENSHGLG00000013964	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100020734	ENSHGLG00100015280	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100002430	ENSHGLG00100001882	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100021243	ENSHGLG00100015644	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000003916	ENSFDAG00000013245	Fukomys_damarensis
ENSOCUP00000009024	ENSOCUG00000010472	Oryctolagus_cuniculus
ENSOPRP00000000906	ENSOPRG00000000981	Ochotona_princeps
ENSSARP00000008726	ENSSARG00000009627	Sorex_araneus
ENSDNOP00000020922	ENSDNOG00000039614	Dasypus_novemcinctus
ENSCHOP00000008827	ENSCHOG00000009944	Choloepus_hoffmanni
ENSLAFP00000007846	ENSLAFG00000009364	Loxodonta_africana
ENSPCAP00000002243	ENSPCAG00000002374	Procavia_capensis
ENSETEP00000014693	ENSETEG00000018080	Echinops_telfairi
ENSTBEP00000008051	ENSTBEG00000009301	Tupaia_belangeri
ENSOANP00000016890	ENSOANG00000010651	Ornithorhynchus_anatinus
ENSXETP00000015262	ENSXETG00000000204	Xenopus_tropicalis
ENSLACP00000006725	ENSLACG00000005964	Latimeria_chalumnae
ENSCHAP00000057405	ENSCHAG00000025909	Clupea_harengus
ENSDCDP00000025497	ENSDCDG00000018827	Denticeps_clupeoides
ENSAMXP00005036482	ENSAMXG00005017423	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000012283	ENSAMXG00000011951	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000020975	ENSPNAG00000028001	Pygocentrus_nattereri
ENSEEEP00000020799	ENSEEEG00000010139	Electrophorus_electricus
ENSIPUP00000024869	ENSIPUG00000016766	Ictalurus_punctatus
ENSDARP00000068124	ENSDARG00000051921	Danio_rerio
ENSHHUP00000054456	ENSHHUG00000032606	Hucho_hucho
ENSELUP00000012223	ENSELUG00000012498	Esox_lucius
ENSFHEP00000004169	ENSFHEG00000005103	Fundulus_heteroclitus
ENSCVAP00000008620	ENSCVAG00000010484	Cyprinodon_variegatus
ENSXMAP00000005102	ENSXMAG00000005076	Xiphophorus_maculatus
ENSXCOP00000007405	ENSXCOG00000005710	Xiphophorus_couchianus
ENSGAFP00000006500	ENSGAFG00000004412	Gambusia_affinis
ENSPLAP00000003937	ENSPLAG00000005555	Poecilia_latipinna
ENSPFOP00000018152	ENSPFOG00000018040	Poecilia_formosa
ENSPMEP00000021501	ENSPMEG00000001783	Poecilia_mexicana
ENSPREP00000009332	ENSPREG00000006348	Poecilia_reticulata
ENSKMAP00000012359	ENSKMAG00000009237	Kryptolebias_marmoratus
ENSORLP00020005006	ENSORLG00020005812	Oryzias_latipes_ASM223471v1
ENSORLP00000035110	ENSORLG00000013542	Oryzias_latipes_ASM223467v1
ENSORLP00015034160	ENSORLG00015020003	Oryzias_latipes_ASM223469v1
ENSOMEP00000031978	ENSOMEG00000017151	Oryzias_melastigma
ENSGWIP00000028855	ENSGWIG00000015059	Gouania_willdenowi
ENSSMAP00000022911	ENSSMAG00000013950	Scophthalmus_maximus
ENSAOCP00000019394	ENSAOCG00000024662	Amphiprion_ocellaris
ENSAPEP00000027040	ENSAPEG00000019176	Amphiprion_percula
ENSAPOP00000015456	ENSAPOG00000018484	Acanthochromis_polyacanthus
ENSSPAP00000006934	ENSSPAG00000005326	Stegastes_partitus
ENSSPAP00000028991	ENSSPAG00000021804	Stegastes_partitus
ENSPRNP00000053159	ENSPRNG00000025052	Parambassis_ranga
ENSACLP00000040990	ENSACLG00000027606	Astatotilapia_calliptera
ENSMZEP00005019473	ENSMZEG00005014610	Maylandia_zebra
ENSHBUP00000010418	ENSHBUG00000012012	Haplochromis_burtoni
ENSPNYP00000022476	ENSPNYG00000016928	Pundamilia_nyererei
ENSNBRP00000029347	ENSNBRG00000022338	Neolamprologus_brichardi
ENSONIP00000016137	ENSONIG00000012822	Oreochromis_niloticus
ENSACIP00000023614	ENSACIG00000018331	Amphilophus_citrinellus
