MGP_CAROLIEiJ_P0045985	MGP_CAROLIEiJ_G0021976	Mus_caroli_strain_CAROLI_EIJ
ENSPNYP00000018493	ENSPNYG00000013971	Pundamilia_nyererei
ENSBIXP00005044511	ENSBIXG00005028386	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSATEP00000015567	ENSATEG00000010757	Anabas_testudineus
ENSBSLP00000034765	ENSBSLG00000016701	Betta_splendens
ENSNBRP00000002724	ENSNBRG00000002154	Neolamprologus_brichardi
ENSCGRP00001012004	ENSCGRG00001013506	Cricetulus_griseus_CHOK1GS_HDv1
ENSPNAP00000001921	ENSPNAG00000008437	Pygocentrus_nattereri
ENSTGEP00000034549	ENSTGEG00000027541	Theropithecus_gelada
ENSSFOP00015009033	ENSSFOG00015005879	Scleropages_formosus	ENSSFOT00015009158
ENSFHEP00000012878	ENSFHEG00000014339	Fundulus_heteroclitus
ENSPSMP00000006508	ENSPSMG00000004752	Prolemur_simus
ENSCPBP00000023833	ENSCPBG00000017001	Chrysemys_picta_bellii
ENSCCAP00000013751	ENSCCAG00000024678	Cebus_capucinus_imitator
ENSPMEP00000003305	ENSPMEG00000004428	Poecilia_mexicana
ENSORLP00015029277	ENSORLG00015012365	Oryzias_latipes_ASM223469v1
ENSPVIP00000030957	ENSPVIG00000022756	Pogona_vitticeps	ENSPVIT00000037945
ENSSFOP00015025932	ENSSFOG00015016625	Scleropages_formosus	ENSSFOT00015026219
ENSAHAP00000024451	ENSAHAG00000016999	Apteryx_haastii
ENSLCAP00010014099	ENSLCAG00010006688	Lates_calcarifer
ENSCGOP00000035323	ENSCGOG00000016298	Cottoperca_gobio
ENSPREP00000028325	ENSPREG00000019158	Poecilia_reticulata
ENSNSUP00000014832	ENSNSUG00000010974	Notechis_scutatus	ENSNSUT00000015788
ENSPKIP00000002847	ENSPKIG00000020527	Paramormyrops_kingsleyae
ENSCCEP00000010016	ENSCCEG00000010074	Cyanistes_caeruleus
ENSPRNP00000030653	ENSPRNG00000015260	Parambassis_ranga
ENSACIP00000000446	ENSACIG00000000380	Amphilophus_citrinellus
ENSLOCP00000008666	ENSLOCG00000007160	Lepisosteus_oculatus	ENSLOCT00000008676
ENSSHAP00000001343	ENSSHAG00000001196	Sarcophilus_harrisii
ENSEEEP00000021783	ENSEEEG00000010596	Electrophorus_electricus
ENSP00000263062	ENSG00000120616	Homo_sapiens
ENSPMEP00000020616	ENSPMEG00000023820	Poecilia_mexicana
ENSNGAP00000020837	ENSNGAG00000020206	Nannospalax_galili
ENSPSIP00000004627	ENSPSIG00000004335	Pelodiscus_sinensis
ENSPCAP00000000310	ENSPCAG00000000329	Procavia_capensis
ENSMFAP00000001978	ENSMFAG00000038306	Macaca_fascicularis
ENSGALP00000011596	ENSGALG00000007169	Gallus_gallus
ENSAMXP00000031103	ENSAMXG00000012778	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSUPAP00010009637	ENSUPAG00010007788	Urocitellus_parryii
ENSMMMP00000020127	ENSMMMG00000017762	Marmota_marmota_marmota
ENSXCOP00000020401	ENSXCOG00000015287	Xiphophorus_couchianus
