ENSSSCP00000012147	ENSSSCG00000011394	Sus_scrofa_strain_reference
ENSCGRP00001019894	ENSCGRG00001019202	Cricetulus_griseus_CHOK1GS_HDv1
ENSCJPP00005012401	ENSCJPG00005010548	Coturnix_japonica
ENSCJPP00005012400	ENSCJPG00005010542	Coturnix_japonica
ENSGALP00000065333	ENSGALG00000035578	Gallus_gallus
ENSBBBP00000005590	ENSBBBG00000001420	Bison_bison_bison
ENSCSAP00000010537	ENSCSAG00000014407	Chlorocebus_sabaeus
ENSHGLP00100017623	ENSHGLG00100012994	Heterocephalus_glaber_HetGla_1.0
ENSXETP00000052637	ENSXETG00000018306	Xenopus_tropicalis
ENSCPUP00000017593	ENSCPUG00000012118	Calidris_pugnax
ENSPANP00000005718	ENSPANG00000012436	Papio_anubis
ENSOANP00000031587	ENSOANG00000031085	Ornithorhynchus_anatinus
ENSTGUP00000005165	ENSTGUG00000004964	Taeniopygia_guttata
ENSCPRP00005022299	ENSCPRG00005015554	Crocodylus_porosus
ENSNMEP00000011362	ENSNMEG00000010669	Numida_meleagris
ENSCJAP00000008577	ENSCJAG00000004620	Callithrix_jacchus
ENSCGRP00015015917	ENSCGRG00015012214	Cricetulus_griseus_CriGri-PICR
ENSAMEP00000012712	ENSAMEG00000012049	Ailuropoda_melanoleuca	ENSAMET00000013250
ENSBIXP00000004387	ENSBIXG00000000648	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCAFP00020028203	ENSCAFG00020022120	Canis_lupus_dingo
ENSAPLP00000032523	ENSAPLG00000003536	Anas_platyrhynchos_platyrhynchos
ENSCPOP00000007324	ENSCPOG00000008146	Cavia_porcellus
ENSCPBP00000003110	ENSCPBG00000002497	Chrysemys_picta_bellii
ENSRBIP00000012424	ENSRBIG00000030131	Rhinopithecus_bieti
ENSHGLP00100023461	ENSHGLG00100017238	Heterocephalus_glaber_HetGla_1.0
ENSOGAP00000003753	ENSOGAG00000004201	Otolemur_garnettii
ENSSDAP00000015307	ENSSDAG00000013714	Spermophilus_dauricus
ENSPTIP00000000181	ENSPTIG00000000403	Panthera_tigris_altaica
ENSCGRP00000016385	ENSCGRG00000011896	Cricetulus_griseus_CriGri_1.0
ENSMMMP00000004171	ENSMMMG00000003737	Marmota_marmota_marmota
ENSZALP00000022917	ENSZALG00000017762	Zonotrichia_albicollis
ENSMUSP00000138400	ENSMUSG00000032582	Mus_musculus_strain_reference_(CL57BL6)
ENSMMUP00000004658	ENSMMUG00000003494	Macaca_mulatta
ENSMEUP00000005568	ENSMEUG00000006081	Notamacropus_eugenii
ENSLSDP00000025382	ENSLSDG00000017750	Lonchura_striata_domestica
ENSMFAP00000010556	ENSMFAG00000008096	Macaca_fascicularis
ENSDORP00000021226	ENSDORG00000026560	Dipodomys_ordii
ENSHGLP00100010245	ENSHGLG00100007617	Heterocephalus_glaber_HetGla_1.0
ENSABRP00000023527	ENSABRG00000019795	Anser_brachyrhynchus
