ENSPMJP00000025537	ENSPMJG00000018694	Parus_major
ENSCCEP00000023856	ENSCCEG00000021270	Cyanistes_caeruleus
ENSFALP00000008481	ENSFALG00000008140	Ficedula_albicollis
ENSLSDP00000015605	ENSLSDG00000011227	Lonchura_striata_domestica
ENSTGUP00000017663	ENSTGUG00000017385	Taeniopygia_guttata
ENSZALP00000010861	ENSZALG00000009150	Zonotrichia_albicollis
ENSJHYP00000019947	ENSJHYG00000015134	Junco_hyemalis
ENSSCAP00000013130	ENSSCAG00000009757	Serinus_canaria
ENSLCOP00000014999	ENSLCOG00000010735	Lepidothrix_coronata
ENSMVIP00005013523	ENSMVIG00005009788	Manacus_vitellinus
ENSABRP00000017727	ENSABRG00000015341	Anser_brachyrhynchus
ENSAPLP00000018224	ENSAPLG00000023321	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000002428	ENSMGAG00000002780	Meleagris_gallopavo
ENSCJPP00005027577	ENSCJPG00005021369	Coturnix_japonica
ENSGALP00000069414	ENSGALG00000047573	Gallus_gallus
ENSNMEP00000018667	ENSNMEG00000016189	Numida_meleagris
ENSCPGP00000019805	ENSCPGG00000013773	Calidris_pygmaea
ENSCPUP00000025580	ENSCPUG00000017299	Calidris_pugnax
ENSMUNP00000018599	ENSMUNG00000014196	Melopsittacus_undulatus
ENSJHYP00000019941	ENSJHYG00000015132	Junco_hyemalis
ENSMVIP00005013529	ENSMVIG00005009796	Manacus_vitellinus
ENSAHAP00000013020	ENSAHAG00000009390	Apteryx_haastii
ENSAOWP00000023744	ENSAOWG00000016010	Apteryx_owenii
ENSARWP00000004971	ENSARWG00000003577	Apteryx_rowi
ENSDNVP00000021744	ENSDNVG00000015174	Dromaius_novaehollandiae
ENSNPEP00000014525	ENSNPEG00000010866	Nothoprocta_perdicaria
ENSCPRP00005008906	ENSCPRG00005006337	Crocodylus_porosus
ENSCABP00000012257	ENSCABG00000009188	Chelonoidis_abingdonii
ENSGAGP00000022882	ENSGAGG00000016772	Gopherus_agassizii
ENSCPBP00000037224	ENSCPBG00000025805	Chrysemys_picta_bellii
ENSPSIP00000012104	ENSPSIG00000010926	Pelodiscus_sinensis
ENSPVIP00000030525	ENSPVIG00000022456	Pogona_vitticeps
ENSACAP00000001099	ENSACAG00000001162	Anolis_carolinensis
ENSNSUP00000019486	ENSNSUG00000014247	Notechis_scutatus
ENSSMRP00000014179	ENSSMRG00000011039	Salvator_merianae
ENSMODP00000036332	ENSMODG00000006231	Monodelphis_domestica
ENSPCIP00000014754	ENSPCIG00000011512	Phascolarctos_cinereus
ENSSHAP00000007457	ENSSHAG00000006480	Sarcophilus_harrisii
ENSOANP00000001528	ENSOANG00000000966	Ornithorhynchus_anatinus
ENSXETP00000043335	ENSXETG00000002247	Xenopus_tropicalis
ENSPKIP00000038254	ENSPKIG00000016105	Paramormyrops_kingsleyae
ENSSFOP00015009835	ENSSFOG00015006400	Scleropages_formosus
ENSACIP00000005989	ENSACIG00000004703	Amphilophus_citrinellus
ENSORLP00000006796	ENSORLG00000024555	Oryzias_latipes_ASM223467v1
ENSMMOP00000028407	ENSMMOG00000021453	Mola_mola
ENSIPUP00000027642	ENSIPUG00000018727	Ictalurus_punctatus
ENSEEEP00000039371	ENSEEEG00000018700	Electrophorus_electricus	ENSEEET00000039822
ENSEEEP00000039369	ENSEEEG00000018699	Electrophorus_electricus	ENSEEET00000039820
ENSIPUP00000027651	ENSIPUG00000018735	Ictalurus_punctatus	ENSIPUT00000028775
ENSAMXP00000048305	ENSAMXG00000032179	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000049594
ENSAMXP00005005198	ENSAMXG00005003243	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000023523	ENSPNAG00000008083	Pygocentrus_nattereri
ENSDARP00000101376	ENSDARG00000075487	Danio_rerio
ENSDCDP00000029792	ENSDCDG00000021043	Denticeps_clupeoides
ENSHHUP00000008457	ENSHHUG00000005085	Hucho_hucho
ENSHHUP00000022334	ENSHHUG00000013982	Hucho_hucho
ENSELUP00000039506	ENSELUG00000019673	Esox_lucius
ENSHBUP00000024869	ENSHBUG00000006544	Haplochromis_burtoni
ENSNBRP00000015488	ENSNBRG00000011987	Neolamprologus_brichardi
ENSGWIP00000044373	ENSGWIG00000022087	Gouania_willdenowi
ENSORLP00015024827	ENSORLG00015005600	Oryzias_latipes_ASM223469v1
ENSORLP00000006792	ENSORLG00000005389	Oryzias_latipes_ASM223467v1
ENSOMEP00000032122	ENSOMEG00000000428	Oryzias_melastigma
ENSBSLP00000049123	ENSBSLG00000023382	Betta_splendens
ENSSDUP00000004492	ENSSDUG00000003350	Seriola_dumerili
ENSSLDP00000013450	ENSSLDG00000010728	Seriola_lalandi_dorsalis
ENSLCAP00010058648	ENSLCAG00010027356	Lates_calcarifer
ENSSMAP00000032281	ENSSMAG00000019780	Scophthalmus_maximus
ENSPRNP00000024861	ENSPRNG00000012642	Parambassis_ranga
ENSMMOP00000028406	ENSMMOG00000021451	Mola_mola
ENSTRUP00000031974	ENSTRUG00000012634	Takifugu_rubripes
ENSTNIP00000008356	ENSTNIG00000018149	Tetraodon_nigroviridis
ENSCGOP00000007430	ENSCGOG00000003785	Cottoperca_gobio
ENSACLP00000033114	ENSACLG00000022446	Astatotilapia_calliptera
ENSPNYP00000026488	ENSPNYG00000019910	Pundamilia_nyererei
ENSMZEP00005020618	ENSMZEG00005015469	Maylandia_zebra
ENSONIP00000002080	ENSONIG00000001660	Oreochromis_niloticus
ENSCSEP00000033028	ENSCSEG00000021201	Cynoglossus_semilaevis
ENSLCRP00005005452	ENSLCRG00005002790	Larimichthys_crocea
ENSLBEP00000036343	ENSLBEG00000027196	Labrus_bergylta
ENSGACP00000019284	ENSGACG00000014610	Gasterosteus_aculeatus
ENSAOCP00000028875	ENSAOCG00000001919	Amphiprion_ocellaris
ENSAPEP00000013779	ENSAPEG00000009823	Amphiprion_percula
ENSAPOP00000026194	ENSAPOG00000009842	Acanthochromis_polyacanthus
ENSSPAP00000018003	ENSSPAG00000013506	Stegastes_partitus
