ENSMODP00000040576	ENSMODG00000025743	Monodelphis_domestica	ENSMODT00000043681
ENSMODP00000041354	ENSMODG00000036681	Monodelphis_domestica	ENSMODT00000088578
ENSSHAP00000007171	ENSSHAG00000006230	Sarcophilus_harrisii	ENSSHAT00000007233
ENSEEUP00000004917	ENSEEUG00000005422	Erinaceus_europaeus	ENSEEUT00000005403
ENSSARP00000008744	ENSSARG00000009682	Sorex_araneus	ENSSART00000009675
ENSECAP00000010304	ENSECAG00000012590	Equus_caballus
ENSUAMP00000000113	ENSUAMG00000000163	Ursus_americanus
ENSAMEP00000000469	ENSAMEG00000000456	Ailuropoda_melanoleuca
ENSNVIP00000012750	ENSNVIG00000010095	Neovison_vison
ENSMPUP00000007706	ENSMPUG00000007762	Mustela_putorius_furo
ENSCAFP00000009934	ENSCAFG00000006647	Canis_lupus_familiaris
ENSCAFP00020031774	ENSCAFG00020024776	Canis_lupus_dingo
ENSPTIP00000011747	ENSPTIG00000012063	Panthera_tigris_altaica
ENSPPRP00000013691	ENSPPRG00000006808	Panthera_pardus
ENSFCAP00000029125	ENSFCAG00000033348	Felis_catus
ENSBIXP00005014682	ENSBIXG00005018629	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000024554	ENSBIXG00000007765	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000020673	ENSBTAG00000015558	Bos_taurus
ENSBMUP00000023208	ENSBMUG00000017442	Bos_mutus
ENSBBBP00000017585	ENSBBBG00000010083	Bison_bison_bison
ENSOARP00000004038	ENSOARG00000003784	Ovis_aries
ENSCHIP00000033009	ENSCHIG00000026738	Capra_hircus
ENSTTRP00000012783	ENSTTRG00000013474	Tursiops_truncatus
ENSSSCP00000058066	ENSSSCG00000034511	Sus_scrofa_strain_reference
ENSVPAP00000000523	ENSVPAG00000000566	Vicugna_pacos
ENSP00000296695	ENSG00000164266	Homo_sapiens
ENSPTRP00000029708	ENSPTRG00000017382	Pan_troglodytes
ENSGGOP00000008218	ENSGGOG00000008412	Gorilla_gorilla
ENSPPYP00000017808	ENSPPYG00000015918	Pongo_abelii
ENSNLEP00000012185	ENSNLEG00000009998	Nomascus_leucogenys
ENSRROP00000013593	ENSRROG00000031035	Rhinopithecus_roxellana
ENSRBIP00000020044	ENSRBIG00000034013	Rhinopithecus_bieti
ENSPTEP00000022074	ENSPTEG00000023033	Piliocolobus_tephrosceles
ENSCANP00000033874	ENSCANG00000040609	Colobus_angolensis_palliatus
ENSTGEP00000035463	ENSTGEG00000028222	Theropithecus_gelada
ENSMLEP00000031076	ENSMLEG00000039740	Mandrillus_leucophaeus
ENSMNEP00000030446	ENSMNEG00000038677	Macaca_nemestrina
ENSMFAP00000003075	ENSMFAG00000033647	Macaca_fascicularis
ENSMMUP00000022655	ENSMMUG00000017227	Macaca_mulatta
ENSCSAP00000008326	ENSCSAG00000012141	Chlorocebus_sabaeus
ENSPANP00000009824	ENSPANG00000012365	Papio_anubis
ENSCATP00000037467	ENSCATG00000041459	Cercocebus_atys
ENSCJAP00000039594	ENSCJAG00000021274	Callithrix_jacchus
ENSSBOP00000002140	ENSSBOG00000011269	Saimiri_boliviensis_boliviensis
ENSCCAP00000001163	ENSCCAG00000007627	Cebus_capucinus_imitator
ENSANAP00000011651	ENSANAG00000023762	Aotus_nancymaae
ENSTSYP00000005278	ENSTSYG00000005755	Carlito_syrichta
ENSOPRP00000012361	ENSOPRG00000013559	Ochotona_princeps
ENSRNOP00000017969	ENSRNOG00000013410	Rattus_norvegicus
ENSRNOP00000064556	ENSRNOG00000045991	Rattus_norvegicus
ENSRNOP00000018110	ENSRNOG00000013464	Rattus_norvegicus
ENSMUSP00000025381	ENSMUSG00000024503	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0048563	MGP_SPRETEiJ_G0023144	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000028380	ENSMSIG00000023864	Mus_spicilegus
MGP_CAROLIEiJ_P0046639	MGP_CAROLIEiJ_G0022234	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0039227	MGP_PahariEiJ_G0018967	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000021773	ENSMUGG00000018317	Meriones_unguiculatus
ENSCGRP00015005277	ENSCGRG00015004154	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001009952	ENSCGRG00001011963	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000011577	ENSMAUG00000012128	Mesocricetus_auratus
ENSPEMP00000003984	ENSPEMG00000006023	Peromyscus_maniculatus_bairdii
ENSMOCP00000024387	ENSMOCG00000020829	Microtus_ochrogaster
ENSNGAP00000010986	ENSNGAG00000013268	Nannospalax_galili
ENSJJAP00000003311	ENSJJAG00000006429	Jaculus_jaculus
ENSUPAP00010016256	ENSUPAG00010012976	Urocitellus_parryii
ENSMMMP00000021373	ENSMMMG00000018832	Marmota_marmota_marmota
