ENSPTEP00000022448	ENSPTEG00000023398	Piliocolobus_tephrosceles	ENSPTET00000032279
ENSPTEP00000025555	ENSPTEG00000025833	Piliocolobus_tephrosceles	ENSPTET00000036144
ENSPEMP00000034137	ENSPEMG00000030485	Peromyscus_maniculatus_bairdii
ENSCHIP00000006735	ENSCHIG00000010487	Capra_hircus
ENSBMUP00000007009	ENSBMUG00000005547	Bos_mutus
ENSCHIP00000015207	ENSCHIG00000015938	Capra_hircus
ENSSSCP00000060699	ENSSSCG00000048332	Sus_scrofa_strain_reference
ENSCAFP00020005190	ENSCAFG00020004267	Canis_lupus_dingo
ENSCAFP00000054759	ENSCAFG00000041327	Canis_lupus_familiaris
ENSVVUP00000010066	ENSVVUG00000007437	Vulpes_vulpes
ENSVVUP00000017341	ENSVVUG00000012771	Vulpes_vulpes
ENSCHOP00000011366	ENSCHOG00000012848	Choloepus_hoffmanni
ENSPCAP00000014229	ENSPCAG00000015254	Procavia_capensis
ENSDORP00000027132	ENSDORG00000028029	Dipodomys_ordii	ENSDORT00000035179
ENSEEUP00000007429	ENSEEUG00000008182	Erinaceus_europaeus	ENSEEUT00000008154
ENSPPYP00000003548	ENSPPYG00000003066	Pongo_abelii
ENSGGOP00000023628	ENSGGOG00000025059	Gorilla_gorilla
ENSPCOP00000028802	ENSPCOG00000027075	Propithecus_coquereli
ENSPSMP00000034201	ENSPSMG00000023581	Prolemur_simus
ENSCAFP00020018877	ENSCAFG00020014991	Canis_lupus_dingo
ENSCAFP00000061156	ENSCAFG00000046052	Canis_lupus_familiaris
ENSFCAP00000057516	ENSFCAG00000052903	Felis_catus
ENSEASP00005018521	ENSEASG00005012765	Equus_asinus_asinus
ENSEASP00005004775	ENSEASG00005003595	Equus_asinus_asinus
ENSECAP00000005326	ENSECAG00000007291	Equus_caballus
ENSLAFP00000018156	ENSLAFG00000029795	Loxodonta_africana
ENSPCIP00000008252	ENSPCIG00000030628	Phascolarctos_cinereus
ENSVURP00010027001	ENSVURG00010020689	Vombatus_ursinus
