ENSPMAP00000000973	ENSPMAG00000000880	Petromyzon_marinus	ENSPMAT00000000977
ENSEBUP00000017998	ENSEBUG00000011242	Eptatretus_burgeri	ENSEBUT00000018571
ENSABRP00000007555	ENSABRG00000006939	Anser_brachyrhynchus
ENSAPLP00000006779	ENSAPLG00000007145	Anas_platyrhynchos_platyrhynchos
ENSGALP00000047840	ENSGALG00000034960	Gallus_gallus	ENSGALT00000078679
ENSMGAP00000019532	ENSMGAG00000001187	Meleagris_gallopavo	ENSMGAT00000019414
ENSCJPP00005004208	ENSCJPG00005004057	Coturnix_japonica
ENSNMEP00000013793	ENSNMEG00000012507	Numida_meleagris
ENSLCOP00000011224	ENSLCOG00000008145	Lepidothrix_coronata
ENSMVIP00005012994	ENSMVIG00005009423	Manacus_vitellinus
ENSLSDP00000013671	ENSLSDG00000009909	Lonchura_striata_domestica
ENSTGUP00000003175	ENSTGUG00000003070	Taeniopygia_guttata
ENSJHYP00000019843	ENSJHYG00000015067	Junco_hyemalis
ENSZALP00000004280	ENSZALG00000004045	Zonotrichia_albicollis
ENSSCAP00000004938	ENSSCAG00000003954	Serinus_canaria
ENSFALP00000014286	ENSFALG00000013690	Ficedula_albicollis
ENSPMJP00000025746	ENSPMJG00000018837	Parus_major
ENSCCEP00000007150	ENSCCEG00000007559	Cyanistes_caeruleus
ENSCPGP00000008590	ENSCPGG00000006105	Calidris_pygmaea
ENSCPUP00000016492	ENSCPUG00000011406	Calidris_pugnax
ENSMUNP00000009530	ENSMUNG00000007526	Melopsittacus_undulatus
ENSAOWP00000017060	ENSAOWG00000011664	Apteryx_owenii
ENSAHAP00000017005	ENSAHAG00000012127	Apteryx_haastii
ENSARWP00000012951	ENSARWG00000008970	Apteryx_rowi
ENSDNVP00000023777	ENSDNVG00000016508	Dromaius_novaehollandiae
ENSNPEP00000005515	ENSNPEG00000004159	Nothoprocta_perdicaria
ENSCPRP00005009267	ENSCPRG00005006564	Crocodylus_porosus
ENSCPBP00000013176	ENSCPBG00000009889	Chrysemys_picta_bellii
ENSCPBP00000013183	ENSCPBG00000009896	Chrysemys_picta_bellii
ENSCABP00000011426	ENSCABG00000008489	Chelonoidis_abingdonii
ENSGAGP00000029600	ENSGAGG00000021376	Gopherus_agassizii
ENSPSIP00000017228	ENSPSIG00000015212	Pelodiscus_sinensis
ENSSPUP00000015031	ENSSPUG00000011560	Sphenodon_punctatus
ENSPVIP00000011991	ENSPVIG00000009396	Pogona_vitticeps
ENSACAP00000013407	ENSACAG00000013663	Anolis_carolinensis
ENSNSUP00000007596	ENSNSUG00000005975	Notechis_scutatus
ENSACAP00000007531	ENSACAG00000007699	Anolis_carolinensis
ENSSMRP00000011078	ENSSMRG00000008679	Salvator_merianae
ENSLAFP00000028130	ENSLAFG00000000706	Loxodonta_africana
ENSPCAP00000009714	ENSPCAG00000010393	Procavia_capensis
ENSETEP00000007204	ENSETEG00000008859	Echinops_telfairi
ENSDNOP00000029393	ENSDNOG00000038567	Dasypus_novemcinctus
ENSBIXP00005029639	ENSBIXG00005006983	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000000937	ENSBIXG00000029184	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000012060	ENSBTAG00000009153	Bos_taurus
ENSBMUP00000010593	ENSBMUG00000008169	Bos_mutus
ENSBBBP00000002692	ENSBBBG00000002199	Bison_bison_bison
ENSCHIP00000023119	ENSCHIG00000020795	Capra_hircus
ENSOARP00000013260	ENSOARG00000012375	Ovis_aries
ENSTTRP00000015625	ENSTTRG00000016482	Tursiops_truncatus
ENSSSCP00000048087	ENSSSCG00000007710	Sus_scrofa_strain_reference
ENSUAMP00000021174	ENSUAMG00000016609	Ursus_americanus
ENSUMAP00000018625	ENSUMAG00000013652	Ursus_maritimus
ENSAMEP00000011867	ENSAMEG00000011254	Ailuropoda_melanoleuca
ENSNVIP00000005745	ENSNVIG00000004509	Neovison_vison
ENSMPUP00000015967	ENSMPUG00000016074	Mustela_putorius_furo
ENSCAFP00020015520	ENSCAFG00020012466	Canis_lupus_dingo
ENSCAFP00000019137	ENSCAFG00000012970	Canis_lupus_familiaris
ENSVVUP00000034162	ENSVVUG00000024675	Vulpes_vulpes
ENSFCAP00000004390	ENSFCAG00000004749	Felis_catus
ENSPPRP00000011778	ENSPPRG00000005627	Panthera_pardus
