ENSMGAP00000009749	ENSMGAG00000009444	Meleagris_gallopavo
ENSCJPP00005021058	ENSCJPG00005016873	Coturnix_japonica
ENSGALP00000054785	ENSGALG00000029820	Gallus_gallus
ENSNMEP00000025244	ENSNMEG00000021379	Numida_meleagris
ENSABRP00000027460	ENSABRG00000022860	Anser_brachyrhynchus
ENSAPLP00000014251	ENSAPLG00000014420	Anas_platyrhynchos_platyrhynchos
ENSTGUP00000003998	ENSTGUG00000003890	Taeniopygia_guttata
ENSLSDP00000015327	ENSLSDG00000011046	Lonchura_striata_domestica
ENSSCAP00000017357	ENSSCAG00000012615	Serinus_canaria
ENSPMJP00000010800	ENSPMJG00000008452	Parus_major
ENSCCEP00000015280	ENSCCEG00000014477	Cyanistes_caeruleus
ENSJHYP00000023436	ENSJHYG00000017638	Junco_hyemalis
ENSZALP00000005242	ENSZALG00000004875	Zonotrichia_albicollis
ENSFALP00000004556	ENSFALG00000004374	Ficedula_albicollis
ENSLCOP00000010491	ENSLCOG00000007625	Lepidothrix_coronata
ENSMVIP00005011198	ENSMVIG00005008213	Manacus_vitellinus
ENSCPGP00000012996	ENSCPGG00000009222	Calidris_pygmaea
ENSCPUP00000025775	ENSCPUG00000017391	Calidris_pugnax
ENSAHAP00000015539	ENSAHAG00000011114	Apteryx_haastii
ENSARWP00000007081	ENSARWG00000004964	Apteryx_rowi
ENSAOWP00000019274	ENSAOWG00000013103	Apteryx_owenii
ENSCPRP00005003190	ENSCPRG00005002349	Crocodylus_porosus
ENSGAGP00000023112	ENSGAGG00000016936	Gopherus_agassizii
ENSPCAP00000015136	ENSPCAG00000016215	Procavia_capensis
ENSETEP00000001311	ENSETEG00000001626	Echinops_telfairi
ENSPSMP00000035350	ENSPSMG00000024362	Prolemur_simus
ENSPCOP00000012674	ENSPCOG00000017936	Propithecus_coquereli
ENSMICP00000016233	ENSMICG00000017823	Microcebus_murinus
ENSOGAP00000013647	ENSOGAG00000015241	Otolemur_garnettii
ENSPTRP00000013184	ENSPTRG00000007719	Pan_troglodytes
ENSP00000458762	ENSG00000153406	Homo_sapiens
ENSPPYP00000007985	ENSPPYG00000007060	Pongo_abelii
ENSNLEP00000011999	ENSNLEG00000009852	Nomascus_leucogenys
ENSPANP00000037650	ENSPANG00000029761	Papio_anubis
ENSTGEP00000030488	ENSTGEG00000024463	Theropithecus_gelada
ENSMLEP00000021997	ENSMLEG00000035205	Mandrillus_leucophaeus
ENSCATP00000042325	ENSCATG00000043785	Cercocebus_atys
ENSMFAP00000014203	ENSMFAG00000030193	Macaca_fascicularis
ENSMMUP00000027049	ENSMMUG00000020540	Macaca_mulatta
ENSMNEP00000030250	ENSMNEG00000038581	Macaca_nemestrina
ENSCSAP00000005399	ENSCSAG00000009171	Chlorocebus_sabaeus
ENSRBIP00000010240	ENSRBIG00000028967	Rhinopithecus_bieti
ENSCANP00000000849	ENSCANG00000003030	Colobus_angolensis_palliatus
ENSCJAP00000061315	ENSCJAG00000019832	Callithrix_jacchus
ENSSBOP00000040617	ENSSBOG00000036276	Saimiri_boliviensis_boliviensis
ENSCCAP00000021731	ENSCCAG00000028700	Cebus_capucinus_imitator
ENSANAP00000034495	ENSANAG00000034862	Aotus_nancymaae
ENSTSYP00000006103	ENSTSYG00000006683	Carlito_syrichta
ENSDORP00000017907	ENSDORG00000014893	Dipodomys_ordii
ENSCCNP00000026662	ENSCCNG00000025846	Castor_canadensis
ENSMSIP00000032276	ENSMSIG00000027027	Mus_spicilegus
MGP_SPRETEiJ_P0042046	MGP_SPRETEiJ_G0021301	Mus_spretus_strain_SPRET/EiJ
