ENSSPUP00000023599	ENSSPUG00000018095	Sphenodon_punctatus	ENSSPUT00000025174
ENSMLEP00000012140	ENSMLEG00000030219	Mandrillus_leucophaeus
ENSRBIP00000007855	ENSRBIG00000027831	Rhinopithecus_bieti
ENSSPUP00000023593	ENSSPUG00000018089	Sphenodon_punctatus
ENSPVIP00000010627	ENSPVIG00000008423	Pogona_vitticeps	ENSPVIT00000013522
ENSMOCP00000005604	ENSMOCG00000005088	Microtus_ochrogaster
ENSCABP00000012305	ENSCABG00000009114	Chelonoidis_abingdonii
ENSAPEP00000020331	ENSAPEG00000014423	Amphiprion_percula
ENSEASP00005017194	ENSEASG00005011877	Equus_asinus_asinus
ENSTNIP00000010774	ENSTNIG00000007952	Tetraodon_nigroviridis	ENSTNIT00000010955
ENSXCOP00000010326	ENSXCOG00000007827	Xiphophorus_couchianus
ENSHHUP00000020821	ENSHHUG00000012968	Hucho_hucho
MGP_CAROLIEiJ_P0036781	MGP_CAROLIEiJ_G0019292	Mus_caroli_strain_CAROLI_EIJ
ENSVURP00010029648	ENSVURG00010022664	Vombatus_ursinus
ENSNBRP00000024387	ENSNBRG00000018587	Neolamprologus_brichardi
ENSXETP00000008846	ENSXETG00000006722	Xenopus_tropicalis
ENSAMXP00000037208	ENSAMXG00000005612	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPKIP00000028394	ENSPKIG00000010012	Paramormyrops_kingsleyae
ENSPEMP00000019118	ENSPEMG00000017479	Peromyscus_maniculatus_bairdii
ENSEEUP00000003701	ENSEEUG00000003964	Erinaceus_europaeus
ENSCGOP00000055288	ENSCGOG00000024121	Cottoperca_gobio
ENSOMEP00000009437	ENSOMEG00000010756	Oryzias_melastigma
ENSBSLP00000041850	ENSBSLG00000020046	Betta_splendens
ENSMODP00000034126	ENSMODG00000024436	Monodelphis_domestica
ENSMNEP00000006955	ENSMNEG00000028028	Macaca_nemestrina
ENSMAMP00000023149	ENSMAMG00000015543	Mastacembelus_armatus
ENSCAFP00000017194	ENSCAFG00000011712	Canis_lupus_familiaris
ENSSDAP00000024826	ENSSDAG00000022558	Spermophilus_dauricus
ENSXMAP00000016839	ENSXMAG00000016807	Xiphophorus_maculatus
ENSHCOP00000025885	ENSHCOG00000016417	Hippocampus_comes
ENSTTRP00000008165	ENSTTRG00000008614	Tursiops_truncatus
ENSATEP00000022522	ENSATEG00000015564	Anabas_testudineus
MGP_SPRETEiJ_P0038502	MGP_SPRETEiJ_G0020181	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0084897	MGP_PahariEiJ_G0030309	Mus_pahari_strain_PAHARI_EIJ
ENSCANP00000033520	ENSCANG00000040407	Colobus_angolensis_palliatus
ENSCSAP00000012292	ENSCSAG00000016287	Chlorocebus_sabaeus
ENSLACP00000018535	ENSLACG00000016318	Latimeria_chalumnae
ENSHBUP00000014272	ENSHBUG00000016247	Haplochromis_burtoni
ENSTRUP00000040929	ENSTRUG00000016009	Takifugu_rubripes
ENSANAP00000008738	ENSANAG00000022339	Aotus_nancymaae
ENSCGRP00015024391	ENSCGRG00015018492	Cricetulus_griseus_CriGri-PICR
ENSCVAP00000009506	ENSCVAG00000011512	Cyprinodon_variegatus
ENSELUP00000003767	ENSELUG00000004977	Esox_lucius
ENSONIP00000003631	ENSONIG00000002900	Oreochromis_niloticus
ENSMALP00000017092	ENSMALG00000011913	Monopterus_albus
ENSSSCP00000002199	ENSSSCG00000002012	Sus_scrofa_strain_reference
ENSPCAP00000013927	ENSPCAG00000014788	Procavia_capensis
ENSPRNP00000038211	ENSPRNG00000018945	Parambassis_ranga
ENSHHUP00000053201	ENSHHUG00000031907	Hucho_hucho
ENSPREP00000030125	ENSPREG00000020271	Poecilia_reticulata
ENSAPEP00000027443	ENSAPEG00000019429	Amphiprion_percula
ENSDNOP00000007390	ENSDNOG00000009500	Dasypus_novemcinctus
ENSP00000340467	ENSG00000186648	Homo_sapiens
ENSPFOP00000016959	ENSPFOG00000016805	Poecilia_formosa
ENSTGEP00000026332	ENSTGEG00000021214	Theropithecus_gelada
ENSPMGP00000009243	ENSPMGG00000007653	Periophthalmus_magnuspinnatus
ENSORLP00020025215	ENSORLG00020007008	Oryzias_latipes_ASM223471v1
ENSCPBP00000037322	ENSCPBG00000025868	Chrysemys_picta_bellii
ENSLCRP00005028029	ENSLCRG00005011124	Larimichthys_crocea
ENSCHIP00000004654	ENSCHIG00000008670	Capra_hircus
ENSACAP00000008052	ENSACAG00000008139	Anolis_carolinensis
ENSOCUP00000014111	ENSOCUG00000016402	Oryctolagus_cuniculus
ENSSFOP00015016650	ENSSFOG00015010629	Scleropages_formosus
ENSSPAP00000009842	ENSSPAG00000007446	Stegastes_partitus
ENSCSEP00000028943	ENSCSEG00000018515	Cynoglossus_semilaevis
ENSMICP00000020812	ENSMICG00000001665	Microcebus_murinus
ENSKMAP00000006369	ENSKMAG00000004833	Kryptolebias_marmoratus
ENSCHAP00000026576	ENSCHAG00000012694	Clupea_harengus
ENSDCDP00000003936	ENSDCDG00000001971	Denticeps_clupeoides
ENSPTRP00000084434	ENSPTRG00000006188	Pan_troglodytes
ENSSFOP00015034146	ENSSFOG00015021744	Scleropages_formosus
ENSSDUP00000015835	ENSSDUG00000011440	Seriola_dumerili
ENSPPAP00000025375	ENSPPAG00000035810	Pan_paniscus
ENSMGAP00000008706	ENSMGAG00000008492	Meleagris_gallopavo
ENSLAFP00000019286	ENSLAFG00000015772	Loxodonta_africana
ENSPREP00000032777	ENSPREG00000022193	Poecilia_reticulata
ENSAMXP00005009293	ENSAMXG00005005238	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSFHEP00000024832	ENSFHEG00000006662	Fundulus_heteroclitus
ENSPSMP00000023200	ENSPSMG00000016412	Prolemur_simus
ENSMFAP00000000372	ENSMFAG00000040957	Macaca_fascicularis
ENSACLP00000030844	ENSACLG00000020697	Astatotilapia_calliptera
ENSMAMP00000022230	ENSMAMG00000014869	Mastacembelus_armatus
ENSATEP00000012444	ENSATEG00000008552	Anabas_testudineus
ENSPVAP00000007268	ENSPVAG00000007696	Pteropus_vampyrus
ENSBTAP00000053203	ENSBTAG00000015208	Bos_taurus
ENSPANP00000017650	ENSPANG00000015716	Papio_anubis
ENSAMXP00000011168	ENSAMXG00000010850	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPVIP00000020813	ENSPVIG00000015853	Pogona_vitticeps
ENSTRUP00000050633	ENSTRUG00000017665	Takifugu_rubripes
ENSPNYP00000013414	ENSPNYG00000010068	Pundamilia_nyererei
ENSPFOP00000019580	ENSPFOG00000019461	Poecilia_formosa
ENSORLP00000015545	ENSORLG00000012421	Oryzias_latipes_ASM223467v1
ENSMMUP00000009653	ENSMMUG00000007357	Macaca_mulatta
ENSKMAP00000027696	ENSKMAG00000020527	Kryptolebias_marmoratus
ENSGMOP00000000575	ENSGMOG00000000568	Gadus_morhua
ENSMZEP00005018640	ENSMZEG00005013994	Maylandia_zebra
ENSMUSP00000075587	ENSMUSG00000022211	Mus_musculus_strain_reference_(CL57BL6)
ENSPCIP00000013742	ENSPCIG00000010787	Phascolarctos_cinereus
ENSPTIP00000009411	ENSPTIG00000010464	Panthera_tigris_altaica
ENSUMAP00000031347	ENSUMAG00000022642	Ursus_maritimus
ENSACIP00000015963	ENSACIG00000012312	Amphilophus_citrinellus
ENSOPRP00000000219	ENSOPRG00000000236	Ochotona_princeps
ENSNBRP00000002886	ENSNBRG00000002214	Neolamprologus_brichardi
