ENSPMAP00000010834	ENSPMAG00000009857	Petromyzon_marinus	ENSPMAT00000010880
ENSEBUP00000002267	ENSEBUG00000001738	Eptatretus_burgeri	ENSEBUT00000002618
ENSSFOP00015027811	ENSSFOG00015017850	Scleropages_formosus
ENSPKIP00000028649	ENSPKIG00000010189	Paramormyrops_kingsleyae
ENSCHAP00000021125	ENSCHAG00000010461	Clupea_harengus
ENSDCDP00000021165	ENSDCDG00000016669	Denticeps_clupeoides
ENSEEEP00000007838	ENSEEEG00000004094	Electrophorus_electricus
ENSIPUP00000003161	ENSIPUG00000002251	Ictalurus_punctatus
ENSAMXP00000033457	ENSAMXG00000030487	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005017058	ENSAMXG00005008915	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000037822	ENSPNAG00000029883	Pygocentrus_nattereri
ENSDARP00000040864	ENSDARG00000017910	Danio_rerio
ENSXMAP00000008346	ENSXMAG00000008320	Xiphophorus_maculatus
ENSXCOP00000020175	ENSXCOG00000015120	Xiphophorus_couchianus
ENSGAFP00000027334	ENSGAFG00000018469	Gambusia_affinis
ENSPFOP00000008457	ENSPFOG00000008480	Poecilia_formosa
ENSPLAP00000008091	ENSPLAG00000010580	Poecilia_latipinna
ENSPMEP00000015572	ENSPMEG00000018154	Poecilia_mexicana
ENSPREP00000001393	ENSPREG00000001015	Poecilia_reticulata
ENSCVAP00000014045	ENSCVAG00000016628	Cyprinodon_variegatus
ENSFHEP00000022313	ENSFHEG00000002564	Fundulus_heteroclitus
ENSKMAP00000024932	ENSKMAG00000018477	Kryptolebias_marmoratus
ENSORLP00000028197	ENSORLG00000012939	Oryzias_latipes_ASM223467v1
ENSORLP00020023233	ENSORLG00020003922	Oryzias_latipes_ASM223471v1
ENSORLP00015003628	ENSORLG00015004393	Oryzias_latipes_ASM223469v1
ENSOMEP00000021890	ENSOMEG00000001141	Oryzias_melastigma
ENSTRUP00000026492	ENSTRUG00000010502	Takifugu_rubripes
ENSTNIP00000016642	ENSTNIG00000013643	Tetraodon_nigroviridis
ENSSMAP00000009639	ENSSMAG00000005910	Scophthalmus_maximus
ENSMAMP00000016816	ENSMAMG00000011378	Mastacembelus_armatus
ENSMALP00000017976	ENSMALG00000012536	Monopterus_albus
ENSATEP00000033798	ENSATEG00000023258	Anabas_testudineus
ENSSDUP00000010917	ENSSDUG00000007966	Seriola_dumerili
ENSSLDP00000027018	ENSSLDG00000020991	Seriola_lalandi_dorsalis
ENSLCAP00010030257	ENSLCAG00010014229	Lates_calcarifer
ENSBSLP00000020625	ENSBSLG00000010502	Betta_splendens
ENSAOCP00000031751	ENSAOCG00000023629	Amphiprion_ocellaris
ENSAPEP00000014189	ENSAPEG00000010130	Amphiprion_percula
ENSAPOP00000018858	ENSAPOG00000022247	Acanthochromis_polyacanthus
ENSSPAP00000008926	ENSSPAG00000006783	Stegastes_partitus
ENSPRNP00000044560	ENSPRNG00000021642	Parambassis_ranga
ENSPNYP00000004073	ENSPNYG00000003149	Pundamilia_nyererei
ENSHBUP00000013133	ENSHBUG00000014906	Haplochromis_burtoni
ENSACLP00000012181	ENSACLG00000008306	Astatotilapia_calliptera
ENSMZEP00005025235	ENSMZEG00005018836	Maylandia_zebra
ENSONIP00000008075	ENSONIG00000006404	Oreochromis_niloticus
ENSNBRP00000007108	ENSNBRG00000005558	Neolamprologus_brichardi
ENSACIP00000002664	ENSACIG00000002149	Amphilophus_citrinellus
ENSCGOP00000034023	ENSCGOG00000015738	Cottoperca_gobio
ENSGACP00000006773	ENSGACG00000005116	Gasterosteus_aculeatus
ENSMMOP00000004731	ENSMMOG00000003787	Mola_mola
ENSLCRP00005047467	ENSLCRG00005017973	Larimichthys_crocea
ENSLBEP00000013226	ENSLBEG00000010163	Labrus_bergylta
ENSCSEP00000030146	ENSCSEG00000019313	Cynoglossus_semilaevis
ENSGWIP00000044712	ENSGWIG00000022200	Gouania_willdenowi
ENSPMGP00000017471	ENSPMGG00000014302	Periophthalmus_magnuspinnatus
ENSHCOP00000009926	ENSHCOG00000012460	Hippocampus_comes
