ENSVURP00010010627	ENSVURG00010008213	Vombatus_ursinus	ENSVURT00010012058
ENSPCIP00000050939	ENSPCIG00000029184	Phascolarctos_cinereus	ENSPCIT00000062501
ENSMEUP00000002176	ENSMEUG00000002368	Notamacropus_eugenii	ENSMEUT00000002389
ENSSHAP00000020650	ENSSHAG00000017513	Sarcophilus_harrisii	ENSSHAT00000020815
ENSMODP00000026535	ENSMODG00000021230	Monodelphis_domestica	ENSMODT00000027010
ENSLAFP00000004095	ENSLAFG00000004893	Loxodonta_africana
ENSPCAP00000001056	ENSPCAG00000001071	Procavia_capensis
ENSCHOP00000003239	ENSCHOG00000003646	Choloepus_hoffmanni
ENSAMEP00000017403	ENSAMEG00000016471	Ailuropoda_melanoleuca
ENSEEUP00000000477	ENSEEUG00000000539	Erinaceus_europaeus
ENSCCAP00000040079	ENSCCAG00000037845	Cebus_capucinus_imitator
ENSCJAP00000003733	ENSCJAG00000001994	Callithrix_jacchus
ENSSBOP00000003315	ENSSBOG00000015504	Saimiri_boliviensis_boliviensis
ENSANAP00000034623	ENSANAG00000034912	Aotus_nancymaae
ENSPPYP00000015845	ENSPPYG00000014165	Pongo_abelii
ENSCGRP00000019224	ENSCGRG00000013999	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001006086	ENSCGRG00001008148	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015005871	ENSCGRG00015004535	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000004802	ENSMAUG00000006323	Mesocricetus_auratus
ENSPEMP00000023734	ENSPEMG00000020689	Peromyscus_maniculatus_bairdii
ENSMOCP00000000058	ENSMOCG00000000075	Microtus_ochrogaster
ENSMSIP00000018258	ENSMSIG00000015576	Mus_spicilegus
MGP_SPRETEiJ_P0092841	MGP_SPRETEiJ_G0033683	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000034984	ENSMUSG00000032413	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0089136	MGP_CAROLIEiJ_G0032539	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0024807	MGP_PahariEiJ_G0015409	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000016327	ENSRNOG00000011909	Rattus_norvegicus
ENSMUGP00000030190	ENSMUGG00000025069	Meriones_unguiculatus
ENSNGAP00000009373	ENSNGAG00000012075	Nannospalax_galili
ENSDORP00000001874	ENSDORG00000001995	Dipodomys_ordii
ENSCLAP00000006927	ENSCLAG00000004874	Chinchilla_lanigera
ENSODEP00000011985	ENSODEG00000008895	Octodon_degus
ENSCPOP00000012623	ENSCPOG00000014013	Cavia_porcellus
ENSCAPP00000017794	ENSCAPG00000017366	Cavia_aperea
ENSHGLP00100019472	ENSHGLG00100014353	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000016851	ENSHGLG00000012050	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000019247	ENSFDAG00000009280	Fukomys_damarensis
ENSUPAP00010009967	ENSUPAG00010008044	Urocitellus_parryii
ENSSTOP00000009079	ENSSTOG00000010098	Ictidomys_tridecemlineatus
ENSSDAP00000006698	ENSSDAG00000006154	Spermophilus_dauricus
ENSMMMP00000019875	ENSMMMG00000017563	Marmota_marmota_marmota
ENSJJAP00000021567	ENSJJAG00000021872	Jaculus_jaculus
ENSCCNP00000003337	ENSCCNG00000003583	Castor_canadensis
ENSOCUP00000001056	ENSOCUG00000001219	Oryctolagus_cuniculus
ENSOPRP00000012231	ENSOPRG00000013386	Ochotona_princeps
ENSHGLP00000016336	ENSHGLG00000011709	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100005123	ENSHGLG00100003882	Heterocephalus_glaber_HetGla_1.0
ENSTBEP00000000988	ENSTBEG00000001103	Tupaia_belangeri
ENSPTRP00000026641	ENSPTRG00000015472	Pan_troglodytes
ENSPPAP00000027329	ENSPPAG00000036725	Pan_paniscus
ENSGGOP00000020672	ENSGGOG00000023738	Gorilla_gorilla
ENSP00000286364	ENSG00000155903	Homo_sapiens	ENST00000286364
ENSNLEP00000023553	ENSNLEG00000004575	Nomascus_leucogenys
ENSTGEP00000011255	ENSTGEG00000009193	Theropithecus_gelada
ENSPANP00000028931	ENSPANG00000010060	Papio_anubis
ENSMMUP00000012325	ENSMMUG00000009418	Macaca_mulatta
ENSCSAP00000007414	ENSCSAG00000011201	Chlorocebus_sabaeus
ENSCANP00000001624	ENSCANG00000005846	Colobus_angolensis_palliatus
ENSRROP00000031607	ENSRROG00000039486	Rhinopithecus_roxellana
ENSPTEP00000006369	ENSPTEG00000007278	Piliocolobus_tephrosceles
ENSMNEP00000021469	ENSMNEG00000034452	Macaca_nemestrina
ENSMFAP00000014901	ENSMFAG00000030557	Macaca_fascicularis
ENSCATP00000020137	ENSCATG00000033775	Cercocebus_atys
ENSMLEP00000036942	ENSMLEG00000042557	Mandrillus_leucophaeus
ENSRBIP00000020205	ENSRBIG00000034092	Rhinopithecus_bieti
ENSTSYP00000002211	ENSTSYG00000002387	Carlito_syrichta
