ENSPVIP00000006180	ENSPVIG00000005141	Pogona_vitticeps	ENSPVIT00000007963
ENSACAP00000004414	ENSACAG00000004524	Anolis_carolinensis	ENSACAT00000004514
ENSNSUP00000003554	ENSNSUG00000002872	Notechis_scutatus	ENSNSUT00000003822
ENSSMRP00000028080	ENSSMRG00000021600	Salvator_merianae
ENSSPUP00000012988	ENSSPUG00000009991	Sphenodon_punctatus
ENSGAGP00000007058	ENSGAGG00000005672	Gopherus_agassizii
ENSCABP00000018439	ENSCABG00000013642	Chelonoidis_abingdonii
ENSCPBP00000027865	ENSCPBG00000019681	Chrysemys_picta_bellii
ENSPSIP00000014845	ENSPSIG00000013266	Pelodiscus_sinensis
ENSCPRP00005000182	ENSCPRG00005000165	Crocodylus_porosus
ENSPCIP00000054472	ENSPCIG00000035910	Phascolarctos_cinereus
ENSVURP00010021774	ENSVURG00010016692	Vombatus_ursinus
ENSMEUP00000013009	ENSMEUG00000014261	Notamacropus_eugenii
ENSMODP00000054607	ENSMODG00000038689	Monodelphis_domestica
ENSSHAP00000012145	ENSSHAG00000010405	Sarcophilus_harrisii
ENSPCAP00000008906	ENSPCAG00000009578	Procavia_capensis
ENSETEP00000005016	ENSETEG00000006177	Echinops_telfairi
ENSTBEP00000004739	ENSTBEG00000005499	Tupaia_belangeri
ENSSBOP00000032160	ENSSBOG00000032264	Saimiri_boliviensis_boliviensis
ENSCJAP00000012711	ENSCJAG00000006863	Callithrix_jacchus
ENSCCAP00000039556	ENSCCAG00000037599	Cebus_capucinus_imitator
ENSANAP00000019349	ENSANAG00000027475	Aotus_nancymaae
ENSPPAP00000016521	ENSPPAG00000031385	Pan_paniscus
ENSPTRP00000012257	ENSPTRG00000007173	Pan_troglodytes
ENSP00000220062	ENSG00000103710	Homo_sapiens
ENSGGOP00000026601	ENSGGOG00000024110	Gorilla_gorilla
ENSPPYP00000007441	ENSPPYG00000006560	Pongo_abelii
ENSNLEP00000015315	ENSNLEG00000012613	Nomascus_leucogenys
ENSPANP00000014138	ENSPANG00000016745	Papio_anubis
ENSTGEP00000028735	ENSTGEG00000023138	Theropithecus_gelada
ENSMLEP00000038146	ENSMLEG00000043142	Mandrillus_leucophaeus
ENSCATP00000039317	ENSCATG00000042289	Cercocebus_atys
ENSCSAP00000008897	ENSCSAG00000012718	Chlorocebus_sabaeus
ENSMFAP00000042617	ENSMFAG00000040074	Macaca_fascicularis
ENSMMUP00000078257	ENSMMUG00000004029	Macaca_mulatta
ENSMNEP00000042176	ENSMNEG00000043863	Macaca_nemestrina
ENSPTEP00000037912	ENSPTEG00000035375	Piliocolobus_tephrosceles
ENSCANP00000028208	ENSCANG00000037517	Colobus_angolensis_palliatus
ENSRROP00000034479	ENSRROG00000040793	Rhinopithecus_roxellana
ENSRBIP00000035201	ENSRBIG00000041270	Rhinopithecus_bieti
ENSTSYP00000026392	ENSTSYG00000034971	Carlito_syrichta
ENSPSMP00000000986	ENSPSMG00000000720	Prolemur_simus
ENSMICP00000048419	ENSMICG00000000624	Microcebus_murinus
ENSPCOP00000001695	ENSPCOG00000005311	Propithecus_coquereli
ENSOGAP00000009300	ENSOGAG00000010391	Otolemur_garnettii
ENSMUSP00000082580	ENSMUSG00000041696	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0091977	MGP_SPRETEiJ_G0033499	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000006327	ENSMSIG00000005656	Mus_spicilegus
MGP_CAROLIEiJ_P0088356	MGP_CAROLIEiJ_G0032360	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0023997	MGP_PahariEiJ_G0015225	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000041205	ENSRNOG00000032339	Rattus_norvegicus
ENSMUGP00000031366	ENSMUGG00000026075	Meriones_unguiculatus
ENSCGRP00001014651	ENSCGRG00001015470	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015029158	ENSCGRG00015022022	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000009527	ENSCGRG00000006968	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000024539	ENSMAUG00000021367	Mesocricetus_auratus
ENSMOCP00000026149	ENSMOCG00000022051	Microtus_ochrogaster
ENSPEMP00000029351	ENSPEMG00000026265	Peromyscus_maniculatus_bairdii
ENSJJAP00000018006	ENSJJAG00000019387	Jaculus_jaculus
ENSCCNP00000021449	ENSCCNG00000021238	Castor_canadensis
ENSNGAP00000020502	ENSNGAG00000019976	Nannospalax_galili
ENSSTOP00000016492	ENSSTOG00000024973	Ictidomys_tridecemlineatus
ENSSDAP00000026300	ENSSDAG00000023849	Spermophilus_dauricus
ENSMMMP00000008105	ENSMMMG00000007263	Marmota_marmota_marmota
ENSUPAP00010000765	ENSUPAG00010000634	Urocitellus_parryii
ENSCPOP00000021793	ENSCPOG00000036953	Cavia_porcellus
ENSCPOP00000029650	ENSCPOG00000039046	Cavia_porcellus
ENSCAPP00000010232	ENSCAPG00000011533	Cavia_aperea
ENSCLAP00000016210	ENSCLAG00000011152	Chinchilla_lanigera
ENSODEP00000022196	ENSODEG00000016297	Octodon_degus
ENSHGLP00000012426	ENSHGLG00000008881	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025159	ENSHGLG00100018457	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000001728	ENSFDAG00000011619	Fukomys_damarensis
ENSDORP00000000106	ENSDORG00000000119	Dipodomys_ordii
ENSOCUP00000047541	ENSOCUG00000010729	Oryctolagus_cuniculus
ENSOPRP00000009223	ENSOPRG00000010101	Ochotona_princeps
ENSMLUP00000014981	ENSMLUG00000016438	Myotis_lucifugus
ENSPVAP00000015412	ENSPVAG00000016334	Pteropus_vampyrus
ENSCHIP00000008326	ENSCHIG00000011540	Capra_hircus
ENSOARP00000019055	ENSOARG00000017758	Ovis_aries
ENSBTAP00000021899	ENSBTAG00000000062	Bos_taurus
ENSBIXP00000021045	ENSBIXG00000024223	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005028542	ENSBIXG00005008245	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000006040	ENSBMUG00000004727	Bos_mutus
ENSBBBP00000016963	ENSBBBG00000007855	Bison_bison_bison
ENSTTRP00000005498	ENSTTRG00000005808	Tursiops_truncatus
ENSSSCP00000034975	ENSSSCG00000038071	Sus_scrofa_strain_reference
ENSECAP00000007217	ENSECAG00000009263	Equus_caballus
ENSEASP00005009063	ENSEASG00005006494	Equus_asinus_asinus
ENSUMAP00000017083	ENSUMAG00000012538	Ursus_maritimus
ENSUAMP00000021616	ENSUAMG00000016973	Ursus_americanus
ENSAMEP00000002925	ENSAMEG00000002773	Ailuropoda_melanoleuca
ENSMPUP00000000520	ENSMPUG00000000526	Mustela_putorius_furo
ENSNVIP00000022718	ENSNVIG00000017710	Neovison_vison
ENSCAFP00020010896	ENSCAFG00020008821	Canis_lupus_dingo
ENSCAFP00020000179	ENSCAFG00020000204	Canis_lupus_dingo
ENSVVUP00000018804	ENSVVUG00000013838	Vulpes_vulpes
ENSPPRP00000001570	ENSPPRG00000024033	Panthera_pardus
ENSPTIP00000026296	ENSPTIG00000021753	Panthera_tigris_altaica
ENSFCAP00000010644	ENSFCAG00000011458	Felis_catus
ENSDNOP00000020764	ENSDNOG00000037419	Dasypus_novemcinctus
ENSLAFP00000005865	ENSLAFG00000006982	Loxodonta_africana
ENSSARP00000013187	ENSSARG00000014571	Sorex_araneus
ENSEEUP00000013695	ENSEEUG00000015016	Erinaceus_europaeus
ENSOANP00000004057	ENSOANG00000002563	Ornithorhynchus_anatinus
ENSABRP00000010354	ENSABRG00000009304	Anser_brachyrhynchus
ENSAPLP00000023640	ENSAPLG00000015628	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005026704	ENSCJPG00005020755	Coturnix_japonica
ENSGALP00000066903	ENSGALG00000007349	Gallus_gallus
ENSMGAP00000009875	ENSMGAG00000009547	Meleagris_gallopavo
ENSNMEP00000027791	ENSNMEG00000023226	Numida_meleagris
ENSLSDP00000015956	ENSLSDG00000011510	Lonchura_striata_domestica
ENSTGUP00000009358	ENSTGUG00000009081	Taeniopygia_guttata
ENSSCAP00000013657	ENSSCAG00000010110	Serinus_canaria
ENSJHYP00000017577	ENSJHYG00000013426	Junco_hyemalis
ENSZALP00000006565	ENSZALG00000005957	Zonotrichia_albicollis
ENSPMJP00000012827	ENSPMJG00000009816	Parus_major
ENSCCEP00000008200	ENSCCEG00000008519	Cyanistes_caeruleus
ENSFALP00000010566	ENSFALG00000010132	Ficedula_albicollis
ENSLCOP00000006605	ENSLCOG00000004913	Lepidothrix_coronata
ENSMVIP00005014270	ENSMVIG00005010304	Manacus_vitellinus
ENSMUNP00000011305	ENSMUNG00000008867	Melopsittacus_undulatus
ENSCPGP00000009246	ENSCPGG00000006585	Calidris_pygmaea
ENSCPUP00000025513	ENSCPUG00000017258	Calidris_pugnax
ENSNPEP00000010918	ENSNPEG00000008191	Nothoprocta_perdicaria
ENSDNVP00000015858	ENSDNVG00000011149	Dromaius_novaehollandiae
ENSAOWP00000000229	ENSAOWG00000000197	Apteryx_owenii
ENSARWP00000005875	ENSARWG00000004188	Apteryx_rowi
ENSXETP00000002450	ENSXETG00000005733	Xenopus_tropicalis
ENSLACP00000019207	ENSLACG00000016896	Latimeria_chalumnae	ENSLACT00000019340
ENSCHAP00000019448	ENSCHAG00000009949	Clupea_harengus
ENSDCDP00000039921	ENSDCDG00000026396	Denticeps_clupeoides
ENSIPUP00000034142	ENSIPUG00000022944	Ictalurus_punctatus
