ENSPPAP00000034556	ENSPPAG00000040120	Pan_paniscus
ENSPTRP00000035125	ENSPTRG00000020537	Pan_troglodytes
ENSP00000286234	ENSG00000155792	Homo_sapiens
ENSGGOP00000004308	ENSGGOG00000004394	Gorilla_gorilla
ENSPPYP00000021144	ENSPPYG00000018845	Pongo_abelii
ENSNLEP00000006084	ENSNLEG00000005015	Nomascus_leucogenys
ENSCATP00000044256	ENSCATG00000044620	Cercocebus_atys
ENSMLEP00000030581	ENSMLEG00000039489	Mandrillus_leucophaeus
ENSMNEP00000007701	ENSMNEG00000028415	Macaca_nemestrina
ENSMFAP00000002624	ENSMFAG00000040290	Macaca_fascicularis
ENSMMUP00000055765	ENSMMUG00000002594	Macaca_mulatta
ENSTGEP00000009804	ENSTGEG00000008064	Theropithecus_gelada
ENSPANP00000003603	ENSPANG00000014432	Papio_anubis
ENSCSAP00000006977	ENSCSAG00000010756	Chlorocebus_sabaeus
ENSRROP00000016884	ENSRROG00000032559	Rhinopithecus_roxellana
ENSRBIP00000007780	ENSRBIG00000027804	Rhinopithecus_bieti
ENSCANP00000028344	ENSCANG00000037588	Colobus_angolensis_palliatus
ENSPTEP00000035952	ENSPTEG00000033874	Piliocolobus_tephrosceles
ENSCCAP00000007921	ENSCCAG00000021712	Cebus_capucinus_imitator
ENSCJAP00000010062	ENSCJAG00000005497	Callithrix_jacchus
ENSSBOP00000031185	ENSSBOG00000031834	Saimiri_boliviensis_boliviensis
ENSANAP00000014035	ENSANAG00000024938	Aotus_nancymaae
ENSPCOP00000016635	ENSPCOG00000020090	Propithecus_coquereli
ENSMICP00000032044	ENSMICG00000017305	Microcebus_murinus
ENSPSMP00000031912	ENSPSMG00000022131	Prolemur_simus
ENSUPAP00010022562	ENSUPAG00010017897	Urocitellus_parryii
ENSSTOP00000012405	ENSSTOG00000013845	Ictidomys_tridecemlineatus
ENSMMMP00000000828	ENSMMMG00000000753	Marmota_marmota_marmota
ENSSDAP00000023675	ENSSDAG00000021548	Spermophilus_dauricus
ENSDORP00000015920	ENSDORG00000028412	Dipodomys_ordii
ENSCGRP00001005572	ENSCGRG00001007330	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015010833	ENSCGRG00015008261	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000020190	ENSMAUG00000018277	Mesocricetus_auratus
ENSPEMP00000016401	ENSPEMG00000015628	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0040006	MGP_SPRETEiJ_G0020694	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0038217	MGP_CAROLIEiJ_G0019797	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000005382	ENSMSIG00000004814	Mus_spicilegus
ENSMUSP00000094167	ENSMUSG00000022419	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0041592	MGP_PahariEiJ_G0019807	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000005722	ENSRNOG00000004328	Rattus_norvegicus
ENSMUGP00000029088	ENSMUGG00000024092	Meriones_unguiculatus
ENSNGAP00000013338	ENSNGAG00000014951	Nannospalax_galili
ENSOCUP00000044330	ENSOCUG00000007642	Oryctolagus_cuniculus
ENSOPRP00000014287	ENSOPRG00000015641	Ochotona_princeps
ENSTBEP00000007203	ENSTBEG00000008310	Tupaia_belangeri
ENSCLAP00000008972	ENSCLAG00000006264	Chinchilla_lanigera
ENSODEP00000001445	ENSODEG00000001135	Octodon_degus
ENSCAPP00000012371	ENSCAPG00000013251	Cavia_aperea
ENSCPOP00000012148	ENSCPOG00000013492	Cavia_porcellus
ENSHGLP00000006178	ENSHGLG00000004514	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100011229	ENSHGLG00100008342	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000022789	ENSFDAG00000021096	Fukomys_damarensis
ENSTSYP00000015150	ENSTSYG00000026673	Carlito_syrichta
ENSBIXP00000010163	ENSBIXG00000015718	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005024887	ENSBIXG00005027437	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000061795	ENSBTAG00000015341	Bos_taurus
ENSBMUP00000035182	ENSBMUG00000026181	Bos_mutus
ENSBBBP00000021270	ENSBBBG00000000969	Bison_bison_bison
ENSCHIP00000028273	ENSCHIG00000023855	Capra_hircus
ENSJJAP00000003682	ENSJJAG00000007358	Jaculus_jaculus
ENSOGAP00000012788	ENSOGAG00000014267	Otolemur_garnettii
ENSPCAP00000010526	ENSPCAG00000011280	Procavia_capensis
ENSETEP00000010913	ENSETEG00000013460	Echinops_telfairi
ENSUMAP00000029426	ENSUMAG00000021329	Ursus_maritimus
ENSMPUP00000001065	ENSMPUG00000001074	Mustela_putorius_furo
ENSMLUP00000008776	ENSMLUG00000009641	Myotis_lucifugus
ENSOARP00000017569	ENSOARG00000016365	Ovis_aries
ENSVPAP00000000712	ENSVPAG00000000772	Vicugna_pacos
ENSTTRP00000000395	ENSTTRG00000000422	Tursiops_truncatus
ENSSSCP00000067375	ENSSSCG00000049630	Sus_scrofa_strain_reference
ENSAMEP00000002284	ENSAMEG00000002174	Ailuropoda_melanoleuca
ENSUAMP00000037029	ENSUAMG00000028038	Ursus_americanus
ENSNVIP00000008007	ENSNVIG00000006358	Neovison_vison
ENSCAFP00000001263	ENSCAFG00000000885	Canis_lupus_familiaris
ENSCAFP00020006761	ENSCAFG00020005480	Canis_lupus_dingo
ENSVVUP00000021750	ENSVVUG00000015978	Vulpes_vulpes
ENSPTIP00000012166	ENSPTIG00000012342	Panthera_tigris_altaica
ENSPPRP00000000418	ENSPPRG00000024837	Panthera_pardus
ENSFCAP00000010168	ENSFCAG00000010947	Felis_catus
ENSECAP00000018839	ENSECAG00000021363	Equus_caballus
ENSEASP00005033438	ENSEASG00005022899	Equus_asinus_asinus
ENSPVAP00000003515	ENSPVAG00000003716	Pteropus_vampyrus
ENSEEUP00000008805	ENSEEUG00000009666	Erinaceus_europaeus
ENSDNOP00000012142	ENSDNOG00000015660	Dasypus_novemcinctus
ENSCHOP00000012274	ENSCHOG00000013860	Choloepus_hoffmanni
ENSLAFP00000010836	ENSLAFG00000012963	Loxodonta_africana
ENSSARP00000006319	ENSSARG00000006973	Sorex_araneus
ENSVURP00010021926	ENSVURG00010016809	Vombatus_ursinus
ENSPCIP00000042643	ENSPCIG00000034876	Phascolarctos_cinereus
ENSMEUP00000001597	ENSMEUG00000001747	Notamacropus_eugenii
ENSSHAP00000021151	ENSSHAG00000017931	Sarcophilus_harrisii
ENSMODP00000038437	ENSMODG00000025626	Monodelphis_domestica
ENSOANP00000025988	ENSOANG00000020439	Ornithorhynchus_anatinus
ENSXETP00000025976	ENSXETG00000009932	Xenopus_tropicalis
ENSCABP00000006214	ENSCABG00000004458	Chelonoidis_abingdonii
