ENSEEEP00000031429	ENSEEEG00000015019	Electrophorus_electricus
ENSIPUP00000002303	ENSIPUG00000001669	Ictalurus_punctatus
ENSAMXP00005025862	ENSAMXG00005013084	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000032062	ENSAMXG00000011266	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSDARP00000012565	ENSDARG00000018397	Danio_rerio
ENSDCDP00000047079	ENSDCDG00000029366	Denticeps_clupeoides	ENSDCDT00000058511
ENSHHUP00000013858	ENSHHUG00000008548	Hucho_hucho
ENSLOCP00000002301	ENSLOCG00000001992	Lepisosteus_oculatus
ENSLACP00000016909	ENSLACG00000014895	Latimeria_chalumnae
ENSXETP00000027737	ENSXETG00000008910	Xenopus_tropicalis
ENSBSLP00000010564	ENSBSLG00000005491	Betta_splendens
ENSTRUP00000032137	ENSTRUG00000022270	Takifugu_rubripes
ENSCSEP00000021356	ENSCSEG00000013632	Cynoglossus_semilaevis
ENSXMAP00000005756	ENSXMAG00000022692	Xiphophorus_maculatus
ENSXCOP00000004531	ENSXCOG00000003584	Xiphophorus_couchianus
ENSGAFP00000027891	ENSGAFG00000018850	Gambusia_affinis
ENSPFOP00000012466	ENSPFOG00000012429	Poecilia_formosa
ENSPLAP00000026725	ENSPLAG00000014738	Poecilia_latipinna
ENSPMEP00000032169	ENSPMEG00000019815	Poecilia_mexicana
ENSPREP00000024629	ENSPREG00000016634	Poecilia_reticulata
ENSFHEP00000015372	ENSFHEG00000017017	Fundulus_heteroclitus
ENSCVAP00000011395	ENSCVAG00000013645	Cyprinodon_variegatus
ENSKMAP00000002215	ENSKMAG00000001717	Kryptolebias_marmoratus
ENSGWIP00000002786	ENSGWIG00000001507	Gouania_willdenowi
ENSMMOP00000028146	ENSMMOG00000021272	Mola_mola
ENSAOCP00000002449	ENSAOCG00000005554	Amphiprion_ocellaris
ENSAPEP00000005063	ENSAPEG00000003644	Amphiprion_percula
ENSAPOP00000001361	ENSAPOG00000002637	Acanthochromis_polyacanthus
ENSSPAP00000000641	ENSSPAG00000000181	Stegastes_partitus
ENSORLP00000025856	ENSORLG00000020880	Oryzias_latipes_ASM223467v1
ENSORLP00015007837	ENSORLG00015008661	Oryzias_latipes_ASM223469v1
ENSOMEP00000003715	ENSOMEG00000004619	Oryzias_melastigma
