ENSPNYP00000026522	ENSPNYG00000019946	Pundamilia_nyererei
ENSMEUP00000000693	ENSMEUG00000000744	Notamacropus_eugenii
ENSSDAP00000024815	ENSSDAG00000022546	Spermophilus_dauricus
ENSTSYP00000034546	ENSTSYG00000027133	Carlito_syrichta
ENSLBEP00000018632	ENSLBEG00000014358	Labrus_bergylta
ENSP00000326424	ENSG00000172890	Homo_sapiens
ENSLSDP00000012481	ENSLSDG00000009108	Lonchura_striata_domestica
ENSETEP00000010645	ENSETEG00000013111	Echinops_telfairi
ENSUMAP00000009259	ENSUMAG00000007000	Ursus_maritimus
ENSMFAP00000042654	ENSMFAG00000040085	Macaca_fascicularis
ENSOANP00000030433	ENSOANG00000032025	Ornithorhynchus_anatinus
ENSTGEP00000034418	ENSTGEG00000027438	Theropithecus_gelada
ENSCANP00000021613	ENSCANG00000034252	Colobus_angolensis_palliatus
ENSLCAP00010017769	ENSLCAG00010008456	Lates_calcarifer
ENSNVIP00000012507	ENSNVIG00000009913	Neovison_vison
ENSMUGP00000024648	ENSMUGG00000020574	Meriones_unguiculatus
ENSMUNP00000004208	ENSMUNG00000003506	Melopsittacus_undulatus
ENSLCRP00005057958	ENSLCRG00005021511	Larimichthys_crocea
ENSNSUP00000015139	ENSNSUG00000011018	Notechis_scutatus
ENSCJPP00005016943	ENSCJPG00005013780	Coturnix_japonica
MGP_PahariEiJ_P0020270	MGP_PahariEiJ_G0013944	Mus_pahari_strain_PAHARI_EIJ
ENSVVUP00000004462	ENSVVUG00000003498	Vulpes_vulpes
ENSPCOP00000017852	ENSPCOG00000020772	Propithecus_coquereli
ENSCAPP00000000399	ENSCAPG00000000332	Cavia_aperea
ENSBIXP00005021201	ENSBIXG00005024203	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCAFP00020021659	ENSCAFG00020016999	Canis_lupus_dingo
ENSCMIP00000041066	ENSCMIG00000017096	Callorhinchus_milii
ENSPFOP00000002644	ENSPFOG00000002619	Poecilia_formosa
ENSMNEP00000017755	ENSMNEG00000032850	Macaca_nemestrina
ENSPSIP00000015370	ENSPSIG00000013537	Pelodiscus_sinensis
ENSCJAP00000073956	ENSCJAG00000065980	Callithrix_jacchus
ENSAMEP00000007956	ENSAMEG00000007497	Ailuropoda_melanoleuca
ENSGAFP00000005121	ENSGAFG00000003452	Gambusia_affinis
ENSNPEP00000009144	ENSNPEG00000006863	Nothoprocta_perdicaria
ENSVURP00010019184	ENSVURG00010014618	Vombatus_ursinus
ENSOANP00000017897	ENSOANG00000011297	Ornithorhynchus_anatinus
ENSMVIP00005027313	ENSMVIG00005019052	Manacus_vitellinus
ENSCGOP00000014976	ENSCGOG00000005901	Cottoperca_gobio
ENSPEMP00000002884	ENSPEMG00000003580	Peromyscus_maniculatus_bairdii
ENSNMEP00000005118	ENSNMEG00000005396	Numida_meleagris
MGP_SPRETEiJ_P0086915	MGP_SPRETEiJ_G0031857	Mus_spretus_strain_SPRET/EiJ
ENSMPUP00000008070	ENSMPUG00000008127	Mustela_putorius_furo
ENSTSYP00000030514	ENSTSYG00000036774	Carlito_syrichta
ENSSFOP00015009242	ENSSFOG00015005980	Scleropages_formosus
ENSCPGP00000002565	ENSCPGG00000001906	Calidris_pygmaea
ENSTGUP00000005473	ENSTGUG00000005275	Taeniopygia_guttata
ENSKMAP00000016286	ENSKMAG00000012135	Kryptolebias_marmoratus
ENSABRP00000023631	ENSABRG00000019877	Anser_brachyrhynchus
ENSAPLP00000002572	ENSAPLG00000003062	Anas_platyrhynchos_platyrhynchos
ENSPCAP00000007720	ENSPCAG00000008198	Procavia_capensis
ENSCCNP00000032251	ENSCCNG00000030613	Castor_canadensis
ENSVURP00010032069	ENSVURG00010024475	Vombatus_ursinus
ENSLBEP00000018603	ENSLBEG00000014301	Labrus_bergylta
ENSCINP00000017941	ENSCING00000008813	Ciona_intestinalis
