ENSVURP00010018314	ENSVURG00010013980	Vombatus_ursinus	ENSVURT00010020821
ENSPCIP00000042298	ENSPCIG00000006629	Phascolarctos_cinereus	ENSPCIT00000066366
ENSMEUP00000015028	ENSMEUG00000016427	Notamacropus_eugenii	ENSMEUT00000016478
ENSSHAP00000011405	ENSSHAG00000009806	Sarcophilus_harrisii	ENSSHAT00000011501
ENSMODP00000048286	ENSMODG00000016826	Monodelphis_domestica	ENSMODT00000053945
ENSUMAP00000017948	ENSUMAG00000013192	Ursus_maritimus
ENSAMEP00000004665	ENSAMEG00000004413	Ailuropoda_melanoleuca
ENSNVIP00000029123	ENSNVIG00000022386	Neovison_vison
ENSMPUP00000001039	ENSMPUG00000001047	Mustela_putorius_furo
ENSCAFP00020009110	ENSCAFG00020007368	Canis_lupus_dingo
ENSCAFP00000051620	ENSCAFG00000004789	Canis_lupus_familiaris
ENSVVUP00000007965	ENSVVUG00000006012	Vulpes_vulpes
ENSPPRP00000011276	ENSPPRG00000005189	Panthera_pardus
ENSPTIP00000022264	ENSPTIG00000019118	Panthera_tigris_altaica
ENSFCAP00000047676	ENSFCAG00000025803	Felis_catus
ENSECAP00000008730	ENSECAG00000010392	Equus_caballus
ENSEASP00005028377	ENSEASG00005019289	Equus_asinus_asinus
ENSOARP00000016397	ENSOARG00000015281	Ovis_aries	ENSOART00000016632
ENSCHIP00000024804	ENSCHIG00000021825	Capra_hircus	ENSCHIT00000032665
ENSBIXP00000033458	ENSBIXG00000016277	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005007610	ENSBIXG00005001450	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000025992	ENSBTAG00000019511	Bos_taurus
ENSBMUP00000017912	ENSBMUG00000013537	Bos_mutus
ENSBBBP00000010098	ENSBBBG00000018300	Bison_bison_bison
ENSSSCP00000011851	ENSSSCG00000011112	Sus_scrofa_strain_reference
ENSTTRP00000008634	ENSTTRG00000009110	Tursiops_truncatus
ENSVPAP00000006294	ENSVPAG00000006774	Vicugna_pacos
ENSMLUP00000009554	ENSMLUG00000010474	Myotis_lucifugus
ENSPVAP00000000900	ENSPVAG00000000949	Pteropus_vampyrus
ENSJJAP00000001179	ENSJJAG00000001048	Jaculus_jaculus
ENSLAFP00000000121	ENSLAFG00000000152	Loxodonta_africana
ENSPCAP00000008484	ENSPCAG00000009092	Procavia_capensis
ENSSDAP00000018273	ENSSDAG00000016705	Spermophilus_dauricus
ENSSTOP00000014753	ENSSTOG00000016480	Ictidomys_tridecemlineatus
ENSUPAP00010010670	ENSUPAG00010008644	Urocitellus_parryii
ENSMMMP00000018931	ENSMMMG00000016751	Marmota_marmota_marmota
ENSDORP00000009907	ENSDORG00000010544	Dipodomys_ordii
ENSMSIP00000019519	ENSMSIG00000016600	Mus_spicilegus
MGP_SPRETEiJ_P0051447	MGP_SPRETEiJ_G0024070	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000043033	ENSMUSG00000039128	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0049437	MGP_CAROLIEiJ_G0023152	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0039989	MGP_PahariEiJ_G0019212	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000024016	ENSRNOG00000017770	Rattus_norvegicus
ENSMUGP00000023276	ENSMUGG00000019482	Meriones_unguiculatus
ENSCGRP00001009161	ENSCGRG00001011313	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000016510	ENSCGRG00000011991	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000021622	ENSMAUG00000019286	Mesocricetus_auratus
ENSMOCP00000010530	ENSMOCG00000010761	Microtus_ochrogaster
ENSPEMP00000000096	ENSPEMG00000000078	Peromyscus_maniculatus_bairdii
ENSNGAP00000009252	ENSNGAG00000011980	Nannospalax_galili
ENSCCNP00000004991	ENSCCNG00000005317	Castor_canadensis
ENSODEP00000000244	ENSODEG00000000216	Octodon_degus
ENSODEP00000009615	ENSODEG00000007193	Octodon_degus
ENSCLAP00000011290	ENSCLAG00000007787	Chinchilla_lanigera
ENSHGLP00000005058	ENSHGLG00000003710	Heterocephalus_glaber_HetGla_female_1.0
