ENSGWIP00000034841	ENSGWIG00000018069	Gouania_willdenowi
ENSCSEP00000025721	ENSCSEG00000016423	Cynoglossus_semilaevis
ENSBSLP00000009278	ENSBSLG00000004533	Betta_splendens
ENSGACP00000008233	ENSGACG00000006228	Gasterosteus_aculeatus
ENSSLDP00000022256	ENSSLDG00000017373	Seriola_lalandi_dorsalis
ENSSDUP00000012244	ENSSDUG00000008915	Seriola_dumerili
ENSLCAP00010035301	ENSLCAG00010016553	Lates_calcarifer
ENSSMAP00000004135	ENSSMAG00000002559	Scophthalmus_maximus
ENSMAMP00000015400	ENSMAMG00000010448	Mastacembelus_armatus
ENSMALP00000003330	ENSMALG00000002446	Monopterus_albus
ENSLBEP00000007715	ENSLBEG00000005979	Labrus_bergylta
ENSLBEP00000028720	ENSLBEG00000021751	Labrus_bergylta
ENSCGOP00000055409	ENSCGOG00000024170	Cottoperca_gobio
ENSLCRP00005034916	ENSLCRG00005013667	Larimichthys_crocea
ENSMMOP00000008143	ENSMMOG00000006316	Mola_mola
ENSACLP00000002089	ENSACLG00000001461	Astatotilapia_calliptera
ENSMZEP00005003206	ENSMZEG00005002492	Maylandia_zebra
ENSPNYP00000002344	ENSPNYG00000001849	Pundamilia_nyererei
ENSNBRP00000013223	ENSNBRG00000010276	Neolamprologus_brichardi
ENSONIP00000026373	ENSONIG00000021071	Oreochromis_niloticus
ENSACIP00000026617	ENSACIG00000020612	Amphilophus_citrinellus
ENSPRNP00000029935	ENSPRNG00000014938	Parambassis_ranga
ENSAOCP00000001103	ENSAOCG00000000134	Amphiprion_ocellaris
ENSAPEP00000024653	ENSAPEG00000017539	Amphiprion_percula
ENSAPOP00000033580	ENSAPOG00000022214	Acanthochromis_polyacanthus
ENSSPAP00000011684	ENSSPAG00000008866	Stegastes_partitus
ENSFHEP00000026625	ENSFHEG00000009563	Fundulus_heteroclitus
ENSFHEP00000008376	ENSFHEG00000009552	Fundulus_heteroclitus
ENSPFOP00000030803	ENSPFOG00000023856	Poecilia_formosa
ENSPMEP00000013950	ENSPMEG00000016345	Poecilia_mexicana
ENSPREP00000020432	ENSPREG00000013823	Poecilia_reticulata
ENSPLAP00000007300	ENSPLAG00000009603	Poecilia_latipinna
ENSXMAP00000041603	ENSXMAG00000025108	Xiphophorus_maculatus
ENSGAFP00000021148	ENSGAFG00000014259	Gambusia_affinis
ENSCVAP00000023916	ENSCVAG00000007606	Cyprinodon_variegatus
ENSKMAP00000014622	ENSKMAG00000010974	Kryptolebias_marmoratus
ENSORLP00020035320	ENSORLG00020022172	Oryzias_latipes_ASM223471v1
ENSORLP00000026811	ENSORLG00000022678	Oryzias_latipes_ASM223467v1
ENSORLP00015031153	ENSORLG00015015248	Oryzias_latipes_ASM223469v1
ENSOMEP00000008806	ENSOMEG00000009981	Oryzias_melastigma
ENSPMGP00000002516	ENSPMGG00000002202	Periophthalmus_magnuspinnatus
ENSDCDP00000020429	ENSDCDG00000016271	Denticeps_clupeoides
ENSGMOP00000021606	ENSGMOG00000020119	Gadus_morhua
ENSAMXP00005014727	ENSAMXG00005007843	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000029379	ENSAMXG00000029303	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000011861	ENSPNAG00000003483	Pygocentrus_nattereri
ENSEEEP00000050875	ENSEEEG00000023897	Electrophorus_electricus
ENSDARP00000149216	ENSDARG00000116871	Danio_rerio
ENSCHAP00000001700	ENSCHAG00000001198	Clupea_harengus
ENSHHUP00000060238	ENSHHUG00000035732	Hucho_hucho
ENSHHUP00000090314	ENSHHUG00000052148	Hucho_hucho
ENSELUP00000032543	ENSELUG00000010461	Esox_lucius
ENSHCOP00000007735	ENSHCOG00000009817	Hippocampus_comes
ENSPKIP00000022834	ENSPKIG00000006696	Paramormyrops_kingsleyae
ENSECRP00000033129	ENSECRG00000022432	Erpetoichthys_calabaricus
