ENSOARP00000004944	ENSOARG00000004622	Ovis_aries
ENSCHIP00000012192	ENSCHIG00000014055	Capra_hircus
ENSBIXP00000010948	ENSBIXG00000002512	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005001393	ENSBIXG00005000024	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000013039	ENSBTAG00000009889	Bos_taurus
ENSBMUP00000007138	ENSBMUG00000005637	Bos_mutus
ENSBBBP00000016627	ENSBBBG00000000162	Bison_bison_bison
ENSTTRP00000002740	ENSTTRG00000002923	Tursiops_truncatus
ENSSSCP00000058477	ENSSSCG00000002877	Sus_scrofa_strain_reference
ENSVPAP00000011420	ENSVPAG00000012286	Vicugna_pacos
ENSPVAP00000006035	ENSPVAG00000006387	Pteropus_vampyrus
ENSNVIP00000024674	ENSNVIG00000019124	Neovison_vison
ENSMPUP00000007368	ENSMPUG00000007424	Mustela_putorius_furo
ENSUAMP00000017372	ENSUAMG00000013760	Ursus_americanus
ENSUMAP00000025344	ENSUMAG00000018446	Ursus_maritimus
ENSCAFP00020024914	ENSCAFG00020019577	Canis_lupus_dingo
ENSCAFP00000044027	ENSCAFG00000031202	Canis_lupus_familiaris
ENSVVUP00000022309	ENSVVUG00000016373	Vulpes_vulpes
ENSPPRP00000007908	ENSPPRG00000002901	Panthera_pardus
ENSPTIP00000015067	ENSPTIG00000014276	Panthera_tigris_altaica
ENSEASP00005031408	ENSEASG00005021378	Equus_asinus_asinus
ENSECAP00000009054	ENSECAG00000011139	Equus_caballus
ENSPSMP00000022009	ENSPSMG00000015555	Prolemur_simus
ENSPCOP00000008584	ENSPCOG00000015581	Propithecus_coquereli
ENSMICP00000023435	ENSMICG00000026623	Microcebus_murinus
ENSOGAP00000015334	ENSOGAG00000017120	Otolemur_garnettii
ENSPTRP00000048812	ENSPTRG00000024231	Pan_troglodytes
ENSPPAP00000028320	ENSPPAG00000037202	Pan_paniscus
ENSP00000420727	ENSG00000197841	Homo_sapiens
ENSGGOP00000019314	ENSGGOG00000022196	Gorilla_gorilla
ENSPPYP00000011020	ENSPPYG00000009841	Pongo_abelii
ENSNLEP00000025898	ENSNLEG00000010833	Nomascus_leucogenys
ENSMMUP00000047244	ENSMMUG00000015744	Macaca_mulatta
ENSMNEP00000025252	ENSMNEG00000036115	Macaca_nemestrina
ENSMFAP00000029665	ENSMFAG00000042050	Macaca_fascicularis
ENSPANP00000012292	ENSPANG00000035857	Papio_anubis
ENSCATP00000020953	ENSCATG00000034198	Cercocebus_atys
ENSTGEP00000017379	ENSTGEG00000014043	Theropithecus_gelada
ENSMLEP00000027488	ENSMLEG00000037945	Mandrillus_leucophaeus
ENSCSAP00000000926	ENSCSAG00000004595	Chlorocebus_sabaeus
ENSCANP00000018781	ENSCANG00000032828	Colobus_angolensis_palliatus
ENSRROP00000006024	ENSRROG00000024260	Rhinopithecus_roxellana
ENSPTEP00000004719	ENSPTEG00000005464	Piliocolobus_tephrosceles
ENSPTRP00000084279	ENSPTRG00000044520	Pan_troglodytes
ENSPPAP00000020941	ENSPPAG00000033678	Pan_paniscus
ENSPPYP00000011016	ENSPPYG00000009839	Pongo_abelii
ENSNLEP00000043109	ENSNLEG00000027873	Nomascus_leucogenys
ENSTGEP00000017455	ENSTGEG00000014112	Theropithecus_gelada
ENSMNEP00000011496	ENSMNEG00000030080	Macaca_nemestrina
ENSMFAP00000002845	ENSMFAG00000039035	Macaca_fascicularis
ENSCATP00000009735	ENSCATG00000029020	Cercocebus_atys
ENSPANP00000045042	ENSPANG00000034319	Papio_anubis
ENSMLEP00000036858	ENSMLEG00000042526	Mandrillus_leucophaeus
ENSPPAP00000026231	ENSPPAG00000036226	Pan_paniscus
ENSPTRP00000084262	ENSPTRG00000010821	Pan_troglodytes
ENSGGOP00000040177	ENSGGOG00000001174	Gorilla_gorilla
ENSP00000396379	ENSG00000089335	Homo_sapiens
ENSNLEP00000047655	ENSNLEG00000031505	Nomascus_leucogenys
ENSCSAP00000000930	ENSCSAG00000004598	Chlorocebus_sabaeus
ENSMLEP00000025963	ENSMLEG00000037175	Mandrillus_leucophaeus
ENSRBIP00000005830	ENSRBIG00000025124	Rhinopithecus_bieti
ENSCANP00000020865	ENSCANG00000033853	Colobus_angolensis_palliatus
ENSRROP00000030667	ENSRROG00000039066	Rhinopithecus_roxellana
ENSGGOP00000044196	ENSGGOG00000041162	Gorilla_gorilla
ENSGGOP00000050464	ENSGGOG00000039010	Gorilla_gorilla
ENSRBIP00000037416	ENSRBIG00000042291	Rhinopithecus_bieti
ENSCCAP00000010672	ENSCCAG00000023060	Cebus_capucinus_imitator
ENSANAP00000031192	ENSANAG00000033310	Aotus_nancymaae
ENSCJAP00000019873	ENSCJAG00000010784	Callithrix_jacchus
ENSCCAP00000035716	ENSCCAG00000035764	Cebus_capucinus_imitator
ENSCJAP00000019866	ENSCJAG00000057553	Callithrix_jacchus
ENSSBOP00000031655	ENSSBOG00000032015	Saimiri_boliviensis_boliviensis
ENSCCAP00000035863	ENSCCAG00000035846	Cebus_capucinus_imitator
ENSCJAP00000055850	ENSCJAG00000035239	Callithrix_jacchus
ENSANAP00000002398	ENSANAG00000018173	Aotus_nancymaae
ENSHGLP00100009283	ENSHGLG00100006881	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000013765	ENSHGLG00000009826	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000021527	ENSFDAG00000007639	Fukomys_damarensis
ENSCLAP00000023035	ENSCLAG00000015812	Chinchilla_lanigera
ENSSDAP00000008321	ENSSDAG00000007611	Spermophilus_dauricus
ENSMMMP00000007156	ENSMMMG00000006393	Marmota_marmota_marmota
ENSSTOP00000003100	ENSSTOG00000003480	Ictidomys_tridecemlineatus
ENSUPAP00010013350	ENSUPAG00010010792	Urocitellus_parryii
ENSCCNP00000011438	ENSCCNG00000011868	Castor_canadensis
ENSNGAP00000018127	ENSNGAG00000018363	Nannospalax_galili
ENSOCUP00000026277	ENSOCUG00000029578	Oryctolagus_cuniculus
ENSOCUP00000026376	ENSOCUG00000029619	Oryctolagus_cuniculus
ENSOPRP00000003357	ENSOPRG00000003671	Ochotona_princeps
ENSTSYP00000026971	ENSTSYG00000030016	Carlito_syrichta
ENSTBEP00000003533	ENSTBEG00000004016	Tupaia_belangeri
ENSDNOP00000031618	ENSDNOG00000041553	Dasypus_novemcinctus
ENSDNOP00000017073	ENSDNOG00000014569	Dasypus_novemcinctus
ENSDNOP00000022883	ENSDNOG00000042291	Dasypus_novemcinctus
