ENSPPAP00000020168	ENSPPAG00000033301	Pan_paniscus	ENSPPAT00000042954
ENSPTRP00000060408	ENSPTRG00000041808	Pan_troglodytes	ENSPTRT00000074981
ENSP00000409225	ENSG00000222047	Homo_sapiens
ENSGGOP00000049442	ENSGGOG00000043479	Gorilla_gorilla
ENSPPYP00000002701	ENSPPYG00000002325	Pongo_abelii
ENSMNEP00000038191	ENSMNEG00000042120	Macaca_nemestrina
ENSMFAP00000003455	ENSMFAG00000001479	Macaca_fascicularis
ENSCATP00000040828	ENSCATG00000043009	Cercocebus_atys
ENSCSAP00000005231	ENSCSAG00000008976	Chlorocebus_sabaeus
ENSPANP00000020281	ENSPANG00000022456	Papio_anubis
ENSRBIP00000042580	ENSRBIG00000044550	Rhinopithecus_bieti
ENSRROP00000031140	ENSRROG00000039275	Rhinopithecus_roxellana
ENSCANP00000033992	ENSCANG00000040675	Colobus_angolensis_palliatus
ENSCJAP00000057159	ENSCJAG00000046716	Callithrix_jacchus
ENSCCAP00000015034	ENSCCAG00000025320	Cebus_capucinus_imitator
ENSSBOP00000000283	ENSSBOG00000001182	Saimiri_boliviensis_boliviensis
ENSANAP00000028751	ENSANAG00000032195	Aotus_nancymaae
ENSTBEP00000011501	ENSTBEG00000013289	Tupaia_belangeri
ENSEEUP00000014556	ENSEEUG00000015932	Erinaceus_europaeus
ENSSARP00000006656	ENSSARG00000007337	Sorex_araneus
ENSMICP00000024112	ENSMICG00000000731	Microcebus_murinus
ENSPCOP00000004599	ENSPCOG00000012969	Propithecus_coquereli
ENSETEP00000003971	ENSETEG00000004862	Echinops_telfairi
