ENSMMUP00000075093	ENSMMUG00000056251	Macaca_mulatta
ENSRBIP00000026763	ENSRBIG00000037243	Rhinopithecus_bieti
ENSVVUP00000027809	ENSVVUG00000020377	Vulpes_vulpes
ENSCSAP00000011327	ENSCSAG00000015283	Chlorocebus_sabaeus
ENSPPRP00000010955	ENSPPRG00000005043	Panthera_pardus
ENSCAFP00000008714	ENSCAFG00000005818	Canis_lupus_familiaris
ENSNVIP00000012509	ENSNVIG00000009882	Neovison_vison
ENSCGRP00015031254	ENSCGRG00015023559	Cricetulus_griseus_CriGri-PICR
ENSMOCP00000020232	ENSMOCG00000017977	Microtus_ochrogaster
ENSPTIP00000015131	ENSPTIG00000014213	Panthera_tigris_altaica
MGP_CAROLIEiJ_P0083996	MGP_CAROLIEiJ_G0030915	Mus_caroli_strain_CAROLI_EIJ
ENSNGAP00000021098	ENSNGAG00000020376	Nannospalax_galili
ENSUMAP00000035584	ENSUMAG00000025584	Ursus_maritimus
ENSMPUP00000005901	ENSMPUG00000005952	Mustela_putorius_furo
MGP_PahariEiJ_P0046904	MGP_PahariEiJ_G0021385	Mus_pahari_strain_PAHARI_EIJ
ENSLAFP00000020865	ENSLAFG00000030433	Loxodonta_africana
ENSPANP00000007765	ENSPANG00000012484	Papio_anubis
ENSAMEP00000002949	ENSAMEG00000002808	Ailuropoda_melanoleuca
ENSCATP00000021681	ENSCATG00000034543	Cercocebus_atys
ENSMPUP00000009284	ENSMPUG00000009359	Mustela_putorius_furo
ENSDNOP00000030256	ENSDNOG00000033104	Dasypus_novemcinctus
ENSBBBP00000003848	ENSBBBG00000012838	Bison_bison_bison
ENSCPOP00000025115	ENSCPOG00000025318	Cavia_porcellus
ENSMUSP00000033958	ENSMUSG00000031553	Mus_musculus_strain_reference_(CL57BL6)
ENSVVUP00000027619	ENSVVUG00000020264	Vulpes_vulpes
ENSFCAP00000046173	ENSFCAG00000040602	Felis_catus
ENSCGRP00015031289	ENSCGRG00015023587	Cricetulus_griseus_CriGri-PICR
ENSCHIP00000018394	ENSCHIG00000017832	Capra_hircus
ENSPTEP00000038706	ENSPTEG00000035922	Piliocolobus_tephrosceles
ENSCGRP00001004288	ENSCGRG00001005386	Cricetulus_griseus_CHOK1GS_HDv1
ENSCJAP00000004006	ENSCJAG00000002206	Callithrix_jacchus
ENSCHIP00000024752	ENSCHIG00000021808	Capra_hircus
ENSSBOP00000028847	ENSSBOG00000030781	Saimiri_boliviensis_boliviensis
ENSSSCP00000016750	ENSSSCG00000034623	Sus_scrofa_strain_reference
ENSAMEP00000002920	ENSAMEG00000002775	Ailuropoda_melanoleuca
ENSMFAP00000022171	ENSMFAG00000035987	Macaca_fascicularis
ENSOPRP00000008044	ENSOPRG00000008791	Ochotona_princeps
ENSCANP00000035649	ENSCANG00000041525	Colobus_angolensis_palliatus
ENSCAFP00000037869	ENSCAFG00000005758	Canis_lupus_familiaris
ENSPSMP00000008670	ENSPSMG00000006375	Prolemur_simus
ENSMLUP00000017793	ENSMLUG00000025536	Myotis_lucifugus
ENSNLEP00000040808	ENSNLEG00000035094	Nomascus_leucogenys
ENSCHOP00000001498	ENSCHOG00000001699	Choloepus_hoffmanni
ENSUMAP00000012632	ENSUMAG00000009369	Ursus_maritimus	ENSUMAT00000014988
ENSMLUP00000000338	ENSMLUG00000000370	Myotis_lucifugus
ENSMNEP00000037920	ENSMNEG00000042006	Macaca_nemestrina
ENSMICP00000049420	ENSMICG00000047697	Microcebus_murinus
ENSSSCP00000070686	ENSSSCG00000007009	Sus_scrofa_strain_reference
ENSCAFP00020003174	ENSCAFG00020002685	Canis_lupus_dingo
ENSMUGP00000029968	ENSMUGG00000024894	Meriones_unguiculatus
ENSCGRP00000014221	ENSCGRG00000010293	Cricetulus_griseus_CriGri_1.0
ENSMLUP00000020511	ENSMLUG00000026491	Myotis_lucifugus
ENSPPYP00000020781	ENSPPYG00000018534	Pongo_abelii
ENSBTAP00000049364	ENSBTAG00000033312	Bos_taurus
ENSMMMP00000018448	ENSMMMG00000016335	Marmota_marmota_marmota
ENSAMEP00000005447	ENSAMEG00000005142	Ailuropoda_melanoleuca
ENSBIXP00000003967	ENSBIXG00000000559	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSTGEP00000012411	ENSTGEG00000010126	Theropithecus_gelada
ENSBMUP00000005237	ENSBMUG00000004096	Bos_mutus
ENSCCNP00000015458	ENSCCNG00000015846	Castor_canadensis
ENSRROP00000018909	ENSRROG00000033483	Rhinopithecus_roxellana
ENSOCUP00000045838	ENSOCUG00000037745	Oryctolagus_cuniculus
ENSBIXP00005001833	ENSBIXG00005008334	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOPRP00000008028	ENSOPRG00000008777	Ochotona_princeps
ENSEASP00005014923	ENSEASG00005010426	Equus_asinus_asinus
ENSCLAP00000005216	ENSCLAG00000003702	Chinchilla_lanigera
ENSCCAP00000000801	ENSCCAG00000004846	Cebus_capucinus_imitator
ENSPPRP00000022498	ENSPPRG00000013168	Panthera_pardus
ENSPTIP00000025032	ENSPTIG00000020907	Panthera_tigris_altaica
ENSECAP00000019860	ENSECAG00000022220	Equus_caballus
ENSFCAP00000017637	ENSFCAG00000032011	Felis_catus
ENSRNOP00000070106	ENSRNOG00000017554	Rattus_norvegicus
ENSNVIP00000012876	ENSNVIG00000010101	Neovison_vison
ENSOCUP00000020323	ENSOCUG00000023766	Oryctolagus_cuniculus
ENSCAFP00020003086	ENSCAFG00020002587	Canis_lupus_dingo
ENSOARP00000000662	ENSOARG00000000649	Ovis_aries	ENSOART00000000694
ENSJJAP00000019100	ENSJJAG00000020146	Jaculus_jaculus
ENSMLEP00000003614	ENSMLEG00000015703	Mandrillus_leucophaeus
ENSOARP00000000193	ENSOARG00000000210	Ovis_aries
ENSUMAP00000012666	ENSUMAG00000009393	Ursus_maritimus
ENSOARP00000002244	ENSOARG00000002130	Ovis_aries
ENSMSIP00000024717	ENSMSIG00000020764	Mus_spicilegus
ENSFDAP00000021960	ENSFDAG00000007329	Fukomys_damarensis
MGP_SPRETEiJ_P0087469	MGP_SPRETEiJ_G0032034	Mus_spretus_strain_SPRET/EiJ
