ENSGAGP00000018441	ENSGAGG00000013649	Gopherus_agassizii	ENSGAGT00000021016
ENSPSIP00000004324	ENSPSIG00000004070	Pelodiscus_sinensis
ENSARWP00000011662	ENSARWG00000008080	Apteryx_rowi
ENSAHAP00000023778	ENSAHAG00000016626	Apteryx_haastii
ENSACAP00000008081	ENSACAG00000008222	Anolis_carolinensis
ENSPVIP00000016272	ENSPVIG00000012597	Pogona_vitticeps
ENSNSUP00000005594	ENSNSUG00000004511	Notechis_scutatus
ENSSMRP00000001386	ENSSMRG00000001218	Salvator_merianae
ENSSPUP00000007273	ENSSPUG00000005630	Sphenodon_punctatus
ENSUMAP00000018983	ENSUMAG00000013928	Ursus_maritimus
ENSUAMP00000003495	ENSUAMG00000003217	Ursus_americanus
ENSAMEP00000006743	ENSAMEG00000006392	Ailuropoda_melanoleuca
ENSMPUP00000010852	ENSMPUG00000010940	Mustela_putorius_furo
ENSNVIP00000025156	ENSNVIG00000019466	Neovison_vison
ENSCAFP00020013908	ENSCAFG00020011247	Canis_lupus_dingo
ENSCAFP00000023272	ENSCAFG00000015830	Canis_lupus_familiaris
ENSVVUP00000038522	ENSVVUG00000027473	Vulpes_vulpes
ENSPTIP00000012675	ENSPTIG00000012646	Panthera_tigris_altaica
ENSPPRP00000012889	ENSPPRG00000006286	Panthera_pardus
ENSFCAP00000061038	ENSFCAG00000036967	Felis_catus
ENSCAFP00000028113	ENSCAFG00000019051	Canis_lupus_familiaris
ENSCAFP00020025026	ENSCAFG00020019658	Canis_lupus_dingo
ENSOCUP00000000958	ENSOCUG00000001104	Oryctolagus_cuniculus
ENSOPRP00000005408	ENSOPRG00000005891	Ochotona_princeps
ENSOARP00000006011	ENSOARG00000005601	Ovis_aries
ENSCHIP00000015204	ENSCHIG00000015931	Capra_hircus
ENSBIXP00000008857	ENSBIXG00000006787	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005044779	ENSBIXG00005028653	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000007013	ENSBMUG00000005552	Bos_mutus
ENSBTAP00000059892	ENSBTAG00000004913	Bos_taurus
ENSBBBP00000020377	ENSBBBG00000014007	Bison_bison_bison
ENSTTRP00000001218	ENSTTRG00000001298	Tursiops_truncatus
ENSSSCP00000018968	ENSSSCG00000017906	Sus_scrofa_strain_reference
ENSBIXP00005027698	ENSBIXG00005030233	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000033620	ENSBIXG00000002539	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000017244	ENSBTAG00000012971	Bos_taurus
ENSBMUP00000017737	ENSBMUG00000013425	Bos_mutus
ENSBBBP00000009659	ENSBBBG00000017801	Bison_bison_bison
ENSCHIP00000000672	ENSCHIG00000000477	Capra_hircus
ENSSSCP00000044290	ENSSSCG00000016796	Sus_scrofa_strain_reference
ENSEEUP00000005205	ENSEEUG00000005736	Erinaceus_europaeus
ENSUAMP00000014743	ENSUAMG00000011836	Ursus_americanus
ENSUMAP00000029324	ENSUMAG00000021260	Ursus_maritimus
ENSAMEP00000020257	ENSAMEG00000019207	Ailuropoda_melanoleuca
ENSNVIP00000001307	ENSNVIG00000001049	Neovison_vison
ENSMPUP00000019808	ENSMPUG00000019939	Mustela_putorius_furo
ENSPTIP00000006163	ENSPTIG00000008162	Panthera_tigris_altaica
ENSPPRP00000022140	ENSPPRG00000012741	Panthera_pardus
ENSPVAP00000003578	ENSPVAG00000003781	Pteropus_vampyrus
ENSMLUP00000012777	ENSMLUG00000014045	Myotis_lucifugus
ENSEASP00005022545	ENSEASG00005015398	Equus_asinus_asinus
ENSECAP00000019052	ENSECAG00000021567	Equus_caballus
ENSPPAP00000031125	ENSPPAG00000038506	Pan_paniscus
ENSPTRP00000014705	ENSPTRG00000008615	Pan_troglodytes
ENSP00000262482	ENSG00000108523	Homo_sapiens
ENSGGOP00000000216	ENSGGOG00000000219	Gorilla_gorilla
ENSPPYP00000024474	ENSPPYG00000007849	Pongo_abelii
ENSNLEP00000021165	ENSNLEG00000017437	Nomascus_leucogenys
ENSCATP00000012413	ENSCATG00000030368	Cercocebus_atys
ENSTGEP00000024528	ENSTGEG00000019815	Theropithecus_gelada
ENSMLEP00000029706	ENSMLEG00000039051	Mandrillus_leucophaeus
ENSMMUP00000078644	ENSMMUG00000002769	Macaca_mulatta
ENSMFAP00000044505	ENSMFAG00000039590	Macaca_fascicularis
ENSMNEP00000020586	ENSMNEG00000034100	Macaca_nemestrina
ENSCSAP00000009116	ENSCSAG00000012939	Chlorocebus_sabaeus
ENSPANP00000019561	ENSPANG00000024312	Papio_anubis
ENSPTEP00000040784	ENSPTEG00000037509	Piliocolobus_tephrosceles
ENSCANP00000023200	ENSCANG00000035018	Colobus_angolensis_palliatus
ENSRBIP00000036498	ENSRBIG00000041863	Rhinopithecus_bieti
ENSRROP00000038233	ENSRROG00000042502	Rhinopithecus_roxellana
ENSCCAP00000020169	ENSCCAG00000027914	Cebus_capucinus_imitator
ENSCJAP00000045946	ENSCJAG00000011735	Callithrix_jacchus
ENSSBOP00000039658	ENSSBOG00000035841	Saimiri_boliviensis_boliviensis
ENSANAP00000034287	ENSANAG00000034776	Aotus_nancymaae
ENSTSYP00000010950	ENSTSYG00000011940	Carlito_syrichta
ENSMICP00000011388	ENSMICG00000012515	Microcebus_murinus
ENSPCOP00000001634	ENSPCOG00000005095	Propithecus_coquereli
ENSPSMP00000027975	ENSPSMG00000019499	Prolemur_simus
ENSOGAP00000016598	ENSOGAG00000034127	Otolemur_garnettii
ENSTBEP00000008994	ENSTBEG00000010416	Tupaia_belangeri
ENSHGLP00100017951	ENSHGLG00100013233	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000025710	ENSHGLG00000018301	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000010144	ENSFDAG00000017981	Fukomys_damarensis
ENSCPOP00000018480	ENSCPOG00000023602	Cavia_porcellus
ENSCAPP00000002076	ENSCAPG00000004484	Cavia_aperea
ENSODEP00000023195	ENSODEG00000017013	Octodon_degus
ENSCLAP00000018557	ENSCLAG00000012731	Chinchilla_lanigera
ENSUPAP00010007545	ENSUPAG00010006068	Urocitellus_parryii
ENSSTOP00000016693	ENSSTOG00000021495	Ictidomys_tridecemlineatus
ENSSDAP00000004241	ENSSDAG00000003990	Spermophilus_dauricus
ENSMMMP00000020443	ENSMMMG00000018051	Marmota_marmota_marmota
ENSCCNP00000033275	ENSCCNG00000031500	Castor_canadensis
ENSDORP00000027535	ENSDORG00000024493	Dipodomys_ordii
ENSCGRP00015006067	ENSCGRG00015004714	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000018070	ENSCGRG00000013144	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001013923	ENSCGRG00001014928	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00001006144	ENSCGRG00001008249	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005484	ENSCGRG00000004016	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000014501	ENSMAUG00000014242	Mesocricetus_auratus
ENSPEMP00000017032	ENSPEMG00000016082	Peromyscus_maniculatus_bairdii
ENSMOCP00000023790	ENSMOCG00000020407	Microtus_ochrogaster
ENSMOCP00000006420	ENSMOCG00000006069	Microtus_ochrogaster
ENSMUSP00000036472	ENSMUSG00000040746	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0029267	MGP_SPRETEiJ_G0017480	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000029666	ENSMSIG00000024909	Mus_spicilegus
MGP_CAROLIEiJ_P0027886	MGP_CAROLIEiJ_G0016644	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0034634	MGP_PahariEiJ_G0017775	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000005242	ENSRNOG00000003879	Rattus_norvegicus
ENSMUGP00000027857	ENSMUGG00000023151	Meriones_unguiculatus
ENSNGAP00000017101	ENSNGAG00000017627	Nannospalax_galili
ENSJJAP00000016522	ENSJJAG00000018350	Jaculus_jaculus
ENSSARP00000010144	ENSSARG00000011216	Sorex_araneus
ENSETEP00000007330	ENSETEG00000009030	Echinops_telfairi
ENSLAFP00000022713	ENSLAFG00000030250	Loxodonta_africana
ENSPCAP00000000256	ENSPCAG00000000278	Procavia_capensis
ENSDNOP00000031140	ENSDNOG00000037037	Dasypus_novemcinctus
ENSEEUP00000010757	ENSEEUG00000011794	Erinaceus_europaeus
ENSPCIP00000025465	ENSPCIG00000019160	Phascolarctos_cinereus
ENSVURP00010001911	ENSVURG00010001596	Vombatus_ursinus
ENSMEUP00000007209	ENSMEUG00000007901	Notamacropus_eugenii
ENSSHAP00000006617	ENSSHAG00000005762	Sarcophilus_harrisii
ENSMODP00000006569	ENSMODG00000005330	Monodelphis_domestica
ENSOANP00000002168	ENSOANG00000001365	Ornithorhynchus_anatinus
ENSXETP00000007758	ENSXETG00000007691	Xenopus_tropicalis
ENSLACP00000002157	ENSLACG00000001927	Latimeria_chalumnae
ENSECRP00000010598	ENSECRG00000007057	Erpetoichthys_calabaricus
ENSAMXP00005008053	ENSAMXG00005004731	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPMAP00000003755	ENSPMAG00000003449	Petromyzon_marinus
ENSEBUP00000010901	ENSEBUG00000006978	Eptatretus_burgeri
