ENSSDUP00000012125	ENSSDUG00000008829	Seriola_dumerili
ENSMZEP00005015894	ENSMZEG00005011933	Maylandia_zebra
ENSSHAP00000011447	ENSSHAG00000009840	Sarcophilus_harrisii
ENSACIP00000003710	ENSACIG00000002939	Amphilophus_citrinellus
ENSSLDP00000013597	ENSSLDG00000010826	Seriola_lalandi_dorsalis
MGP_CAROLIEiJ_P0061593	MGP_CAROLIEiJ_G0025851	Mus_caroli_strain_CAROLI_EIJ
ENSBSLP00000028512	ENSBSLG00000014284	Betta_splendens
ENSNMEP00000009131	ENSNMEG00000008857	Numida_meleagris
ENSAPLP00000001779	ENSAPLG00000002512	Anas_platyrhynchos_platyrhynchos
MGP_PahariEiJ_P0057261	MGP_PahariEiJ_G0023974	Mus_pahari_strain_PAHARI_EIJ
ENSUPAP00010012682	ENSUPAG00010010294	Urocitellus_parryii
ENSCJPP00005000100	ENSCJPG00005000151	Coturnix_japonica
ENSAPEP00000029461	ENSAPEG00000020953	Amphiprion_percula
ENSPANP00000001325	ENSPANG00000006100	Papio_anubis
ENSCLAP00000013599	ENSCLAG00000009397	Chinchilla_lanigera
ENSDARP00000087682	ENSDARG00000076262	Danio_rerio
ENSJHYP00000002038	ENSJHYG00000001720	Junco_hyemalis
ENSLCRP00005037139	ENSLCRG00005014459	Larimichthys_crocea
ENSGAGP00000033663	ENSGAGG00000023961	Gopherus_agassizii
ENSPMGP00000027392	ENSPMGG00000022106	Periophthalmus_magnuspinnatus
ENSNGAP00000003648	ENSNGAG00000004321	Nannospalax_galili
ENSSLDP00000033244	ENSSLDG00000025442	Seriola_lalandi_dorsalis
ENSPSIP00000004736	ENSPSIG00000004434	Pelodiscus_sinensis
ENSGACP00000017644	ENSGACG00000013353	Gasterosteus_aculeatus
ENSCHAP00000028683	ENSCHAG00000013816	Clupea_harengus
ENSJJAP00000016826	ENSJJAG00000018563	Jaculus_jaculus
ENSLAFP00000024665	ENSLAFG00000031052	Loxodonta_africana
ENSONIP00000026012	ENSONIG00000020707	Oreochromis_niloticus
ENSAOCP00000005739	ENSAOCG00000009294	Amphiprion_ocellaris
ENSBTAP00000034379	ENSBTAG00000024773	Bos_taurus
ENSAHAP00000016999	ENSAHAG00000012125	Apteryx_haastii
ENSTNIP00000019394	ENSTNIG00000016300	Tetraodon_nigroviridis
ENSECRP00000005550	ENSECRG00000003737	Erpetoichthys_calabaricus
ENSSMRP00000015374	ENSSMRG00000011932	Salvator_merianae
ENSRNOP00000009043	ENSRNOG00000006908	Rattus_norvegicus
ENSMGAP00000000113	ENSMGAG00000000739	Meleagris_gallopavo
ENSATEP00000035979	ENSATEG00000024729	Anabas_testudineus
