ENSFDAP00000009542	ENSFDAG00000017526	Fukomys_damarensis
ENSGWIP00000005945	ENSGWIG00000003472	Gouania_willdenowi
ENSPLAP00000008954	ENSPLAG00000011628	Poecilia_latipinna
ENSPPRP00000024850	ENSPPRG00000015037	Panthera_pardus
ENSCCNP00000008584	ENSCCNG00000009079	Castor_canadensis
ENSBBBP00000021220	ENSBBBG00000001051	Bison_bison_bison
ENSMZEP00005012017	ENSMZEG00005009024	Maylandia_zebra
ENSCGRP00001019536	ENSCGRG00001018945	Cricetulus_griseus_CHOK1GS_HDv1
ENSSHAP00000013996	ENSSHAG00000011971	Sarcophilus_harrisii
ENSDNOP00000011723	ENSDNOG00000015132	Dasypus_novemcinctus
ENSPVAP00000015110	ENSPVAG00000016011	Pteropus_vampyrus
ENSPSMP00000035739	ENSPSMG00000024594	Prolemur_simus
ENSMUGP00000012235	ENSMUGG00000010655	Meriones_unguiculatus
ENSAOCP00000011623	ENSAOCG00000015974	Amphiprion_ocellaris
ENSOCUP00000048328	ENSOCUG00000025497	Oryctolagus_cuniculus
ENSIPUP00000002745	ENSIPUG00000001932	Ictalurus_punctatus
ENSMMOP00000026894	ENSMMOG00000020340	Mola_mola
ENSORLP00015011202	ENSORLG00015012007	Oryzias_latipes_ASM223469v1
ENSCCNP00000031311	ENSCCNG00000029823	Castor_canadensis
ENSPTIP00000012537	ENSPTIG00000012549	Panthera_tigris_altaica
ENSLOCP00000016893	ENSLOCG00000013699	Lepisosteus_oculatus
ENSFCAP00000061487	ENSFCAG00000024337	Felis_catus
ENSNBRP00000022698	ENSNBRG00000017386	Neolamprologus_brichardi
ENSLAFP00000002525	ENSLAFG00000003031	Loxodonta_africana
ENSFALP00000012152	ENSFALG00000011646	Ficedula_albicollis
ENSSPUP00000018970	ENSSPUG00000014637	Sphenodon_punctatus
ENSSDAP00000024386	ENSSDAG00000022213	Spermophilus_dauricus
ENSNMEP00000016473	ENSNMEG00000014512	Numida_meleagris
ENSMAUP00000001597	ENSMAUG00000001169	Mesocricetus_auratus
ENSBIXP00000029883	ENSBIXG00000000938	Bos_indicus_x_Bos_taurus_UOA_Angus_1
