MGP_CAROLIEiJ_P0052618	MGP_CAROLIEiJ_G0023722	Mus_caroli_strain_CAROLI_EIJ
ENSCHIP00000006465	ENSCHIG00000010289	Capra_hircus
ENSLCAP00010039700	ENSLCAG00010018548	Lates_calcarifer
ENSMUGP00000022547	ENSMUGG00000018893	Meriones_unguiculatus
ENSHBUP00000027295	ENSHBUG00000010398	Haplochromis_burtoni
ENSKMAP00000016106	ENSKMAG00000012019	Kryptolebias_marmoratus
ENSGAGP00000017912	ENSGAGG00000013285	Gopherus_agassizii
ENSMAMP00000003192	ENSMAMG00000002178	Mastacembelus_armatus
ENSPRNP00000041087	ENSPRNG00000020155	Parambassis_ranga
ENSPMJP00000007821	ENSPMJG00000006427	Parus_major
ENSIPUP00000024061	ENSIPUG00000016254	Ictalurus_punctatus
ENSPMEP00000018201	ENSPMEG00000021098	Poecilia_mexicana
ENSOPRP00000002441	ENSOPRG00000002653	Ochotona_princeps
ENSPVIP00000031246	ENSPVIG00000022963	Pogona_vitticeps	ENSPVIT00000038294
ENSRNOP00000074642	ENSRNOG00000054563	Rattus_norvegicus
ENSMZEP00005003664	ENSMZEG00005002818	Maylandia_zebra
ENSHCOP00000007957	ENSHCOG00000010090	Hippocampus_comes
ENSHGLP00000009582	ENSHGLG00000006872	Heterocephalus_glaber_HetGla_female_1.0
ENSSMRP00000001185	ENSSMRG00000001039	Salvator_merianae	ENSSMRT00000001431
ENSOMEP00000019491	ENSOMEG00000000823	Oryzias_melastigma
ENSPREP00000026349	ENSPREG00000017810	Poecilia_reticulata
ENSBIXP00005041023	ENSBIXG00005023864	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSAPOP00000006421	ENSAPOG00000008261	Acanthochromis_polyacanthus
ENSPNYP00000022930	ENSPNYG00000017305	Pundamilia_nyererei
ENSSDAP00000010200	ENSSDAG00000009275	Spermophilus_dauricus
ENSAMXP00000032178	ENSAMXG00000039853	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCABP00000027933	ENSCABG00000020534	Chelonoidis_abingdonii
ENSPSIP00000005522	ENSPSIG00000005146	Pelodiscus_sinensis
ENSMALP00000020396	ENSMALG00000014250	Monopterus_albus
ENSSBOP00000007248	ENSSBOG00000020584	Saimiri_boliviensis_boliviensis
ENSNBRP00000006676	ENSNBRG00000005255	Neolamprologus_brichardi
ENSMEUP00000000411	ENSMEUG00000000451	Notamacropus_eugenii
ENSLAFP00000015855	ENSLAFG00000020876	Loxodonta_africana
ENSPNYP00000022909	ENSPNYG00000017293	Pundamilia_nyererei
ENSCJPP00005022154	ENSCJPG00005017711	Coturnix_japonica	ENSCJPT00005030417
ENSHBUP00000008908	ENSHBUG00000010409	Haplochromis_burtoni
ENSLCOP00000018532	ENSLCOG00000013112	Lepidothrix_coronata
