ENSTRUP00000052851	ENSTRUG00000017712	Takifugu_rubripes
ENSTNIP00000020061	ENSTNIG00000016941	Tetraodon_nigroviridis
ENSMMOP00000002048	ENSMMOG00000001702	Mola_mola
ENSGWIP00000033818	ENSGWIG00000017454	Gouania_willdenowi
ENSCGOP00000033302	ENSCGOG00000015449	Cottoperca_gobio
ENSGACP00000006448	ENSGACG00000004883	Gasterosteus_aculeatus
ENSSMAP00000023756	ENSSMAG00000014503	Scophthalmus_maximus
ENSSLDP00000016177	ENSSLDG00000012841	Seriola_lalandi_dorsalis
ENSSDUP00000029256	ENSSDUG00000021072	Seriola_dumerili
ENSCSEP00000008510	ENSCSEG00000005439	Cynoglossus_semilaevis
ENSSPAP00000008713	ENSSPAG00000006643	Stegastes_partitus
ENSAPEP00000030693	ENSAPEG00000021815	Amphiprion_percula
ENSPRNP00000009094	ENSPRNG00000005352	Parambassis_ranga
ENSXMAP00000005170	ENSXMAG00000005154	Xiphophorus_maculatus
ENSXCOP00000025647	ENSXCOG00000019159	Xiphophorus_couchianus
ENSPMEP00000020220	ENSPMEG00000023326	Poecilia_mexicana
ENSPFOP00000012658	ENSPFOG00000012667	Poecilia_formosa
ENSPLAP00000027929	ENSPLAG00000016893	Poecilia_latipinna
ENSPREP00000007080	ENSPREG00000004882	Poecilia_reticulata
ENSGAFP00000005182	ENSGAFG00000003531	Gambusia_affinis
ENSFHEP00000023071	ENSFHEG00000003831	Fundulus_heteroclitus
ENSCVAP00000028737	ENSCVAG00000015970	Cyprinodon_variegatus
ENSKMAP00000023361	ENSKMAG00000017337	Kryptolebias_marmoratus
ENSOMEP00000023847	ENSOMEG00000004153	Oryzias_melastigma
ENSHBUP00000016945	ENSHBUG00000018934	Haplochromis_burtoni
ENSACLP00000014284	ENSACLG00000009731	Astatotilapia_calliptera
ENSMZEP00005006857	ENSMZEG00005005282	Maylandia_zebra
ENSNBRP00000015421	ENSNBRG00000011951	Neolamprologus_brichardi
ENSACIP00000001212	ENSACIG00000001003	Amphilophus_citrinellus
ENSMAMP00000008357	ENSMAMG00000005685	Mastacembelus_armatus
ENSBSLP00000015354	ENSBSLG00000008088	Betta_splendens
ENSPMGP00000013927	ENSPMGG00000011448	Periophthalmus_magnuspinnatus
ENSGMOP00000002290	ENSGMOG00000002126	Gadus_morhua
ENSHHUP00000030391	ENSHHUG00000019337	Hucho_hucho
ENSHHUP00000027380	ENSHHUG00000017324	Hucho_hucho
ENSDCDP00000020812	ENSDCDG00000016444	Denticeps_clupeoides	ENSDCDT00000028732
ENSCHAP00000010031	ENSCHAG00000005819	Clupea_harengus	ENSCHAT00000011231
ENSAMXP00005051261	ENSAMXG00005023182	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000014449	ENSAMXG00000014034	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000014051	ENSPNAG00000019988	Pygocentrus_nattereri
ENSEEEP00000016680	ENSEEEG00000008236	Electrophorus_electricus
ENSIPUP00000023180	ENSIPUG00000015683	Ictalurus_punctatus
ENSDARP00000113639	ENSDARG00000020527	Danio_rerio
ENSSFOP00015017553	ENSSFOG00015011299	Scleropages_formosus	ENSSFOT00015017753
ENSPKIP00000005230	ENSPKIG00000021980	Paramormyrops_kingsleyae	ENSPKIT00000029223
ENSLOCP00000018426	ENSLOCG00000014967	Lepisosteus_oculatus
ENSECRP00000017305	ENSECRG00000011535	Erpetoichthys_calabaricus
ENSCABP00000012346	ENSCABG00000009256	Chelonoidis_abingdonii
ENSGAGP00000020441	ENSGAGG00000015060	Gopherus_agassizii
ENSCPBP00000002109	ENSCPBG00000001700	Chrysemys_picta_bellii
ENSPSIP00000004164	ENSPSIG00000003925	Pelodiscus_sinensis
ENSAOWP00000024215	ENSAOWG00000016346	Apteryx_owenii
ENSAHAP00000027585	ENSAHAG00000019199	Apteryx_haastii
ENSDNVP00000004735	ENSDNVG00000003378	Dromaius_novaehollandiae
ENSNPEP00000008253	ENSNPEG00000006197	Nothoprocta_perdicaria
ENSCPUP00000001410	ENSCPUG00000001082	Calidris_pugnax
ENSCPUP00000001388	ENSCPUG00000001065	Calidris_pugnax
ENSCPGP00000009200	ENSCPGG00000006538	Calidris_pygmaea
ENSMUNP00000016008	ENSMUNG00000012329	Melopsittacus_undulatus
ENSGALP00000007743	ENSGALG00000004856	Gallus_gallus
ENSCJPP00005012363	ENSCJPG00005010435	Coturnix_japonica
ENSNMEP00000012315	ENSNMEG00000011391	Numida_meleagris
