ENSPCIP00000030751	ENSPCIG00000022878	Phascolarctos_cinereus	ENSPCIT00000037839
ENSVURP00010031878	ENSVURG00010024350	Vombatus_ursinus	ENSVURT00010036300
ENSMEUP00000009672	ENSMEUG00000010595	Notamacropus_eugenii	ENSMEUT00000010631
ENSSHAP00000013163	ENSSHAG00000011252	Sarcophilus_harrisii	ENSSHAT00000013269
ENSMODP00000013176	ENSMODG00000010518	Monodelphis_domestica	ENSMODT00000013418
ENSUAMP00000020962	ENSUAMG00000016499	Ursus_americanus
ENSUMAP00000007393	ENSUMAG00000005705	Ursus_maritimus
ENSAMEP00000007779	ENSAMEG00000007374	Ailuropoda_melanoleuca
ENSNVIP00000010965	ENSNVIG00000008651	Neovison_vison
ENSMPUP00000002535	ENSMPUG00000002564	Mustela_putorius_furo
ENSCAFP00020019727	ENSCAFG00020015665	Canis_lupus_dingo
ENSCAFP00000033959	ENSCAFG00000012954	Canis_lupus_familiaris
ENSVVUP00000007615	ENSVVUG00000005751	Vulpes_vulpes
ENSPPRP00000028180	ENSPPRG00000020283	Panthera_pardus
ENSPTIP00000011454	ENSPTIG00000011870	Panthera_tigris_altaica
ENSFCAP00000019522	ENSFCAG00000024207	Felis_catus
ENSPVAP00000009431	ENSPVAG00000010003	Pteropus_vampyrus
ENSECAP00000038828	ENSECAG00000006524	Equus_caballus
ENSEASP00005020422	ENSEASG00005014037	Equus_asinus_asinus
ENSOPRP00000010345	ENSOPRG00000011329	Ochotona_princeps
ENSSSCP00000062785	ENSSSCG00000010745	Sus_scrofa_strain_reference
ENSEEUP00000013554	ENSEEUG00000014849	Erinaceus_europaeus
ENSMLUP00000000970	ENSMLUG00000001059	Myotis_lucifugus
ENSTBEP00000000290	ENSTBEG00000000335	Tupaia_belangeri
MGP_SPRETEiJ_P0086299	MGP_SPRETEiJ_G0031705	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0086299
ENSMSIP00000028652	ENSMSIG00000024019	Mus_spicilegus	ENSMSIT00000036124
ENSMUSP00000069013	ENSMUSG00000053111	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000065359
MGP_CAROLIEiJ_P0082883	MGP_CAROLIEiJ_G0030591	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0082883
MGP_PahariEiJ_P0019668	MGP_PahariEiJ_G0013798	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0019668
