ENSCINP00000010005	ENSCING00000004834	Ciona_intestinalis	ENSCINT00000010005
ENSCSAVP00000005705	ENSCSAVG00000003392	Ciona_savignyi	ENSCSAVT00000005780
T11A5.6a.1	WBGene00011705	Caenorhabditis_elegans_strain_N2	T11A5.6a.1
W05G11.4.1	WBGene00021041	Caenorhabditis_elegans_strain_N2	W05G11.4.1
ENSPMAP00000004771	ENSPMAG00000004340	Petromyzon_marinus
ENSEBUP00000006117	ENSEBUG00000004074	Eptatretus_burgeri
ENSPCAP00000012524	ENSPCAG00000013382	Procavia_capensis	ENSPCAT00000013403
ENSLAFP00000029302	ENSLAFG00000029213	Loxodonta_africana	ENSLAFT00000025787
ENSETEP00000008393	ENSETEG00000010335	Echinops_telfairi	ENSETET00000010335
ENSDNOP00000023053	ENSDNOG00000035064	Dasypus_novemcinctus	ENSDNOT00000051149
ENSPPAP00000026450	ENSPPAG00000036297	Pan_paniscus	ENSPPAT00000049283
ENSPTRP00000071824	ENSPTRG00000045173	Pan_troglodytes	ENSPTRT00000106857
ENSP00000219611	ENSG00000103326	Homo_sapiens
ENSGGOP00000016969	ENSGGOG00000007870	Gorilla_gorilla
ENSPPYP00000007826	ENSPPYG00000006911	Pongo_abelii
ENSNLEP00000009869	ENSNLEG00000008089	Nomascus_leucogenys
ENSPANP00000013461	ENSPANG00000000690	Papio_anubis
ENSTGEP00000009507	ENSTGEG00000007826	Theropithecus_gelada
ENSMLEP00000010667	ENSMLEG00000029528	Mandrillus_leucophaeus
ENSCSAP00000008940	ENSCSAG00000012760	Chlorocebus_sabaeus
ENSCATP00000000056	ENSCATG00000000186	Cercocebus_atys
ENSMNEP00000008538	ENSMNEG00000028758	Macaca_nemestrina
ENSMMUP00000000828	ENSMMUG00000000615	Macaca_mulatta
ENSMFAP00000005555	ENSMFAG00000002424	Macaca_fascicularis
ENSRROP00000038972	ENSRROG00000042835	Rhinopithecus_roxellana
ENSRBIP00000000109	ENSRBIG00000000520	Rhinopithecus_bieti
ENSCANP00000000882	ENSCANG00000003247	Colobus_angolensis_palliatus
ENSPTEP00000004269	ENSPTEG00000005034	Piliocolobus_tephrosceles
ENSSBOP00000032587	ENSSBOG00000032477	Saimiri_boliviensis_boliviensis
ENSCJAP00000021892	ENSCJAG00000011919	Callithrix_jacchus
ENSCCAP00000040117	ENSCCAG00000037869	Cebus_capucinus_imitator
ENSANAP00000006024	ENSANAG00000021066	Aotus_nancymaae
ENSTSYP00000018406	ENSTSYG00000025477	Carlito_syrichta
ENSPCOP00000031220	ENSPCOG00000028371	Propithecus_coquereli
ENSPSMP00000032394	ENSPSMG00000022411	Prolemur_simus
ENSMICP00000025642	ENSMICG00000027225	Microcebus_murinus
ENSOGAP00000005571	ENSOGAG00000006238	Otolemur_garnettii
ENSMSIP00000015824	ENSMSIG00000013557	Mus_spicilegus
MGP_SPRETEiJ_P0045317	MGP_SPRETEiJ_G0022179	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000148486	ENSMUSG00000037326	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0043409	MGP_CAROLIEiJ_G0021268	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0055710	MGP_PahariEiJ_G0023586	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000075502	ENSRNOG00000020239	Rattus_norvegicus
ENSMUGP00000017137	ENSMUGG00000014528	Meriones_unguiculatus
ENSCGRP00000021019	ENSCGRG00000015285	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001020532	ENSCGRG00001019635	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015024553	ENSCGRG00015018653	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000011198	ENSMAUG00000011871	Mesocricetus_auratus
ENSMOCP00000005394	ENSMOCG00000004851	Microtus_ochrogaster
ENSPEMP00000004186	ENSPEMG00000006371	Peromyscus_maniculatus_bairdii
ENSNGAP00000006434	ENSNGAG00000009570	Nannospalax_galili
ENSJJAP00000020940	ENSJJAG00000021439	Jaculus_jaculus
ENSCCNP00000014533	ENSCCNG00000015014	Castor_canadensis
ENSCAPP00000005477	ENSCAPG00000007779	Cavia_aperea
ENSCPOP00000018125	ENSCPOG00000022357	Cavia_porcellus
ENSODEP00000020630	ENSODEG00000015214	Octodon_degus
ENSCLAP00000023017	ENSCLAG00000015798	Chinchilla_lanigera
ENSHGLP00000006490	ENSHGLG00000004746	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100011942	ENSHGLG00100008865	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000019675	ENSFDAG00000008987	Fukomys_damarensis
ENSUPAP00010016636	ENSUPAG00010013265	Urocitellus_parryii
ENSSTOP00000019745	ENSSTOG00000019730	Ictidomys_tridecemlineatus
ENSSDAP00000021028	ENSSDAG00000019070	Spermophilus_dauricus
ENSMMMP00000020911	ENSMMMG00000018451	Marmota_marmota_marmota
ENSDORP00000003960	ENSDORG00000004238	Dipodomys_ordii
ENSOCUP00000020902	ENSOCUG00000003160	Oryctolagus_cuniculus
ENSOPRP00000015586	ENSOPRG00000017077	Ochotona_princeps
ENSCHIP00000022545	ENSCHIG00000020457	Capra_hircus
ENSOARP00000013132	ENSOARG00000012251	Ovis_aries
ENSBIXP00005024366	ENSBIXG00005004615	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000001159	ENSBIXG00000028883	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000022070	ENSBTAG00000016592	Bos_taurus
ENSBMUP00000032371	ENSBMUG00000024148	Bos_mutus
ENSBBBP00000015502	ENSBBBG00000023215	Bison_bison_bison
ENSSSCP00000008535	ENSSSCG00000007993	Sus_scrofa_strain_reference
ENSTTRP00000008713	ENSTTRG00000009194	Tursiops_truncatus
ENSVPAP00000007089	ENSVPAG00000007623	Vicugna_pacos
ENSCAFP00000057508	ENSCAFG00000019667	Canis_lupus_familiaris
ENSCAFP00020011342	ENSCAFG00020009119	Canis_lupus_dingo
ENSVVUP00000018097	ENSVVUG00000013336	Vulpes_vulpes
ENSMPUP00000015897	ENSMPUG00000016003	Mustela_putorius_furo
ENSNVIP00000019387	ENSNVIG00000015204	Neovison_vison
ENSUAMP00000025438	ENSUAMG00000019749	Ursus_americanus
ENSUMAP00000029048	ENSUMAG00000021055	Ursus_maritimus
ENSAMEP00000007514	ENSAMEG00000007136	Ailuropoda_melanoleuca
ENSFCAP00000051643	ENSFCAG00000024851	Felis_catus
ENSMLUP00000009275	ENSMLUG00000010159	Myotis_lucifugus
ENSPVAP00000000526	ENSPVAG00000000559	Pteropus_vampyrus
ENSECAP00000009041	ENSECAG00000011148	Equus_caballus
ENSEASP00005026675	ENSEASG00005018201	Equus_asinus_asinus
ENSSARP00000009720	ENSSARG00000010753	Sorex_araneus
ENSEEUP00000011961	ENSEEUG00000013072	Erinaceus_europaeus
ENSOANP00000020566	ENSOANG00000013008	Ornithorhynchus_anatinus
ENSVURP00010002048	ENSVURG00010001706	Vombatus_ursinus
ENSVURP00010020569	ENSVURG00010015689	Vombatus_ursinus
