ENSMZEP00005024767	ENSMZEG00005018501	Maylandia_zebra
ENSHBUP00000032823	ENSHBUG00000019368	Haplochromis_burtoni
ENSACLP00000022803	ENSACLG00000015482	Astatotilapia_calliptera
ENSNBRP00000031817	ENSNBRG00000024181	Neolamprologus_brichardi
ENSACIP00000029341	ENSACIG00000022720	Amphilophus_citrinellus
ENSAPEP00000012278	ENSAPEG00000008751	Amphiprion_percula
ENSORLP00000034047	ENSORLG00000028568	Oryzias_latipes_ASM223467v1	ENSORLT00000034561
ENSORLP00015026717	ENSORLG00015008414	Oryzias_latipes_ASM223469v1
ENSLCAP00010057824	ENSLCAG00010026985	Lates_calcarifer
ENSKMAP00000020587	ENSKMAG00000015293	Kryptolebias_marmoratus
ENSMMOP00000012058	ENSMMOG00000009262	Mola_mola
ENSCSEP00000002659	ENSCSEG00000001767	Cynoglossus_semilaevis
ENSSMAP00000029073	ENSSMAG00000017802	Scophthalmus_maximus
ENSORLP00000035340	ENSORLG00000030066	Oryzias_latipes_ASM223467v1
ENSORLP00015007561	ENSORLG00015008379	Oryzias_latipes_ASM223469v1
ENSPRNP00000007880	ENSPRNG00000004671	Parambassis_ranga
ENSLBEP00000026579	ENSLBEG00000020218	Labrus_bergylta
ENSATEP00000021944	ENSATEG00000015223	Anabas_testudineus
