ENSPPYP00000011905	ENSPPYG00000010643	Pongo_abelii
ENSDNOP00000033847	ENSDNOG00000046661	Dasypus_novemcinctus
ENSPSMP00000017798	ENSPSMG00000012587	Prolemur_simus
ENSMNEP00000045775	ENSMNEG00000045373	Macaca_nemestrina
ENSCCAP00000020051	ENSCCAG00000027852	Cebus_capucinus_imitator
ENSLAFP00000002718	ENSLAFG00000003270	Loxodonta_africana
ENSRBIP00000028487	ENSRBIG00000038131	Rhinopithecus_bieti
ENSCATP00000003151	ENSCATG00000012682	Cercocebus_atys
ENSOMEP00000027265	ENSOMEG00000009673	Oryzias_melastigma
ENSPEMP00000009713	ENSPEMG00000010915	Peromyscus_maniculatus_bairdii
ENSCCNP00000009226	ENSCCNG00000009706	Castor_canadensis
ENSNLEP00000041494	ENSNLEG00000013869	Nomascus_leucogenys
ENSCJAP00000066578	ENSCJAG00000047360	Callithrix_jacchus
ENSAOCP00000002484	ENSAOCG00000005623	Amphiprion_ocellaris
ENSTNIP00000016713	ENSTNIG00000013713	Tetraodon_nigroviridis
ENSCVAP00000007086	ENSCVAG00000008759	Cyprinodon_variegatus
ENSFCAP00000044656	ENSFCAG00000035883	Felis_catus
ENSPRNP00000055746	ENSPRNG00000026084	Parambassis_ranga
ENSPEMP00000004811	ENSPEMG00000007207	Peromyscus_maniculatus_bairdii
ENSMALP00000011986	ENSMALG00000008516	Monopterus_albus
ENSMUGP00000010672	ENSMUGG00000009380	Meriones_unguiculatus
ENSP00000320171	ENSG00000067225	Homo_sapiens
ENSLOCP00000018622	ENSLOCG00000015130	Lepisosteus_oculatus
ENSRROP00000027290	ENSRROG00000037433	Rhinopithecus_roxellana
ENSGAFP00000019034	ENSGAFG00000012843	Gambusia_affinis
ENSVVUP00000005118	ENSVVUG00000003930	Vulpes_vulpes
ENSGACP00000021934	ENSGACG00000016600	Gasterosteus_aculeatus
ENSPTEP00000000209	ENSPTEG00000000271	Piliocolobus_tephrosceles
ENSCHOP00000011958	ENSCHOG00000013504	Choloepus_hoffmanni
ENSCSEP00000005292	ENSCSEG00000003394	Cynoglossus_semilaevis
ENSONIP00000003416	ENSONIG00000002725	Oreochromis_niloticus
ENSFCAP00000041670	ENSFCAG00000000653	Felis_catus
ENSDORP00000007720	ENSDORG00000008226	Dipodomys_ordii
ENSCABP00000013656	ENSCABG00000009918	Chelonoidis_abingdonii
F25H5.3e.1	WBGene00009126	Caenorhabditis_elegans_strain_N2	F25H5.3e.1
ENSSLDP00000009928	ENSSLDG00000007900	Seriola_lalandi_dorsalis
ENSNVIP00000025319	ENSNVIG00000019507	Neovison_vison
ENSACLP00000023534	ENSACLG00000016011	Astatotilapia_calliptera
ENSSHAP00000012010	ENSSHAG00000010300	Sarcophilus_harrisii
ENSPANP00000023470	ENSPANG00000015793	Papio_anubis
ENSAPEP00000010070	ENSAPEG00000007231	Amphiprion_percula
ENSPNYP00000004108	ENSPNYG00000003190	Pundamilia_nyererei
ENSPFOP00000016732	ENSPFOG00000016648	Poecilia_formosa
FBpp0083612	FBgn0038952	Drosophila_melanogaster
FBpp0083611	FBgn0267385	Drosophila_melanogaster	FBtr0084214
ENSATEP00000033919	ENSATEG00000023326	Anabas_testudineus
ENSOANP00000024668	ENSOANG00000015649	Ornithorhynchus_anatinus
ENSHHUP00000021977	ENSHHUG00000013719	Hucho_hucho
ENSMICP00000048101	ENSMICG00000007458	Microcebus_murinus
ENSOARP00000020288	ENSOARG00000018886	Ovis_aries
ENSPANP00000038712	ENSPANG00000016244	Papio_anubis
ENSOMEP00000013754	ENSOMEG00000015237	Oryzias_melastigma
