ENSCAPP00000007555	ENSCAPG00000009448	Cavia_aperea
MGP_SPRETEiJ_P0058616	MGP_SPRETEiJ_G0025656	Mus_spretus_strain_SPRET/EiJ
ENSBSLP00000005966	ENSBSLG00000003115	Betta_splendens
ENSPMEP00000003685	ENSPMEG00000004861	Poecilia_mexicana
ENSOANP00000014716	ENSOANG00000009245	Ornithorhynchus_anatinus
ENSPMAP00000010783	ENSPMAG00000009812	Petromyzon_marinus	ENSPMAT00000010829
ENSMALP00000007486	ENSMALG00000005314	Monopterus_albus
ENSACAP00000015735	ENSACAG00000015997	Anolis_carolinensis
ENSGAGP00000008341	ENSGAGG00000006628	Gopherus_agassizii
ENSNBRP00000023536	ENSNBRG00000018018	Neolamprologus_brichardi
ENSCPRP00005006829	ENSCPRG00005004867	Crocodylus_porosus
ENSEEUP00000009102	ENSEEUG00000010009	Erinaceus_europaeus
ENSUPAP00010006405	ENSUPAG00010005153	Urocitellus_parryii
ENSDCDP00000047261	ENSDCDG00000029460	Denticeps_clupeoides
ENSPCOP00000016741	ENSPCOG00000020146	Propithecus_coquereli
ENSMUNP00000014531	ENSMUNG00000011295	Melopsittacus_undulatus
ENSEEUP00000007202	ENSEEUG00000007927	Erinaceus_europaeus
ENSMVIP00005005016	ENSMVIG00005003839	Manacus_vitellinus	ENSMVIT00005005756
ENSODEP00000009225	ENSODEG00000006902	Octodon_degus
ENSAMXP00005000560	ENSAMXG00005000325	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPTEP00000003428	ENSPTEG00000004099	Piliocolobus_tephrosceles
ENSCPUP00000007536	ENSCPUG00000005445	Calidris_pugnax
ENSUMAP00000003163	ENSUMAG00000002726	Ursus_maritimus
ENSAPEP00000022897	ENSAPEG00000016307	Amphiprion_percula
ENSCJAP00000020780	ENSCJAG00000011281	Callithrix_jacchus
ENSDNVP00000014018	ENSDNVG00000009861	Dromaius_novaehollandiae
ENSPNYP00000008920	ENSPNYG00000006781	Pundamilia_nyererei
ENSPCAP00000004513	ENSPCAG00000004849	Procavia_capensis
ENSETEP00000000558	ENSETEG00000000699	Echinops_telfairi
ENSCGRP00015022504	ENSCGRG00015017138	Cricetulus_griseus_CriGri-PICR
ENSHGLP00100000773	ENSHGLG00100000634	Heterocephalus_glaber_HetGla_1.0
ENSTRUP00000009235	ENSTRUG00000003913	Takifugu_rubripes
ENSPLAP00000002649	ENSPLAG00000003963	Poecilia_latipinna
ENSMAMP00000035163	ENSMAMG00000023605	Mastacembelus_armatus
ENSSPUP00000002283	ENSSPUG00000001779	Sphenodon_punctatus
ENSIPUP00000019830	ENSIPUG00000013457	Ictalurus_punctatus
ENSACIP00000002397	ENSACIG00000001953	Amphilophus_citrinellus
ENSPSMP00000000306	ENSPSMG00000000272	Prolemur_simus
ENSNLEP00000008574	ENSNLEG00000007034	Nomascus_leucogenys
ENSNMEP00000000434	ENSNMEG00000000627	Numida_meleagris
ENSPMJP00000011736	ENSPMJG00000009062	Parus_major	ENSPMJT00000015449
ENSAPLP00000021080	ENSAPLG00000004391	Anas_platyrhynchos_platyrhynchos
ENSELUP00000014028	ENSELUG00000014090	Esox_lucius
ENSAHAP00000017420	ENSAHAG00000012399	Apteryx_haastii
ENSSARP00000005405	ENSSARG00000005985	Sorex_araneus	ENSSART00000005965
ENSMAUP00000024747	ENSMAUG00000021501	Mesocricetus_auratus
ENSCHIP00000029624	ENSCHIG00000024686	Capra_hircus
ENSJJAP00000013268	ENSJJAG00000016089	Jaculus_jaculus
ENSONIP00000004052	ENSONIG00000003227	Oreochromis_niloticus
ENSCJPP00005008016	ENSCJPG00005007254	Coturnix_japonica
ENSPREP00000030683	ENSPREG00000020781	Poecilia_reticulata
ENSRBIP00000037678	ENSRBIG00000042407	Rhinopithecus_bieti
ENSANAP00000031186	ENSANAG00000033317	Aotus_nancymaae
ENSTNIP00000005008	ENSTNIG00000002464	Tetraodon_nigroviridis
ENSTGUP00000008702	ENSTGUG00000008448	Taeniopygia_guttata
ENSMLUP00000018627	ENSMLUG00000026268	Myotis_lucifugus
ENSTNIP00000009505	ENSTNIG00000006720	Tetraodon_nigroviridis
ENSORLP00015002543	ENSORLG00015003216	Oryzias_latipes_ASM223469v1
MGP_PahariEiJ_P0067424	MGP_PahariEiJ_G0026177	Mus_pahari_strain_PAHARI_EIJ
ENSSBOP00000016457	ENSSBOG00000024921	Saimiri_boliviensis_boliviensis
ENSCAFP00000017538	ENSCAFG00000011914	Canis_lupus_familiaris
ENSDORP00000008024	ENSDORG00000008546	Dipodomys_ordii
ENSABRP00000026366	ENSABRG00000022034	Anser_brachyrhynchus
ENSBIXP00000037206	ENSBIXG00000000339	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMNEP00000008520	ENSMNEG00000028759	Macaca_nemestrina
ENSCHOP00000001475	ENSCHOG00000001671	Choloepus_hoffmanni
ENSOGAP00000003967	ENSOGAG00000004442	Otolemur_garnettii
ENSP00000217109	ENSG00000101138	Homo_sapiens
ENSGMOP00000019067	ENSGMOG00000017740	Gadus_morhua
ENSPNAP00000014186	ENSPNAG00000020115	Pygocentrus_nattereri
ENSLOCP00000004043	ENSLOCG00000003418	Lepisosteus_oculatus
ENSNSUP00000019572	ENSNSUG00000014298	Notechis_scutatus
ENSCANP00000034644	ENSCANG00000041006	Colobus_angolensis_palliatus
ENSPANP00000046543	ENSPANG00000020917	Papio_anubis
ENSTGEP00000017002	ENSTGEG00000013735	Theropithecus_gelada
ENSCLAP00000009631	ENSCLAG00000006676	Chinchilla_lanigera
ENSSSCP00000054983	ENSSSCG00000007494	Sus_scrofa_strain_reference
ENSCGOP00000008360	ENSCGOG00000004317	Cottoperca_gobio
ENSTSYP00000011708	ENSTSYG00000012773	Carlito_syrichta
ENSMUSP00000112076	ENSMUSG00000027498	Mus_musculus_strain_reference_(CL57BL6)
ENSZALP00000010468	ENSZALG00000008851	Zonotrichia_albicollis	ENSZALT00000014478
FBpp0085224	FBgn0039867	Drosophila_melanogaster
ENSMGAP00000009473	ENSMGAG00000009186	Meleagris_gallopavo
ENSPPRP00000004739	ENSPPRG00000000733	Panthera_pardus
ENSLCOP00000010261	ENSLCOG00000007456	Lepidothrix_coronata	ENSLCOT00000010887
