ENSTTRP00000004438	ENSTTRG00000004713	Tursiops_truncatus
ENSSSCP00000045822	ENSSSCG00000033335	Sus_scrofa_strain_reference
ENSOARP00000015199	ENSOARG00000014158	Ovis_aries
ENSCHIP00000012552	ENSCHIG00000014273	Capra_hircus
ENSBIXP00005036296	ENSBIXG00005007802	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000013363	ENSBIXG00000003168	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000065172	ENSBTAG00000001922	Bos_taurus
ENSBMUP00000002947	ENSBMUG00000002324	Bos_mutus
ENSBBBP00000003831	ENSBBBG00000012833	Bison_bison_bison
ENSECAP00000005975	ENSECAG00000007949	Equus_caballus
ENSEASP00005004396	ENSEASG00005003321	Equus_asinus_asinus
ENSUAMP00000013216	ENSUAMG00000010652	Ursus_americanus
ENSUMAP00000018481	ENSUMAG00000013567	Ursus_maritimus
ENSAMEP00000004352	ENSAMEG00000004126	Ailuropoda_melanoleuca
ENSNVIP00000014464	ENSNVIG00000011332	Neovison_vison
ENSMPUP00000012531	ENSMPUG00000012625	Mustela_putorius_furo
ENSCAFP00020013007	ENSCAFG00020010465	Canis_lupus_dingo
ENSPPRP00000008011	ENSPPRG00000002955	Panthera_pardus
ENSPTIP00000025044	ENSPTIG00000020957	Panthera_tigris_altaica
ENSFCAP00000056814	ENSFCAG00000006543	Felis_catus
ENSVPAP00000003631	ENSVPAG00000003907	Vicugna_pacos
ENSPVAP00000000381	ENSPVAG00000000411	Pteropus_vampyrus
ENSMLUP00000013380	ENSMLUG00000014704	Myotis_lucifugus
ENSSARP00000007329	ENSSARG00000008112	Sorex_araneus
ENSSBOP00000011264	ENSSBOG00000022457	Saimiri_boliviensis_boliviensis
ENSCCAP00000026917	ENSCCAG00000031257	Cebus_capucinus_imitator
ENSCJAP00000078282	ENSCJAG00000011704	Callithrix_jacchus
ENSANAP00000005753	ENSANAG00000020936	Aotus_nancymaae
ENSMMUP00000002665	ENSMMUG00000001994	Macaca_mulatta
ENSMFAP00000028452	ENSMFAG00000045580	Macaca_fascicularis
ENSMNEP00000045233	ENSMNEG00000045149	Macaca_nemestrina
ENSMLEP00000005506	ENSMLEG00000024202	Mandrillus_leucophaeus
ENSTGEP00000022320	ENSTGEG00000018060	Theropithecus_gelada
ENSCATP00000026925	ENSCATG00000036859	Cercocebus_atys
ENSPANP00000023019	ENSPANG00000007044	Papio_anubis
ENSCSAP00000000794	ENSCSAG00000004456	Chlorocebus_sabaeus
ENSRROP00000006545	ENSRROG00000025705	Rhinopithecus_roxellana
ENSRBIP00000022282	ENSRBIG00000035090	Rhinopithecus_bieti
ENSCANP00000035396	ENSCANG00000041373	Colobus_angolensis_palliatus
ENSPTEP00000003370	ENSPTEG00000004027	Piliocolobus_tephrosceles
ENSGGOP00000013187	ENSGGOG00000013521	Gorilla_gorilla
ENSP00000310459	ENSG00000166452	Homo_sapiens
ENSPPAP00000022093	ENSPPAG00000034247	Pan_paniscus
ENSPTRP00000063542	ENSPTRG00000003337	Pan_troglodytes
ENSPPYP00000004019	ENSPPYG00000003503	Pongo_abelii
ENSNLEP00000025647	ENSNLEG00000032259	Nomascus_leucogenys
ENSTSYP00000009382	ENSTSYG00000010227	Carlito_syrichta
ENSPCOP00000026231	ENSPCOG00000025450	Propithecus_coquereli
ENSMICP00000021280	ENSMICG00000005291	Microcebus_murinus
ENSPSMP00000031296	ENSPSMG00000021709	Prolemur_simus
ENSOGAP00000012540	ENSOGAG00000014006	Otolemur_garnettii
ENSTBEP00000003532	ENSTBEG00000004086	Tupaia_belangeri
ENSODEP00000002145	ENSODEG00000001680	Octodon_degus
ENSCLAP00000024307	ENSCLAG00000016688	Chinchilla_lanigera
ENSCPOP00000002006	ENSCPOG00000002212	Cavia_porcellus
