ENSBMUP00000021749	ENSBMUG00000016387	Bos_mutus
ENSCJAP00000070483	ENSCJAG00000004977	Callithrix_jacchus
ENSCHAP00000033668	ENSCHAG00000016042	Clupea_harengus
ENSSLDP00000012109	ENSSLDG00000009635	Seriola_lalandi_dorsalis
ENSCPUP00000022947	ENSCPUG00000015589	Calidris_pugnax
ENSSARP00000002982	ENSSARG00000003323	Sorex_araneus
ENSEEEP00000052277	ENSEEEG00000024512	Electrophorus_electricus
ENSONIP00000024787	ENSONIG00000019694	Oreochromis_niloticus
ENSBSLP00000034325	ENSBSLG00000016565	Betta_splendens
ENSECAP00000024337	ENSECAG00000018137	Equus_caballus
ENSCANP00000017245	ENSCANG00000032077	Colobus_angolensis_palliatus
ENSJHYP00000001590	ENSJHYG00000001371	Junco_hyemalis
ENSORLP00020025474	ENSORLG00020007450	Oryzias_latipes_ASM223471v1
ENSGACP00000010113	ENSGACG00000007628	Gasterosteus_aculeatus
ENSCPBP00000029149	ENSCPBG00000020555	Chrysemys_picta_bellii
ENSKMAP00000019141	ENSKMAG00000014229	Kryptolebias_marmoratus
ENSCAPP00000006380	ENSCAPG00000008565	Cavia_aperea
ENSCMIP00000010438	ENSCMIG00000005514	Callorhinchus_milii
ENSTBEP00000009146	ENSTBEG00000010576	Tupaia_belangeri
ENSSMAP00000009516	ENSSMAG00000005861	Scophthalmus_maximus
ENSSFOP00015021415	ENSSFOG00015013785	Scleropages_formosus
ENSMLEP00000019146	ENSMLEG00000033784	Mandrillus_leucophaeus
ENSAHAP00000011078	ENSAHAG00000008018	Apteryx_haastii
ENSSDUP00000010929	ENSSDUG00000007978	Seriola_dumerili
ENSUPAP00010007468	ENSUPAG00010005998	Urocitellus_parryii
ENSCABP00000031335	ENSCABG00000022900	Chelonoidis_abingdonii
ENSFALP00000012495	ENSFALG00000011967	Ficedula_albicollis
ENSCVAP00000008806	ENSCVAG00000010671	Cyprinodon_variegatus
ENSHHUP00000080926	ENSHHUG00000047095	Hucho_hucho
ENSMOCP00000002292	ENSMOCG00000001800	Microtus_ochrogaster
ENSMUSP00000023024	ENSMUSG00000022389	Mus_musculus_strain_reference_(CL57BL6)
