ENSPCAP00000002794	ENSPCAG00000003015	Procavia_capensis
ENSPMAP00000002273	ENSPMAG00000002083	Petromyzon_marinus
ENSUPAP00010020079	ENSUPAG00010015915	Urocitellus_parryii
ENSGAGP00000014561	ENSGAGG00000011061	Gopherus_agassizii
ENSPTRP00000078879	ENSPTRG00000048540	Pan_troglodytes
ENSMLEP00000033486	ENSMLEG00000040928	Mandrillus_leucophaeus
ENSORLP00000018034	ENSORLG00000014387	Oryzias_latipes_ASM223467v1
ENSPLAP00000003266	ENSPLAG00000004696	Poecilia_latipinna
ENSCHAP00000025892	ENSCHAG00000012612	Clupea_harengus
ENSCPGP00000014621	ENSCPGG00000010345	Calidris_pygmaea
ENSAOWP00000010717	ENSAOWG00000007373	Apteryx_owenii
ENSOARP00000021479	ENSOARG00000020003	Ovis_aries
ENSPCIP00000022276	ENSPCIG00000016882	Phascolarctos_cinereus
ENSHGLP00000024038	ENSHGLG00000017134	Heterocephalus_glaber_HetGla_female_1.0
ENSP00000370761	ENSG00000205707	Homo_sapiens
ENSCGRP00015006066	ENSCGRG00015004722	Cricetulus_griseus_CriGri-PICR
ENSORLP00020013859	ENSORLG00020014834	Oryzias_latipes_ASM223471v1
ENSORLP00015024548	ENSORLG00015005154	Oryzias_latipes_ASM223469v1
ENSZALP00000000594	ENSZALG00000000752	Zonotrichia_albicollis
ENSPVIP00000029989	ENSPVIG00000022105	Pogona_vitticeps
ENSPMEP00000005260	ENSPMEG00000006605	Poecilia_mexicana
ENSFDAP00000008153	ENSFDAG00000016492	Fukomys_damarensis
ENSSLDP00000016078	ENSSLDG00000012767	Seriola_lalandi_dorsalis
ENSBMUP00000026666	ENSBMUG00000020010	Bos_mutus
ENSATEP00000018937	ENSATEG00000013180	Anabas_testudineus
ENSTGEP00000033473	ENSTGEG00000026727	Theropithecus_gelada
ENSCSEP00000033967	ENSCSEG00000021788	Cynoglossus_semilaevis
ENSRBIP00000011683	ENSRBIG00000029739	Rhinopithecus_bieti
ENSCHAP00000054542	ENSCHAG00000024760	Clupea_harengus
ENSMAMP00000003515	ENSMAMG00000002406	Mastacembelus_armatus
ENSAPEP00000015989	ENSAPEG00000011393	Amphiprion_percula
MGP_CAROLIEiJ_P0076802	MGP_CAROLIEiJ_G0029046	Mus_caroli_strain_CAROLI_EIJ
ENSCVAP00000003930	ENSCVAG00000005184	Cyprinodon_variegatus
ENSNLEP00000006358	ENSNLEG00000005260	Nomascus_leucogenys
ENSECAP00000035631	ENSECAG00000028314	Equus_caballus
ENSPSIP00000016914	ENSPSIG00000015062	Pelodiscus_sinensis
ENSAMEP00000007952	ENSAMEG00000007557	Ailuropoda_melanoleuca
ENSSPAP00000001999	ENSSPAG00000001539	Stegastes_partitus
ENSNBRP00000028343	ENSNBRG00000021605	Neolamprologus_brichardi
ENSTBEP00000003240	ENSTBEG00000003749	Tupaia_belangeri
ENSCPBP00000012271	ENSCPBG00000009287	Chrysemys_picta_bellii
ENSMLUP00000019729	ENSMLUG00000028949	Myotis_lucifugus
ENSKMAP00000008266	ENSKMAG00000006221	Kryptolebias_marmoratus
ENSNBRP00000007224	ENSNBRG00000005669	Neolamprologus_brichardi
ENSMMMP00000020604	ENSMMMG00000018182	Marmota_marmota_marmota
ENSPREP00000029939	ENSPREG00000020259	Poecilia_reticulata
ENSAOCP00000009958	ENSAOCG00000014129	Amphiprion_ocellaris
