ENSECRP00000024702	ENSECRG00000016746	Erpetoichthys_calabaricus
ENSOANP00000032771	ENSOANG00000031243	Ornithorhynchus_anatinus
ENSVURP00010002475	ENSVURG00010002025	Vombatus_ursinus
ENSPCIP00000037380	ENSPCIG00000026468	Phascolarctos_cinereus
ENSMEUP00000013859	ENSMEUG00000015167	Notamacropus_eugenii
ENSSHAP00000007697	ENSSHAG00000006684	Sarcophilus_harrisii
ENSMODP00000037998	ENSMODG00000013073	Monodelphis_domestica
ENSCHIP00000018340	ENSCHIG00000017767	Capra_hircus
ENSOARP00000019268	ENSOARG00000017943	Ovis_aries
ENSBTAP00000021556	ENSBTAG00000016198	Bos_taurus
ENSBIXP00000006046	ENSBIXG00000012190	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005045354	ENSBIXG00005029142	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000021533	ENSBMUG00000016206	Bos_mutus
ENSBBBP00000008583	ENSBBBG00000004102	Bison_bison_bison
ENSTTRP00000003136	ENSTTRG00000003342	Tursiops_truncatus
ENSVPAP00000001554	ENSVPAG00000001676	Vicugna_pacos
ENSSSCP00000020812	ENSSSCG00000000068	Sus_scrofa_strain_reference
ENSUMAP00000029965	ENSUMAG00000021277	Ursus_maritimus
ENSUAMP00000031856	ENSUAMG00000023761	Ursus_americanus
ENSAMEP00000014751	ENSAMEG00000013940	Ailuropoda_melanoleuca
ENSNVIP00000000696	ENSNVIG00000000593	Neovison_vison
ENSMPUP00000016323	ENSMPUG00000016427	Mustela_putorius_furo
ENSCAFP00020002406	ENSCAFG00020002042	Canis_lupus_dingo
ENSCAFP00020002448	ENSCAFG00020002075	Canis_lupus_dingo
ENSCAFP00000001585	ENSCAFG00000001125	Canis_lupus_familiaris
ENSVVUP00000009208	ENSVVUG00000003883	Vulpes_vulpes
ENSPPRP00000018228	ENSPPRG00000009984	Panthera_pardus
ENSPTIP00000025430	ENSPTIG00000021151	Panthera_tigris_altaica
ENSFCAP00000004636	ENSFCAG00000005002	Felis_catus
ENSPVAP00000012046	ENSPVAG00000012771	Pteropus_vampyrus
ENSMLUP00000013493	ENSMLUG00000014810	Myotis_lucifugus
ENSEASP00005002132	ENSEASG00005001674	Equus_asinus_asinus
ENSECAP00000007916	ENSECAG00000009327	Equus_caballus
ENSSARP00000009515	ENSSARG00000010521	Sorex_araneus
ENSSARP00000007838	ENSSARG00000008613	Sorex_araneus
ENSEEUP00000008630	ENSEEUG00000009364	Erinaceus_europaeus
ENSCLAP00000024758	ENSCLAG00000016995	Chinchilla_lanigera
ENSODEP00000017540	ENSODEG00000012932	Octodon_degus
ENSCPOP00000004894	ENSCPOG00000005438	Cavia_porcellus
ENSCAPP00000017514	ENSCAPG00000017135	Cavia_aperea
ENSHGLP00000021823	ENSHGLG00000015586	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100019203	ENSHGLG00100014158	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000005919	ENSFDAG00000014827	Fukomys_damarensis
ENSUPAP00010007662	ENSUPAG00010006142	Urocitellus_parryii
ENSSTOP00000000650	ENSSTOG00000000722	Ictidomys_tridecemlineatus
ENSSDAP00000026575	ENSSDAG00000024082	Spermophilus_dauricus
ENSMMMP00000004494	ENSMMMG00000004029	Marmota_marmota_marmota
ENSCCNP00000005936	ENSCCNG00000006273	Castor_canadensis
ENSDORP00000009643	ENSDORG00000010258	Dipodomys_ordii
ENSMUSP00000066789	ENSMUSG00000055024	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0040905	MGP_SPRETEiJ_G0020952	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000034140	ENSMSIG00000027732	Mus_spicilegus
MGP_CAROLIEiJ_P0039103	MGP_CAROLIEiJ_G0020054	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0042453	MGP_PahariEiJ_G0020056	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000000206	ENSRNOG00000000190	Rattus_norvegicus
ENSMUGP00000020658	ENSMUGG00000017402	Meriones_unguiculatus
ENSCGRP00000023594	ENSCGRG00000017080	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001022084	ENSCGRG00001020720	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015007004	ENSCGRG00015005392	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000003797	ENSMAUG00000004380	Mesocricetus_auratus
ENSMOCP00000013970	ENSMOCG00000013592	Microtus_ochrogaster
ENSPEMP00000011299	ENSPEMG00000011981	Peromyscus_maniculatus_bairdii
ENSNGAP00000000790	ENSNGAG00000000598	Nannospalax_galili
ENSJJAP00000019038	ENSJJAG00000020124	Jaculus_jaculus
ENSOCUP00000009840	ENSOCUG00000011434	Oryctolagus_cuniculus
ENSOPRP00000011216	ENSOPRG00000012268	Ochotona_princeps
ENSPPAP00000019195	ENSPPAG00000032679	Pan_paniscus
ENSPTRP00000024841	ENSPTRG00000014418	Pan_troglodytes
ENSP00000263253	ENSG00000100393	Homo_sapiens
ENSGGOP00000008032	ENSGGOG00000008201	Gorilla_gorilla
ENSPPYP00000013236	ENSPPYG00000011862	Pongo_abelii
ENSNLEP00000035934	ENSNLEG00000015440	Nomascus_leucogenys
ENSMFAP00000044906	ENSMFAG00000039593	Macaca_fascicularis
ENSMMUP00000076664	ENSMMUG00000000893	Macaca_mulatta
ENSMNEP00000040649	ENSMNEG00000043056	Macaca_nemestrina
ENSCATP00000042119	ENSCATG00000043641	Cercocebus_atys
ENSMLEP00000031242	ENSMLEG00000039670	Mandrillus_leucophaeus
ENSPANP00000013403	ENSPANG00000015108	Papio_anubis
ENSTGEP00000010015	ENSTGEG00000008232	Theropithecus_gelada
ENSCSAP00000002153	ENSCSAG00000005846	Chlorocebus_sabaeus
ENSRROP00000028002	ENSRROG00000037756	Rhinopithecus_roxellana
ENSRBIP00000033605	ENSRBIG00000040546	Rhinopithecus_bieti
ENSCANP00000014363	ENSCANG00000030426	Colobus_angolensis_palliatus
ENSPTEP00000033948	ENSPTEG00000032297	Piliocolobus_tephrosceles
ENSSBOP00000021524	ENSSBOG00000027132	Saimiri_boliviensis_boliviensis
ENSCCAP00000037833	ENSCCAG00000036735	Cebus_capucinus_imitator
ENSCJAP00000008779	ENSCJAG00000004770	Callithrix_jacchus
ENSANAP00000015649	ENSANAG00000025671	Aotus_nancymaae
ENSTSYP00000001158	ENSTSYG00000001247	Carlito_syrichta
ENSPSMP00000002629	ENSPSMG00000001992	Prolemur_simus
ENSMICP00000040213	ENSMICG00000013864	Microcebus_murinus
ENSPCOP00000019426	ENSPCOG00000021644	Propithecus_coquereli
ENSOGAP00000000381	ENSOGAG00000000423	Otolemur_garnettii
ENSTBEP00000002681	ENSTBEG00000003015	Tupaia_belangeri
ENSCHOP00000007796	ENSCHOG00000008791	Choloepus_hoffmanni
ENSLAFP00000010281	ENSLAFG00000012289	Loxodonta_africana
ENSPCAP00000011493	ENSPCAG00000012051	Procavia_capensis
ENSETEP00000002030	ENSETEG00000002487	Echinops_telfairi
ENSOANP00000027533	ENSOANG00000014679	Ornithorhynchus_anatinus
ENSCCEP00000001946	ENSCCEG00000002279	Cyanistes_caeruleus
ENSPMJP00000009266	ENSPMJG00000005447	Parus_major
