ENSAOCP00000018841	ENSAOCG00000024021	Amphiprion_ocellaris
ENSP00000383909	ENSG00000142700	Homo_sapiens
ENSSPAP00000025665	ENSSPAG00000019366	Stegastes_partitus
ENSNBRP00000031275	ENSNBRG00000023755	Neolamprologus_brichardi
ENSPRNP00000011952	ENSPRNG00000006688	Parambassis_ranga
ENSLSDP00000017906	ENSLSDG00000012786	Lonchura_striata_domestica
ENSPLAP00000003841	ENSPLAG00000005407	Poecilia_latipinna
ENSSTOP00000019609	ENSSTOG00000024624	Ictidomys_tridecemlineatus
ENSATEP00000008781	ENSATEG00000006176	Anabas_testudineus
ENSBIXP00000023926	ENSBIXG00000005468	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSETEP00000000259	ENSETEG00000000334	Echinops_telfairi
ENSSFOP00015024721	ENSSFOG00015015895	Scleropages_formosus
ENSPKIP00000023483	ENSPKIG00000007101	Paramormyrops_kingsleyae
ENSPNAP00000011387	ENSPNAG00000017040	Pygocentrus_nattereri
ENSTNIP00000001903	ENSTNIG00000015486	Tetraodon_nigroviridis
ENSNGAP00000006972	ENSNGAG00000010314	Nannospalax_galili
ENSOCUP00000000881	ENSOCUG00000001019	Oryctolagus_cuniculus
ENSPMJP00000000902	ENSPMJG00000000744	Parus_major
ENSLOCP00000011440	ENSLOCG00000009379	Lepisosteus_oculatus
ENSNMEP00000025462	ENSNMEG00000021550	Numida_meleagris
ENSBTAP00000013742	ENSBTAG00000010414	Bos_taurus
ENSACIP00000011243	ENSACIG00000008749	Amphilophus_citrinellus
ENSCABP00000007164	ENSCABG00000005437	Chelonoidis_abingdonii
ENSTGEP00000003817	ENSTGEG00000003220	Theropithecus_gelada
ENSPFOP00000004816	ENSPFOG00000004939	Poecilia_formosa
ENSPANP00000025798	ENSPANG00000012592	Papio_anubis
ENSMLUP00000005706	ENSMLUG00000006249	Myotis_lucifugus
ENSSSCP00000020786	ENSSSCG00000030552	Sus_scrofa_strain_reference
ENSCAFP00020016933	ENSCAFG00020013554	Canis_lupus_dingo
ENSACAP00000007132	ENSACAG00000007289	Anolis_carolinensis
ENSCCAP00000016662	ENSCCAG00000026118	Cebus_capucinus_imitator
MGP_CAROLIEiJ_P0063582	MGP_CAROLIEiJ_G0026288	Mus_caroli_strain_CAROLI_EIJ
ENSORLP00015009225	ENSORLG00015010007	Oryzias_latipes_ASM223469v1
ENSBMUP00000020758	ENSBMUG00000015624	Bos_mutus
ENSPPRP00000009084	ENSPPRG00000003651	Panthera_pardus
ENSONIP00000002957	ENSONIG00000002365	Oreochromis_niloticus
ENSPPYP00000001588	ENSPPYG00000001366	Pongo_abelii
ENSBIXP00005032593	ENSBIXG00005013129	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOARP00000004582	ENSOARG00000004283	Ovis_aries
ENSAMEP00000018453	ENSAMEG00000017464	Ailuropoda_melanoleuca
ENSNLEP00000024738	ENSNLEG00000027959	Nomascus_leucogenys
ENSLCOP00000000066	ENSLCOG00000000072	Lepidothrix_coronata
ENSCLAP00000012059	ENSCLAG00000008314	Chinchilla_lanigera
ENSCHAP00000015352	ENSCHAG00000008219	Clupea_harengus
ENSABRP00000018102	ENSABRG00000015596	Anser_brachyrhynchus	ENSABRT00000025578
ENSAMXP00000028053	ENSAMXG00000039840	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAPOP00000017191	ENSAPOG00000020362	Acanthochromis_polyacanthus
ENSJJAP00000021460	ENSJJAG00000021824	Jaculus_jaculus
ENSPMGP00000027475	ENSPMGG00000022169	Periophthalmus_magnuspinnatus
ENSXMAP00000003337	ENSXMAG00000003327	Xiphophorus_maculatus
ENSDORP00000014575	ENSDORG00000015486	Dipodomys_ordii
ENSOGAP00000017054	ENSOGAG00000026143	Otolemur_garnettii
ENSSMRP00000023590	ENSSMRG00000018294	Salvator_merianae
ENSFHEP00000003656	ENSFHEG00000004540	Fundulus_heteroclitus
ENSUPAP00010028353	ENSUPAG00010022391	Urocitellus_parryii
ENSMLEP00000004848	ENSMLEG00000021929	Mandrillus_leucophaeus
ENSAPLP00000023825	ENSAPLG00000029740	Anas_platyrhynchos_platyrhynchos
ENSPCOP00000030675	ENSPCOG00000028074	Propithecus_coquereli
ENSPREP00000027929	ENSPREG00000018881	Poecilia_reticulata
