ENSPMAP00000005502	ENSPMAG00000005025	Petromyzon_marinus	ENSPMAT00000005522
ENSEBUP00000007283	ENSEBUG00000004748	Eptatretus_burgeri	ENSEBUT00000007760
ENSPVIP00000028740	ENSPVIG00000021248	Pogona_vitticeps
ENSNSUP00000017611	ENSNSUG00000012918	Notechis_scutatus	ENSNSUT00000018737
ENSSMRP00000010170	ENSSMRG00000008069	Salvator_merianae
ENSSPUP00000024580	ENSSPUG00000018814	Sphenodon_punctatus
ENSAOWP00000004307	ENSAOWG00000003015	Apteryx_owenii
ENSAHAP00000017707	ENSAHAG00000012571	Apteryx_haastii
ENSARWP00000015089	ENSARWG00000010426	Apteryx_rowi
ENSDNVP00000016082	ENSDNVG00000011285	Dromaius_novaehollandiae
ENSNPEP00000017693	ENSNPEG00000013147	Nothoprocta_perdicaria
ENSABRP00000026640	ENSABRG00000022203	Anser_brachyrhynchus
ENSAPLP00000004998	ENSAPLG00000005342	Anas_platyrhynchos_platyrhynchos
ENSGALP00000054518	ENSGALG00000001446	Gallus_gallus
ENSCJPP00005011891	ENSCJPG00005010169	Coturnix_japonica
ENSMGAP00000008002	ENSMGAG00000007784	Meleagris_gallopavo
ENSNMEP00000013744	ENSNMEG00000011404	Numida_meleagris
ENSCPGP00000017579	ENSCPGG00000012325	Calidris_pygmaea
ENSCPUP00000023669	ENSCPUG00000016074	Calidris_pugnax
ENSMUNP00000012701	ENSMUNG00000009944	Melopsittacus_undulatus
ENSLSDP00000005092	ENSLSDG00000003985	Lonchura_striata_domestica
ENSTGUP00000006915	ENSTGUG00000006681	Taeniopygia_guttata
ENSSCAP00000000951	ENSSCAG00000000789	Serinus_canaria
ENSPMJP00000000804	ENSPMJG00000000652	Parus_major
ENSCCEP00000009489	ENSCCEG00000009609	Cyanistes_caeruleus
ENSFALP00000001969	ENSFALG00000001837	Ficedula_albicollis
ENSJHYP00000004628	ENSJHYG00000003826	Junco_hyemalis
ENSZALP00000014681	ENSZALG00000012163	Zonotrichia_albicollis
ENSLCOP00000020093	ENSLCOG00000014234	Lepidothrix_coronata
ENSMVIP00005014832	ENSMVIG00005010701	Manacus_vitellinus
ENSCPRP00005014804	ENSCPRG00005010213	Crocodylus_porosus
