ENSLCRP00005005879	ENSLCRG00005002984	Larimichthys_crocea
ENSGACP00000007917	ENSGACG00000005973	Gasterosteus_aculeatus
ENSLCAP00010035836	ENSLCAG00010016805	Lates_calcarifer
ENSPRNP00000025284	ENSPRNG00000012824	Parambassis_ranga
ENSPRNP00000025291	ENSPRNG00000012827	Parambassis_ranga
ENSFHEP00000030747	ENSFHEG00000016465	Fundulus_heteroclitus
ENSBSLP00000056723	ENSBSLG00000026436	Betta_splendens
ENSPMGP00000020845	ENSPMGG00000016902	Periophthalmus_magnuspinnatus
ENSAOCP00000011981	ENSAOCG00000016370	Amphiprion_ocellaris
ENSAOCP00000002977	ENSAOCG00000006211	Amphiprion_ocellaris
ENSAPEP00000025346	ENSAPEG00000018041	Amphiprion_percula
ENSAPOP00000012973	ENSAPOG00000000434	Acanthochromis_polyacanthus
ENSSPAP00000027624	ENSSPAG00000020824	Stegastes_partitus
ENSMZEP00005007368	ENSMZEG00005003158	Maylandia_zebra
ENSHBUP00000009540	ENSHBUG00000011084	Haplochromis_burtoni
ENSMZEP00005016053	ENSMZEG00005012055	Maylandia_zebra
ENSPNYP00000016055	ENSPNYG00000012025	Pundamilia_nyererei
ENSACLP00000030182	ENSACLG00000020453	Astatotilapia_calliptera
ENSONIP00000009149	ENSONIG00000007256	Oreochromis_niloticus
ENSACIP00000025208	ENSACIG00000019388	Amphilophus_citrinellus
ENSACLP00000031301	ENSACLG00000020491	Astatotilapia_calliptera
ENSMZEP00005016041	ENSMZEG00005012049	Maylandia_zebra
ENSNBRP00000012781	ENSNBRG00000009852	Neolamprologus_brichardi
ENSACIP00000000932	ENSACIG00000000721	Amphilophus_citrinellus
ENSACIP00000018358	ENSACIG00000014276	Amphilophus_citrinellus
ENSMZEP00005004044	ENSMZEG00005003052	Maylandia_zebra
ENSPNYP00000015821	ENSPNYG00000011967	Pundamilia_nyererei
ENSONIP00000009147	ENSONIG00000007254	Oreochromis_niloticus
ENSLBEP00000008976	ENSLBEG00000006618	Labrus_bergylta
ENSLBEP00000007156	ENSLBEG00000005539	Labrus_bergylta
ENSCGOP00000017061	ENSCGOG00000008178	Cottoperca_gobio
ENSSLDP00000017496	ENSSLDG00000013800	Seriola_lalandi_dorsalis
ENSSDUP00000016357	ENSSDUG00000011952	Seriola_dumerili
ENSMAMP00000035851	ENSMAMG00000024079	Mastacembelus_armatus
ENSMAMP00000035850	ENSMAMG00000024078	Mastacembelus_armatus
ENSMALP00000006373	ENSMALG00000004551	Monopterus_albus
ENSATEP00000035542	ENSATEG00000024421	Anabas_testudineus
ENSHCOP00000022210	ENSHCOG00000009704	Hippocampus_comes
ENSSMAP00000011051	ENSSMAG00000006822	Scophthalmus_maximus
ENSCSEP00000005765	ENSCSEG00000003725	Cynoglossus_semilaevis
ENSGWIP00000029538	ENSGWIG00000015433	Gouania_willdenowi
ENSTRUP00000044482	ENSTRUG00000017363	Takifugu_rubripes
ENSTNIP00000022284	ENSTNIG00000019090	Tetraodon_nigroviridis
ENSMMOP00000009858	ENSMMOG00000006756	Mola_mola
ENSKMAP00000029008	ENSKMAG00000021507	Kryptolebias_marmoratus
ENSKMAP00000029020	ENSKMAG00000021516	Kryptolebias_marmoratus
ENSKMAP00000028997	ENSKMAG00000021493	Kryptolebias_marmoratus
ENSCVAP00000011251	ENSCVAG00000013492	Cyprinodon_variegatus
ENSFHEP00000030916	ENSFHEG00000016482	Fundulus_heteroclitus
ENSPLAP00000022739	ENSPLAG00000007508	Poecilia_latipinna
ENSPMEP00000008337	ENSPMEG00000010432	Poecilia_mexicana
ENSPFOP00000018970	ENSPFOG00000018856	Poecilia_formosa
ENSPREP00000020165	ENSPREG00000013646	Poecilia_reticulata
ENSXMAP00000008841	ENSXMAG00000008813	Xiphophorus_maculatus
ENSXCOP00000022201	ENSXCOG00000016296	Xiphophorus_couchianus
ENSORLP00000039372	ENSORLG00000024619	Oryzias_latipes_ASM223467v1
ENSORLP00015023710	ENSORLG00015003866	Oryzias_latipes_ASM223469v1
ENSORLP00020033384	ENSORLG00020019382	Oryzias_latipes_ASM223471v1
