ENSP00000231137	ENSG00000113212	Homo_sapiens	ENST00000231137
ENSPPAP00000004031	ENSPPAG00000017091	Pan_paniscus	ENSPPAT00000018692
ENSGGOP00000018711	ENSGGOG00000041339	Gorilla_gorilla	ENSGGOT00000033505
ENSPTRP00000088113	ENSPTRG00000049066	Pan_troglodytes	ENSPTRT00000100959
ENSMMUP00000063019	ENSMMUG00000050553	Macaca_mulatta	ENSMMUT00000110006
ENSMFAP00000010012	ENSMFAG00000005051	Macaca_fascicularis	ENSMFAT00000038115
ENSTGEP00000033286	ENSTGEG00000026587	Theropithecus_gelada	ENSTGET00000039530
ENSCSAP00000008702	ENSCSAG00000012530	Chlorocebus_sabaeus	ENSCSAT00000010613
ENSCANP00000003461	ENSCANG00000012387	Colobus_angolensis_palliatus
ENSCCAP00000010459	ENSCCAG00000022977	Cebus_capucinus_imitator
ENSSBOP00000037805	ENSSBOG00000034986	Saimiri_boliviensis_boliviensis
ENSANAP00000020807	ENSANAG00000028196	Aotus_nancymaae
ENSPSMP00000029954	ENSPSMG00000020786	Prolemur_simus
ENSPCOP00000025971	ENSPCOG00000025281	Propithecus_coquereli
ENSCGRP00001008166	ENSCGRG00001010500	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015000208	ENSCGRG00015000253	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000003902	ENSMAUG00000004599	Mesocricetus_auratus
ENSPEMP00000005482	ENSPEMG00000007936	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0048393	MGP_SPRETEiJ_G0023081	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000059598	ENSMUSG00000047033	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0046476	MGP_CAROLIEiJ_G0022171	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0039074	MGP_PahariEiJ_G0018905	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000027164	ENSRNOG00000020054	Rattus_norvegicus
ENSJJAP00000002664	ENSJJAG00000004792	Jaculus_jaculus
ENSCCNP00000009382	ENSCCNG00000009895	Castor_canadensis
ENSCLAP00000016986	ENSCLAG00000011655	Chinchilla_lanigera
ENSODEP00000019081	ENSODEG00000014075	Octodon_degus
ENSCPOP00000025620	ENSCPOG00000031892	Cavia_porcellus
ENSCAPP00000001339	ENSCAPG00000002553	Cavia_aperea
ENSHGLP00000024998	ENSHGLG00000017815	Heterocephalus_glaber_HetGla_female_1.0
ENSSDAP00000021091	ENSSDAG00000019188	Spermophilus_dauricus
ENSMMMP00000012743	ENSMMMG00000011398	Marmota_marmota_marmota
ENSUPAP00010009960	ENSUPAG00010008073	Urocitellus_parryii
ENSCAFP00000045546	ENSCAFG00000041019	Canis_lupus_familiaris
ENSCAFP00020027068	ENSCAFG00020021245	Canis_lupus_dingo
ENSVVUP00000023748	ENSVVUG00000017405	Vulpes_vulpes
ENSAMEP00000011272	ENSAMEG00000010729	Ailuropoda_melanoleuca
ENSPPRP00000025949	ENSPPRG00000016370	Panthera_pardus
ENSFCAP00000029336	ENSFCAG00000044874	Felis_catus
ENSEASP00005026535	ENSEASG00005018118	Equus_asinus_asinus
ENSECAP00000001009	ENSECAG00000001422	Equus_caballus
ENSVPAP00000009294	ENSVPAG00000009988	Vicugna_pacos
ENSSSCP00000055129	ENSSSCG00000036961	Sus_scrofa_strain_reference
ENSCHIP00000027461	ENSCHIG00000023375	Capra_hircus
ENSOARP00000020232	ENSOARG00000018836	Ovis_aries
ENSBIXP00005034722	ENSBIXG00005015732	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSEEUP00000006996	ENSEEUG00000007662	Erinaceus_europaeus
ENSOPRP00000013980	ENSOPRG00000015312	Ochotona_princeps
ENSPCAP00000002641	ENSPCAG00000002850	Procavia_capensis
ENSETEP00000010932	ENSETEG00000013481	Echinops_telfairi
