ENSJHYP00000007121	ENSJHYG00000005713	Junco_hyemalis	ENSJHYT00000008708
ENSPMJP00000007980	ENSPMJG00000006535	Parus_major	ENSPMJT00000010947
ENSFALP00000009186	ENSFALG00000008806	Ficedula_albicollis	ENSFALT00000009225
ENSCPGP00000006000	ENSCPGG00000004293	Calidris_pygmaea	ENSCPGT00000006602
ENSCPUP00000011107	ENSCPUG00000007872	Calidris_pugnax	ENSCPUT00000013234
ENSNMEP00000020917	ENSNMEG00000017948	Numida_meleagris	ENSNMET00000030500
ENSCJPP00005010108	ENSCJPG00005008841	Coturnix_japonica	ENSCJPT00005015031
ENSABRP00000017343	ENSABRG00000015107	Anser_brachyrhynchus	ENSABRT00000024614
ENSDNVP00000019921	ENSDNVG00000013941	Dromaius_novaehollandiae	ENSDNVT00000024016
ENSNPEP00000004929	ENSNPEG00000003759	Nothoprocta_perdicaria	ENSNPET00000005055
ENSAHAP00000005019	ENSAHAG00000003904	Apteryx_haastii	ENSAHAT00000005643
ENSAOWP00000016235	ENSAOWG00000011068	Apteryx_owenii	ENSAOWT00000018423
ENSARWP00000005047	ENSARWG00000003634	Apteryx_rowi	ENSARWT00000005796
