ENSPCIP00000049702	ENSPCIG00000017983	Phascolarctos_cinereus
ENSVURP00010021255	ENSVURG00010015014	Vombatus_ursinus
ENSMEUP00000001761	ENSMEUG00000001921	Notamacropus_eugenii
ENSMODP00000049624	ENSMODG00000016863	Monodelphis_domestica
ENSOANP00000005917	ENSOANG00000003731	Ornithorhynchus_anatinus
ENSACAP00000005855	ENSACAG00000005872	Anolis_carolinensis
ENSPVIP00000019329	ENSPVIG00000014711	Pogona_vitticeps
ENSNSUP00000010766	ENSNSUG00000008140	Notechis_scutatus
ENSSMRP00000017909	ENSSMRG00000012710	Salvator_merianae
ENSSPUP00000001052	ENSSPUG00000000830	Sphenodon_punctatus
ENSAPLP00000020541	ENSAPLG00000008262	Anas_platyrhynchos_platyrhynchos
ENSABRP00000006859	ENSABRG00000006307	Anser_brachyrhynchus
ENSMGAP00000006394	ENSMGAG00000006326	Meleagris_gallopavo
ENSCJPP00005002847	ENSCJPG00005003135	Coturnix_japonica
ENSGALP00000072073	ENSGALG00000005822	Gallus_gallus
ENSNMEP00000018420	ENSNMEG00000016030	Numida_meleagris
ENSLSDP00000008377	ENSLSDG00000006264	Lonchura_striata_domestica
ENSTGUP00000007668	ENSTGUG00000007434	Taeniopygia_guttata
ENSZALP00000011924	ENSZALG00000010046	Zonotrichia_albicollis
ENSSCAP00000020381	ENSSCAG00000014634	Serinus_canaria
ENSFALP00000010860	ENSFALG00000010396	Ficedula_albicollis
ENSPMJP00000009012	ENSPMJG00000007262	Parus_major
ENSCCEP00000024222	ENSCCEG00000021570	Cyanistes_caeruleus
ENSMVIP00005006233	ENSMVIG00005004757	Manacus_vitellinus
ENSLCOP00000019401	ENSLCOG00000013731	Lepidothrix_coronata
ENSJHYP00000016273	ENSJHYG00000012455	Junco_hyemalis
ENSMUNP00000009564	ENSMUNG00000007553	Melopsittacus_undulatus
ENSCPGP00000014427	ENSCPGG00000010209	Calidris_pygmaea
ENSCPUP00000011587	ENSCPUG00000006830	Calidris_pugnax
ENSAOWP00000001303	ENSAOWG00000000879	Apteryx_owenii
ENSAHAP00000002725	ENSAHAG00000002110	Apteryx_haastii
ENSDNVP00000021448	ENSDNVG00000015013	Dromaius_novaehollandiae
ENSARWP00000014033	ENSARWG00000009714	Apteryx_rowi
ENSNPEP00000012751	ENSNPEG00000009524	Nothoprocta_perdicaria
ENSCPRP00005008248	ENSCPRG00005005896	Crocodylus_porosus
ENSGAGP00000006150	ENSGAGG00000004973	Gopherus_agassizii
ENSCABP00000001268	ENSCABG00000000995	Chelonoidis_abingdonii
ENSCPBP00000039467	ENSCPBG00000027200	Chrysemys_picta_bellii
ENSPSIP00000013308	ENSPSIG00000011876	Pelodiscus_sinensis
ENSHGLP00000023173	ENSHGLG00000016521	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025806	ENSHGLG00100018926	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000013344	ENSFDAG00000001136	Fukomys_damarensis
ENSCLAP00000005931	ENSCLAG00000004205	Chinchilla_lanigera
ENSODEP00000005312	ENSODEG00000004014	Octodon_degus
ENSCAPP00000011022	ENSCAPG00000012159	Cavia_aperea
ENSCPOP00000025733	ENSCPOG00000006949	Cavia_porcellus
ENSSTOP00000031072	ENSSTOG00000020023	Ictidomys_tridecemlineatus
ENSUPAP00010005972	ENSUPAG00010004658	Urocitellus_parryii
ENSSDAP00000008185	ENSSDAG00000007366	Spermophilus_dauricus
ENSMMMP00000002985	ENSMMMG00000002019	Marmota_marmota_marmota
ENSANAP00000037625	ENSANAG00000036022	Aotus_nancymaae
ENSCJAP00000067350	ENSCJAG00000010184	Callithrix_jacchus
ENSPPAP00000020768	ENSPPAG00000033331	Pan_paniscus
ENSPTRP00000023658	ENSPTRG00000013736	Pan_troglodytes
ENSP00000352035	ENSG00000075043	Homo_sapiens
ENSGGOP00000008202	ENSGGOG00000008388	Gorilla_gorilla
ENSPPYP00000012550	ENSPPYG00000011234	Pongo_abelii
ENSCATP00000006823	ENSCATG00000018473	Cercocebus_atys
ENSPANP00000036348	ENSPANG00000024128	Papio_anubis
ENSMFAP00000032088	ENSMFAG00000042590	Macaca_fascicularis
ENSMNEP00000019041	ENSMNEG00000033017	Macaca_nemestrina
ENSPTEP00000004245	ENSPTEG00000004697	Piliocolobus_tephrosceles
ENSSBOP00000005434	ENSSBOG00000019522	Saimiri_boliviensis_boliviensis
ENSCCAP00000020422	ENSCCAG00000027787	Cebus_capucinus_imitator
ENSRBIP00000018292	ENSRBIG00000033123	Rhinopithecus_bieti
ENSRROP00000011992	ENSRROG00000030287	Rhinopithecus_roxellana
ENSCANP00000036816	ENSCANG00000042007	Colobus_angolensis_palliatus
ENSCSAP00000012437	ENSCSAG00000016373	Chlorocebus_sabaeus
ENSMLEP00000029133	ENSMLEG00000038645	Mandrillus_leucophaeus
ENSTSYP00000015431	ENSTSYG00000028027	Carlito_syrichta
ENSMICP00000040787	ENSMICG00000031055	Microcebus_murinus
ENSPCOP00000004953	ENSPCOG00000013133	Propithecus_coquereli
ENSPSMP00000001168	ENSPSMG00000000539	Prolemur_simus
ENSOGAP00000008858	ENSOGAG00000009901	Otolemur_garnettii
ENSPEMP00000001335	ENSPEMG00000000964	Peromyscus_maniculatus_bairdii
ENSMOCP00000011247	ENSMOCG00000011486	Microtus_ochrogaster
ENSCGRP00015022495	ENSCGRG00015016613	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000016933	ENSCGRG00000012316	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001001511	ENSCGRG00001001207	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000017894	ENSMAUG00000016622	Mesocricetus_auratus
MGP_SPRETEiJ_P0058888	MGP_SPRETEiJ_G0025721	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000016347	ENSMSIG00000013491	Mus_spicilegus
ENSMUSP00000122915	ENSMUSG00000016346	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0056669	MGP_CAROLIEiJ_G0024796	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0067682	MGP_PahariEiJ_G0026243	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000040830	ENSRNOG00000011624	Rattus_norvegicus
ENSMUGP00000002175	ENSMUGG00000001397	Meriones_unguiculatus
ENSMUGP00000006443	ENSMUGG00000005241	Meriones_unguiculatus
