FBpp0077144	FBgn0031607	Drosophila_melanogaster
T07F10.3.1	WBGene00011589	Caenorhabditis_elegans_strain_N2
ENSLBEP00000015003	ENSLBEG00000011683	Labrus_bergylta
ENSMMOP00000015866	ENSMMOG00000012107	Mola_mola
ENSCSEP00000010391	ENSCSEG00000006663	Cynoglossus_semilaevis
ENSLCRP00005022965	ENSLCRG00005009265	Larimichthys_crocea
ENSSPAP00000006515	ENSSPAG00000005029	Stegastes_partitus
ENSLCAP00010022147	ENSLCAG00010010427	Lates_calcarifer
ENSMAMP00000001780	ENSMAMG00000001247	Mastacembelus_armatus
ENSATEP00000017438	ENSATEG00000012140	Anabas_testudineus
ENSBSLP00000018747	ENSBSLG00000009762	Betta_splendens
ENSMALP00000024064	ENSMALG00000016778	Monopterus_albus
ENSSDUP00000016076	ENSSDUG00000011734	Seriola_dumerili
ENSSLDP00000015210	ENSSLDG00000012101	Seriola_lalandi_dorsalis
ENSSMAP00000034077	ENSSMAG00000020851	Scophthalmus_maximus
ENSGACP00000001871	ENSGACG00000001443	Gasterosteus_aculeatus
ENSCGOP00000026498	ENSCGOG00000012483	Cottoperca_gobio
ENSAPOP00000024626	ENSAPOG00000007188	Acanthochromis_polyacanthus
ENSAPOP00000008252	ENSAPOG00000010359	Acanthochromis_polyacanthus
ENSCVAP00000015239	ENSCVAG00000018069	Cyprinodon_variegatus
ENSFHEP00000016532	ENSFHEG00000018232	Fundulus_heteroclitus
ENSXMAP00000017401	ENSXMAG00000017361	Xiphophorus_maculatus
ENSGAFP00000007240	ENSGAFG00000004928	Gambusia_affinis
ENSPLAP00000024218	ENSPLAG00000010236	Poecilia_latipinna
ENSPMEP00000014005	ENSPMEG00000016387	Poecilia_mexicana
ENSPFOP00000008087	ENSPFOG00000008100	Poecilia_formosa
ENSPREP00000029302	ENSPREG00000019821	Poecilia_reticulata
ENSKMAP00000001539	ENSKMAG00000001230	Kryptolebias_marmoratus
ENSORLP00020017034	ENSORLG00020000926	Oryzias_latipes_ASM223471v1
ENSORLP00015027680	ENSORLG00015009858	Oryzias_latipes_ASM223469v1
ENSORLP00000013065	ENSORLG00000010428	Oryzias_latipes_ASM223467v1
ENSOMEP00000026189	ENSOMEG00000007873	Oryzias_melastigma
ENSGWIP00000006571	ENSGWIG00000003813	Gouania_willdenowi
ENSPRNP00000009682	ENSPRNG00000005612	Parambassis_ranga
ENSAOCP00000004634	ENSAOCG00000008056	Amphiprion_ocellaris
ENSAPEP00000012440	ENSAPEG00000008868	Amphiprion_percula
ENSAPOP00000024601	ENSAPOG00000007148	Acanthochromis_polyacanthus
ENSACLP00000027228	ENSACLG00000018515	Astatotilapia_calliptera
ENSPNYP00000013364	ENSPNYG00000010130	Pundamilia_nyererei
ENSMZEP00005023690	ENSMZEG00005017722	Maylandia_zebra
ENSHBUP00000001320	ENSHBUG00000002510	Haplochromis_burtoni
ENSONIP00000005938	ENSONIG00000004715	Oreochromis_niloticus
