ENSODEP00000001696	ENSODEG00000001341	Octodon_degus
ENSCAFP00000001197	ENSCAFG00000000834	Canis_lupus_familiaris
ENSSFOP00015001372	ENSSFOG00015000986	Scleropages_formosus
ENSHGLP00000006325	ENSHGLG00000004624	Heterocephalus_glaber_HetGla_female_1.0
ENSLOCP00000011065	ENSLOCG00000009079	Lepisosteus_oculatus
ENSTRUP00000024004	ENSTRUG00000009552	Takifugu_rubripes
ENSAOCP00000002537	ENSAOCG00000001965	Amphiprion_ocellaris
ENSXMAP00000026933	ENSXMAG00000001405	Xiphophorus_maculatus
ENSMEUP00000015298	ENSMEUG00000016739	Notamacropus_eugenii
ENSBMUP00000021871	ENSBMUG00000016492	Bos_mutus
ENSAMXP00005048600	ENSAMXG00005022228	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSFOP00015000972	ENSSFOG00015000734	Scleropages_formosus	ENSSFOT00015001003
ENSPTRP00000035110	ENSPTRG00000020528	Pan_troglodytes
ENSGGOP00000033194	ENSGGOG00000039306	Gorilla_gorilla
ENSELUP00000002358	ENSELUG00000003718	Esox_lucius	ENSELUT00000015840
ENSPTEP00000036519	ENSPTEG00000034310	Piliocolobus_tephrosceles
ENSPMGP00000012910	ENSPMGG00000010642	Periophthalmus_magnuspinnatus
ENSMLUP00000002668	ENSMLUG00000002940	Myotis_lucifugus
ENSCABP00000005688	ENSCABG00000004285	Chelonoidis_abingdonii
ENSFHEP00000028574	ENSFHEG00000012794	Fundulus_heteroclitus
ENSARWP00000003928	ENSARWG00000002905	Apteryx_rowi
ENSCVAP00000001527	ENSCVAG00000002521	Cyprinodon_variegatus
ENSGALP00000055107	ENSGALG00000043167	Gallus_gallus
ENSFDAP00000013051	ENSFDAG00000020369	Fukomys_damarensis
ENSTGUP00000012704	ENSTGUG00000012341	Taeniopygia_guttata
ENSGWIP00000026317	ENSGWIG00000013821	Gouania_willdenowi
ENSOANP00000015483	ENSOANG00000009760	Ornithorhynchus_anatinus
ENSEEEP00000036314	ENSEEEG00000017270	Electrophorus_electricus
ENSP00000297350	ENSG00000164761	Homo_sapiens
ENSATEP00000034991	ENSATEG00000024046	Anabas_testudineus
ENSPSIP00000016293	ENSPSIG00000014527	Pelodiscus_sinensis	ENSPSIT00000016369
ENSMUSP00000078705	ENSMUSG00000063727	Mus_musculus_strain_reference_(CL57BL6)
ENSPRNP00000030942	ENSPRNG00000015447	Parambassis_ranga
ENSBTAP00000009759	ENSBTAG00000007423	Bos_taurus
ENSPFOP00000001725	ENSPFOG00000001835	Poecilia_formosa
ENSPKIP00000001317	ENSPKIG00000019637	Paramormyrops_kingsleyae
ENSONIP00000008892	ENSONIG00000007044	Oreochromis_niloticus
ENSCPOP00000010134	ENSCPOG00000011271	Cavia_porcellus
ENSPMAP00000004305	ENSPMAG00000003954	Petromyzon_marinus
ENSZALP00000017434	ENSZALG00000014082	Zonotrichia_albicollis
ENSKMAP00000025945	ENSKMAG00000019227	Kryptolebias_marmoratus
ENSECRP00000031071	ENSECRG00000021019	Erpetoichthys_calabaricus
ENSGAGP00000027711	ENSGAGG00000020142	Gopherus_agassizii
ENSSDUP00000018570	ENSSDUG00000013573	Seriola_dumerili
ENSCHIP00000029638	ENSCHIG00000024689	Capra_hircus
ENSMICP00000014100	ENSMICG00000015474	Microcebus_murinus
ENSAMXP00005045767	ENSAMXG00005021144	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCVAP00000024711	ENSCVAG00000008984	Cyprinodon_variegatus
ENSCJPP00005005663	ENSCJPG00005005378	Coturnix_japonica
ENSLACP00000023266	ENSLACG00000022549	Latimeria_chalumnae
ENSCHAP00000004441	ENSCHAG00000002964	Clupea_harengus
ENSSPUP00000009562	ENSSPUG00000007425	Sphenodon_punctatus
ENSNSUP00000026025	ENSNSUG00000018713	Notechis_scutatus
ENSONIP00000008890	ENSONIG00000007042	Oreochromis_niloticus
ENSMODP00000005003	ENSMODG00000004064	Monodelphis_domestica
ENSAOCP00000002488	ENSAOCG00000005629	Amphiprion_ocellaris
ENSACLP00000019857	ENSACLG00000013493	Astatotilapia_calliptera
MGP_PahariEiJ_P0041577	MGP_PahariEiJ_G0019799	Mus_pahari_strain_PAHARI_EIJ
ENSDORP00000025042	ENSDORG00000026840	Dipodomys_ordii
ENSPCIP00000014660	ENSPCIG00000011425	Phascolarctos_cinereus
ENSEEEP00000001734	ENSEEEG00000001111	Electrophorus_electricus
ENSCCAP00000037974	ENSCCAG00000036831	Cebus_capucinus_imitator
ENSMZEP00005031382	ENSMZEG00005023392	Maylandia_zebra
ENSPCOP00000030190	ENSPCOG00000027808	Propithecus_coquereli
ENSHHUP00000064657	ENSHHUG00000038184	Hucho_hucho
ENSACLP00000019913	ENSACLG00000013549	Astatotilapia_calliptera
ENSXMAP00000023724	ENSXMAG00000021500	Xiphophorus_maculatus
ENSMZEP00005034225	ENSMZEG00005025584	Maylandia_zebra
ENSAMXP00000044022	ENSAMXG00000020465	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMZEP00005036283	ENSMZEG00005027063	Maylandia_zebra
ENSELUP00000038083	ENSELUG00000017861	Esox_lucius
ENSCPGP00000016688	ENSCPGG00000011725	Calidris_pygmaea
ENSHBUP00000009920	ENSHBUG00000011521	Haplochromis_burtoni
ENSMFAP00000032392	ENSMFAG00000040874	Macaca_fascicularis
ENSCMIP00000025478	ENSCMIG00000011193	Callorhinchus_milii
ENSORLP00020000039	ENSORLG00020022640	Oryzias_latipes_ASM223471v1
ENSAMXP00005048560	ENSAMXG00005022204	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCLAP00000013587	ENSCLAG00000009388	Chinchilla_lanigera
ENSNBRP00000026182	ENSNBRG00000020042	Neolamprologus_brichardi
ENSSHAP00000018745	ENSSHAG00000015911	Sarcophilus_harrisii
ENSPPAP00000014455	ENSPPAG00000030377	Pan_paniscus
ENSHHUP00000090024	ENSHHUG00000051983	Hucho_hucho
ENSLBEP00000030175	ENSLBEG00000022804	Labrus_bergylta
ENSSBOP00000022436	ENSSBOG00000027754	Saimiri_boliviensis_boliviensis
