ENSECAP00000051318	ENSECAG00000028172	Equus_caballus
ENSMLUP00000016414	ENSMLUG00000027219	Myotis_lucifugus
ENSBIXP00005014937	ENSBIXG00005018819	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000042745	ENSBIXG00000026720	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000033936	ENSBMUG00000025292	Bos_mutus
ENSBBBP00000028694	ENSBBBG00000007867	Bison_bison_bison
ENSTTRP00000001007	ENSTTRG00000001071	Tursiops_truncatus
ENSVPAP00000000356	ENSVPAG00000000383	Vicugna_pacos
ENSSSCP00000062006	ENSSSCG00000047137	Sus_scrofa_strain_reference
ENSPVAP00000000331	ENSPVAG00000000359	Pteropus_vampyrus
ENSNVIP00000002929	ENSNVIG00000002339	Neovison_vison
ENSCAFP00000048638	ENSCAFG00000045005	Canis_lupus_familiaris
ENSPTIP00000026131	ENSPTIG00000021653	Panthera_tigris_altaica
ENSPPRP00000014744	ENSPPRG00000007556	Panthera_pardus
ENSFCAP00000046843	ENSFCAG00000041823	Felis_catus
ENSCJAP00000057939	ENSCJAG00000044950	Callithrix_jacchus
ENSANAP00000012441	ENSANAG00000024157	Aotus_nancymaae
ENSP00000421048	ENSG00000214510	Homo_sapiens
ENSGGOP00000019578	ENSGGOG00000025175	Gorilla_gorilla
ENSPTRP00000056075	ENSPTRG00000034142	Pan_troglodytes
ENSPPAP00000007510	ENSPPAG00000026789	Pan_paniscus
ENSPPYP00000017814	ENSPPYG00000015924	Pongo_abelii
ENSNLEP00000012276	ENSNLEG00000010067	Nomascus_leucogenys
ENSRBIP00000021695	ENSRBIG00000034804	Rhinopithecus_bieti
ENSRROP00000037576	ENSRROG00000042203	Rhinopithecus_roxellana
ENSPTEP00000021274	ENSPTEG00000022366	Piliocolobus_tephrosceles
ENSCANP00000025602	ENSCANG00000036244	Colobus_angolensis_palliatus
ENSPANP00000012067	ENSPANG00000016765	Papio_anubis
ENSTGEP00000000071	ENSTGEG00000000096	Theropithecus_gelada
ENSCATP00000018724	ENSCATG00000033181	Cercocebus_atys
ENSCSAP00000008109	ENSCSAG00000011916	Chlorocebus_sabaeus
ENSMMUP00000075491	ENSMMUG00000061341	Macaca_mulatta
ENSMFAP00000004069	ENSMFAG00000001756	Macaca_fascicularis
ENSMNEP00000008196	ENSMNEG00000028624	Macaca_nemestrina
ENSMLEP00000035035	ENSMLEG00000041668	Mandrillus_leucophaeus
ENSTSYP00000010977	ENSTSYG00000011962	Carlito_syrichta
ENSMICP00000048489	ENSMICG00000043271	Microcebus_murinus
ENSPSMP00000035662	ENSPSMG00000024551	Prolemur_simus
ENSPCOP00000013980	ENSPCOG00000018652	Propithecus_coquereli
ENSCGRP00000022459	ENSCGRG00000016273	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015026348	ENSCGRG00015019982	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001025092	ENSCGRG00001022801	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000005840	ENSMAUG00000007928	Mesocricetus_auratus
ENSMOCP00000022126	ENSMOCG00000019263	Microtus_ochrogaster
ENSPEMP00000009420	ENSPEMG00000010732	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0048844	MGP_SPRETEiJ_G0023249	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000005978	ENSMSIG00000005361	Mus_spicilegus
ENSMUSP00000095165	ENSMUSG00000073551	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0046892	MGP_CAROLIEiJ_G0022337	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0039473	MGP_PahariEiJ_G0019067	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000056043	ENSRNOG00000038793	Rattus_norvegicus
ENSNGAP00000017074	ENSNGAG00000017603	Nannospalax_galili
ENSJJAP00000019783	ENSJJAG00000020648	Jaculus_jaculus
ENSSTOP00000025274	ENSSTOG00000032408	Ictidomys_tridecemlineatus
ENSMMMP00000021552	ENSMMMG00000018976	Marmota_marmota_marmota
ENSUPAP00010016380	ENSUPAG00010013067	Urocitellus_parryii
ENSSDAP00000013218	ENSSDAG00000011946	Spermophilus_dauricus
ENSDORP00000020137	ENSDORG00000027988	Dipodomys_ordii
ENSOCUP00000020891	ENSOCUG00000024941	Oryctolagus_cuniculus
ENSPCAP00000007962	ENSPCAG00000008564	Procavia_capensis
