ENSMGAP00000004845	ENSMGAG00000004968	Meleagris_gallopavo
ENSCJPP00005013444	ENSCJPG00005011337	Coturnix_japonica
ENSGALP00000005900	ENSGALG00000003722	Gallus_gallus
ENSNMEP00000021032	ENSNMEG00000018039	Numida_meleagris
ENSAPLP00000013600	ENSAPLG00000013772	Anas_platyrhynchos_platyrhynchos
ENSAPLP00000027640	ENSAPLG00000021990	Anas_platyrhynchos_platyrhynchos
ENSABRP00000019672	ENSABRG00000016860	Anser_brachyrhynchus
ENSMUNP00000007118	ENSMUNG00000005708	Melopsittacus_undulatus
ENSMUNP00000013386	ENSMUNG00000010452	Melopsittacus_undulatus
ENSZALP00000012552	ENSZALG00000010517	Zonotrichia_albicollis
ENSJHYP00000002948	ENSJHYG00000002449	Junco_hyemalis
ENSFALP00000008836	ENSFALG00000008475	Ficedula_albicollis
ENSPMJP00000009666	ENSPMJG00000007711	Parus_major
ENSCCEP00000007139	ENSCCEG00000007551	Cyanistes_caeruleus
ENSTGUP00000000627	ENSTGUG00000000618	Taeniopygia_guttata
ENSLSDP00000000312	ENSLSDG00000000274	Lonchura_striata_domestica
ENSSCAP00000018112	ENSSCAG00000013129	Serinus_canaria
ENSLCOP00000010937	ENSLCOG00000007948	Lepidothrix_coronata
ENSMVIP00005023766	ENSMVIG00005016647	Manacus_vitellinus
ENSCPUP00000001052	ENSCPUG00000000829	Calidris_pugnax
ENSCPGP00000022230	ENSCPGG00000015440	Calidris_pygmaea
ENSAOWP00000015184	ENSAOWG00000010335	Apteryx_owenii
ENSAHAP00000001349	ENSAHAG00000001130	Apteryx_haastii
ENSARWP00000007271	ENSARWG00000005102	Apteryx_rowi
ENSDNVP00000002583	ENSDNVG00000001854	Dromaius_novaehollandiae
ENSNPEP00000006577	ENSNPEG00000004968	Nothoprocta_perdicaria
ENSCPRP00005019080	ENSCPRG00005013345	Crocodylus_porosus
ENSGAGP00000023186	ENSGAGG00000016997	Gopherus_agassizii	ENSGAGT00000026420
ENSCABP00000009940	ENSCABG00000007468	Chelonoidis_abingdonii	ENSCABT00000010896
ENSCPBP00000001911	ENSCPBG00000001551	Chrysemys_picta_bellii
ENSPSIP00000005439	ENSPSIG00000005072	Pelodiscus_sinensis
ENSACAP00000003247	ENSACAG00000003330	Anolis_carolinensis
ENSPVIP00000034285	ENSPVIG00000025044	Pogona_vitticeps
ENSNSUP00000026546	ENSNSUG00000019046	Notechis_scutatus
ENSSMRP00000022794	ENSSMRG00000017679	Salvator_merianae
ENSSPUP00000009060	ENSSPUG00000007060	Sphenodon_punctatus
ENSCHOP00000006534	ENSCHOG00000007378	Choloepus_hoffmanni
ENSDNOP00000001723	ENSDNOG00000002215	Dasypus_novemcinctus
ENSHGLP00000012516	ENSHGLG00000008948	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100009996	ENSHGLG00100007419	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000019022	ENSFDAG00000009417	Fukomys_damarensis
ENSCLAP00000020291	ENSCLAG00000013903	Chinchilla_lanigera
ENSODEP00000013130	ENSODEG00000009719	Octodon_degus
ENSCAPP00000012581	ENSCAPG00000013412	Cavia_aperea
ENSCPOP00000021334	ENSCPOG00000037046	Cavia_porcellus
ENSSDAP00000022601	ENSSDAG00000020539	Spermophilus_dauricus
ENSSDAP00000022611	ENSSDAG00000020553	Spermophilus_dauricus
ENSSTOP00000012762	ENSSTOG00000014243	Ictidomys_tridecemlineatus
ENSUPAP00010021102	ENSUPAG00010016766	Urocitellus_parryii
ENSMMMP00000014774	ENSMMMG00000013157	Marmota_marmota_marmota
ENSCCNP00000021870	ENSCCNG00000021588	Castor_canadensis
ENSDORP00000007094	ENSDORG00000007564	Dipodomys_ordii
ENSCGRP00001020433	ENSCGRG00001019597	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015030855	ENSCGRG00015023244	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000004715	ENSCGRG00000003459	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000011572	ENSMAUG00000012121	Mesocricetus_auratus
ENSMOCP00000005548	ENSMOCG00000005041	Microtus_ochrogaster
ENSPEMP00000026679	ENSPEMG00000022707	Peromyscus_maniculatus_bairdii
ENSMSIP00000038643	ENSMSIG00000032204	Mus_spicilegus
MGP_SPRETEiJ_P0027630	MGP_SPRETEiJ_G0017077	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000011398	ENSMUSG00000011254	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0026270	MGP_CAROLIEiJ_G0016236	Mus_caroli_strain_CAROLI_EIJ
