ENSTGUP00000007522	ENSTGUG00000007306	Taeniopygia_guttata
ENSFALP00000014090	ENSFALG00000013501	Ficedula_albicollis
ENSJHYP00000022311	ENSJHYG00000016820	Junco_hyemalis
ENSMUNP00000004081	ENSMUNG00000003411	Melopsittacus_undulatus
ENSDNVP00000026588	ENSDNVG00000018483	Dromaius_novaehollandiae
ENSNPEP00000017515	ENSNPEG00000013022	Nothoprocta_perdicaria
ENSCCEP00000021959	ENSCCEG00000019874	Cyanistes_caeruleus
ENSPMJP00000023116	ENSPMJG00000017094	Parus_major
ENSSCAP00000003915	ENSSCAG00000003236	Serinus_canaria
ENSZALP00000013606	ENSZALG00000011339	Zonotrichia_albicollis
ENSGALP00000050518	ENSGALG00000040264	Gallus_gallus
ENSMGAP00000001254	ENSMGAG00000001767	Meleagris_gallopavo
ENSCJPP00005020710	ENSCJPG00005016639	Coturnix_japonica
ENSNMEP00000017579	ENSNMEG00000015355	Numida_meleagris
ENSCPUP00000027886	ENSCPUG00000018774	Calidris_pugnax
ENSCPUP00000027884	ENSCPUG00000018773	Calidris_pugnax
ENSCPUP00000027883	ENSCPUG00000018772	Calidris_pugnax
ENSCPGP00000015230	ENSCPGG00000010742	Calidris_pygmaea
ENSLSDP00000007987	ENSLSDG00000005988	Lonchura_striata_domestica
ENSLCOP00000012001	ENSLCOG00000008696	Lepidothrix_coronata
ENSABRP00000001204	ENSABRG00000001253	Anser_brachyrhynchus
ENSAOWP00000015312	ENSAOWG00000010426	Apteryx_owenii
ENSAHAP00000022076	ENSAHAG00000015514	Apteryx_haastii
ENSARWP00000005009	ENSARWG00000003605	Apteryx_rowi
ENSCPRP00005011999	ENSCPRG00005008557	Crocodylus_porosus
ENSCABP00000025222	ENSCABG00000018574	Chelonoidis_abingdonii	ENSCABT00000027647
ENSGAGP00000001851	ENSGAGG00000001475	Gopherus_agassizii	ENSGAGT00000002104
ENSCPBP00000034959	ENSCPBG00000024385	Chrysemys_picta_bellii
ENSPSIP00000019647	ENSPSIG00000017435	Pelodiscus_sinensis
ENSACAP00000006143	ENSACAG00000006295	Anolis_carolinensis
ENSPVIP00000032599	ENSPVIG00000023882	Pogona_vitticeps
ENSNSUP00000017215	ENSNSUG00000012662	Notechis_scutatus
ENSSPUP00000018468	ENSSPUG00000014257	Sphenodon_punctatus
ENSMVIP00005022502	ENSMVIG00005015778	Manacus_vitellinus
ENSVURP00010029366	ENSVURG00010022468	Vombatus_ursinus
ENSPCIP00000050482	ENSPCIG00000032784	Phascolarctos_cinereus
ENSMEUP00000012948	ENSMEUG00000014199	Notamacropus_eugenii
ENSSHAP00000010065	ENSSHAG00000008704	Sarcophilus_harrisii
ENSMODP00000045445	ENSMODG00000046636	Monodelphis_domestica
ENSPVAP00000014177	ENSPVAG00000015040	Pteropus_vampyrus
ENSMLUP00000015856	ENSMLUG00000017388	Myotis_lucifugus
ENSTTRP00000010381	ENSTTRG00000010952	Tursiops_truncatus
ENSSSCP00000017262	ENSSSCG00000016294	Sus_scrofa_strain_reference
ENSPPRP00000017001	ENSPPRG00000009107	Panthera_pardus
ENSFCAP00000041929	ENSFCAG00000042834	Felis_catus
ENSCAFP00020030465	ENSCAFG00020023764	Canis_lupus_dingo
ENSBIXP00005042124	ENSBIXG00005006009	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000022622	ENSBIXG00000025420	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000024036	ENSBTAG00000018058	Bos_taurus
ENSCHIP00000013792	ENSCHIG00000015081	Capra_hircus
ENSECAP00000029786	ENSECAG00000034787	Equus_caballus
ENSPEMP00000000462	ENSPEMG00000000334	Peromyscus_maniculatus_bairdii
ENSMOCP00000002297	ENSMOCG00000001806	Microtus_ochrogaster
ENSCGRP00015014676	ENSCGRG00015011298	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001000888	ENSCGRG00001000683	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000022246	ENSMAUG00000019733	Mesocricetus_auratus
MGP_CAROLIEiJ_P0018903	MGP_CAROLIEiJ_G0014381	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000027476	ENSMUSG00000026258	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000000849	ENSMSIG00000000861	Mus_spicilegus
MGP_SPRETEiJ_P0019916	MGP_SPRETEiJ_G0015183	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0074209	MGP_PahariEiJ_G0027618	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000026326	ENSMUGG00000021932	Meriones_unguiculatus
ENSNGAP00000026469	ENSNGAG00000024106	Nannospalax_galili
ENSCCNP00000014224	ENSCCNG00000014722	Castor_canadensis
