ENSCJPP00005000011	ENSCJPG00005000029	Coturnix_japonica
ENSMGAP00000019838	ENSMGAG00000017501	Meleagris_gallopavo
ENSGALP00000058535	ENSGALG00000036229	Gallus_gallus
ENSNMEP00000000011	ENSNMEG00000000029	Numida_meleagris
ENSMUNP00000000011	ENSMUNG00000000029	Melopsittacus_undulatus
ENSPMJP00000000011	ENSPMJG00000000029	Parus_major	ENSPMJT00000000029
ENSFALP00000015980	ENSFALG00000016257	Ficedula_albicollis	ENSFALT00000016937
ENSTGUP00000018311	ENSTGUG00000018759	Taeniopygia_guttata
ENSLSDP00000000011	ENSLSDG00000000029	Lonchura_striata_domestica
ENSCPRP00005000011	ENSCPRG00005000029	Crocodylus_porosus
ENSPSIP00000020665	ENSPSIG00000019318	Pelodiscus_sinensis
ENSCPBP00000000011	ENSCPBG00000000029	Chrysemys_picta_bellii
ENSACAP00000021692	ENSACAG00000028237	Anolis_carolinensis
ENSSHAP00000022401	ENSSHAG00000020447	Sarcophilus_harrisii
ENSMODP00000026940	ENSMODG00000021584	Monodelphis_domestica
ENSVURP00010032887	ENSVURG00010025088	Vombatus_ursinus
ENSPCIP00000055110	ENSPCIG00000033953	Phascolarctos_cinereus
ENSOANP00000024988	ENSOANG00000019366	Ornithorhynchus_anatinus
ENSCLAP00000000010	ENSCLAG00000000028	Chinchilla_lanigera
ENSCPOP00000014217	ENSCPOG00000017425	Cavia_porcellus
ENSHGLP00100000010	ENSHGLG00100000028	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000000010	ENSHGLG00000000028	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000000010	ENSFDAG00000000028	Fukomys_damarensis
ENSSTOP00000032651	ENSSTOG00000032015	Ictidomys_tridecemlineatus
ENSPPAP00000000010	ENSPPAG00000000028	Pan_paniscus
ENSPTRP00000061398	ENSPTRG00000042639	Pan_troglodytes
ENSP00000354961	ENSG00000198886	Homo_sapiens
ENSGGOP00000024209	ENSGGOG00000025053	Gorilla_gorilla
ENSPPYP00000023448	ENSPPYG00000020967	Pongo_abelii
