ENSCGRP00015015998	ENSCGRG00015012304	Cricetulus_griseus_CriGri-PICR
ENSNMEP00000009237	ENSNMEG00000008953	Numida_meleagris
ENSCAFP00000017191	ENSCAFG00000011551	Canis_lupus_familiaris
ENSUAMP00000035266	ENSUAMG00000026768	Ursus_americanus
ENSPSMP00000030563	ENSPSMG00000021212	Prolemur_simus
ENSMUGP00000029845	ENSMUGG00000024781	Meriones_unguiculatus
ENSMODP00000010837	ENSMODG00000008705	Monodelphis_domestica
ENSMSIP00000036049	ENSMSIG00000030009	Mus_spicilegus
ENSMGAP00000001562	ENSMGAG00000001818	Meleagris_gallopavo
ENSMMUP00000009448	ENSMMUG00000007204	Macaca_mulatta
ENSCPRP00005024630	ENSCPRG00005017112	Crocodylus_porosus
ENSBTAP00000023544	ENSBTAG00000017701	Bos_taurus
ENSPPRP00000026478	ENSPPRG00000017217	Panthera_pardus
ENSPVAP00000002072	ENSPVAG00000002193	Pteropus_vampyrus
ENSNLEP00000010262	ENSNLEG00000008437	Nomascus_leucogenys
ENSCLAP00000008601	ENSCLAG00000006018	Chinchilla_lanigera
ENSECAP00000054006	ENSECAG00000022978	Equus_caballus
ENSGALP00000059573	ENSGALG00000045037	Gallus_gallus
ENSAHAP00000014500	ENSAHAG00000010450	Apteryx_haastii
ENSOGAP00000011018	ENSOGAG00000012315	Otolemur_garnettii
ENSCJPP00005017268	ENSCJPG00005014129	Coturnix_japonica
ENSCJAP00000029102	ENSCJAG00000015785	Callithrix_jacchus
ENSETEP00000006852	ENSETEG00000008426	Echinops_telfairi
ENSJJAP00000024072	ENSJJAG00000023647	Jaculus_jaculus
MGP_SPRETEiJ_P0074600	MGP_SPRETEiJ_G0028934	Mus_spretus_strain_SPRET/EiJ
ENSMUGP00000029869	ENSMUGG00000024806	Meriones_unguiculatus
ENSSMRP00000026286	ENSSMRG00000020306	Salvator_merianae
ENSTBEP00000004678	ENSTBEG00000005439	Tupaia_belangeri
ENSVVUP00000040605	ENSVVUG00000028932	Vulpes_vulpes
ENSPPYP00000019382	ENSPPYG00000017291	Pongo_abelii
ENSANAP00000025551	ENSANAG00000030489	Aotus_nancymaae
ENSRNOP00000075407	ENSRNOG00000051770	Rattus_norvegicus
ENSMLEP00000018809	ENSMLEG00000033609	Mandrillus_leucophaeus
ENSARWP00000026129	ENSARWG00000017745	Apteryx_rowi
ENSDNVP00000014099	ENSDNVG00000009906	Dromaius_novaehollandiae
ENSMNEP00000039822	ENSMNEG00000042837	Macaca_nemestrina
ENSMUNP00000006651	ENSMUNG00000005334	Melopsittacus_undulatus
ENSUPAP00010027167	ENSUPAG00010021467	Urocitellus_parryii
ENSCGRP00001001139	ENSCGRG00001000879	Cricetulus_griseus_CHOK1GS_HDv1
ENSP00000310149	ENSG00000073067	Homo_sapiens
ENSBIXP00005037330	ENSBIXG00005019151	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPCAP00000003861	ENSPCAG00000004087	Procavia_capensis
ENSCAFP00020026160	ENSCAFG00020020527	Canis_lupus_dingo
ENSOANP00000016086	ENSOANG00000010149	Ornithorhynchus_anatinus
ENSDORP00000001960	ENSDORG00000002093	Dipodomys_ordii	ENSDORT00000002093
ENSNGAP00000018656	ENSNGAG00000018719	Nannospalax_galili
ENSRROP00000029658	ENSRROG00000038620	Rhinopithecus_roxellana
ENSCAPP00000011687	ENSCAPG00000012706	Cavia_aperea
ENSCPGP00000023692	ENSCPGG00000016380	Calidris_pygmaea
ENSPTRP00000043948	ENSPTRG00000022861	Pan_troglodytes
ENSMUSP00000031521	ENSMUSG00000029541	Mus_musculus_strain_reference_(CL57BL6)
ENSMICP00000034934	ENSMICG00000002095	Microcebus_murinus
ENSCPOP00000005443	ENSCPOG00000006029	Cavia_porcellus
ENSBMUP00000010824	ENSBMUG00000008349	Bos_mutus
ENSCATP00000039567	ENSCATG00000042390	Cercocebus_atys
ENSGGOP00000012371	ENSGGOG00000012679	Gorilla_gorilla
ENSTTRP00000010906	ENSTTRG00000011495	Tursiops_truncatus
ENSUMAP00000008255	ENSUMAG00000006308	Ursus_maritimus
ENSSBOP00000004837	ENSSBOG00000019090	Saimiri_boliviensis_boliviensis
ENSCSAP00000013579	ENSCSAG00000017552	Chlorocebus_sabaeus
ENSPPAP00000030482	ENSPPAG00000038223	Pan_paniscus
ENSPEMP00000027596	ENSPEMG00000023364	Peromyscus_maniculatus_bairdii
MGP_CAROLIEiJ_P0071784	MGP_CAROLIEiJ_G0027930	Mus_caroli_strain_CAROLI_EIJ
ENSEEUP00000003332	ENSEEUG00000003650	Erinaceus_europaeus
ENSCPUP00000006710	ENSCPUG00000004861	Calidris_pugnax
ENSPTEP00000043517	ENSPTEG00000039625	Piliocolobus_tephrosceles
ENSMFAP00000018602	ENSMFAG00000032364	Macaca_fascicularis
ENSRBIP00000021893	ENSRBIG00000034894	Rhinopithecus_bieti
ENSNSUP00000024649	ENSNSUG00000017804	Notechis_scutatus
ENSCGRP00000008663	ENSCGRG00000006325	Cricetulus_griseus_CriGri_1.0
ENSPCIP00000002292	ENSPCIG00000001892	Phascolarctos_cinereus
ENSCHIP00000002829	ENSCHIG00000006601	Capra_hircus
ENSHGLP00000014977	ENSHGLG00000010718	Heterocephalus_glaber_HetGla_female_1.0
ENSBIXP00000008092	ENSBIXG00000013970	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSDAP00000018132	ENSSDAG00000016571	Spermophilus_dauricus
ENSHGLP00100000339	ENSHGLG00100000290	Heterocephalus_glaber_HetGla_1.0
ENSMOCP00000014570	ENSMOCG00000014037	Microtus_ochrogaster
ENSPANP00000017264	ENSPANG00000015860	Papio_anubis
ENSAPLP00000021749	ENSAPLG00000011873	Anas_platyrhynchos_platyrhynchos
ENSPCOP00000020161	ENSPCOG00000022039	Propithecus_coquereli
ENSMPUP00000017783	ENSMPUG00000017893	Mustela_putorius_furo
ENSVURP00010025348	ENSVURG00010019419	Vombatus_ursinus
ENSFDAP00000011940	ENSFDAG00000019376	Fukomys_damarensis
ENSSSCP00000008062	ENSSSCG00000007549	Sus_scrofa_strain_reference
ENSTGEP00000003537	ENSTGEG00000002995	Theropithecus_gelada
ENSOPRP00000001015	ENSOPRG00000001105	Ochotona_princeps
ENSMEUP00000003150	ENSMEUG00000003450	Notamacropus_eugenii
ENSABRP00000007034	ENSABRG00000006475	Anser_brachyrhynchus
ENSOARP00000006189	ENSOARG00000005771	Ovis_aries
ENSNPEP00000002101	ENSNPEG00000001614	Nothoprocta_perdicaria
ENSCCAP00000030201	ENSCCAG00000033139	Cebus_capucinus_imitator
ENSACAP00000004987	ENSACAG00000005054	Anolis_carolinensis
ENSCCNP00000002474	ENSCCNG00000002713	Castor_canadensis	ENSCCNT00000003306
ENSCANP00000002876	ENSCANG00000010563	Colobus_angolensis_palliatus
ENSEASP00005030001	ENSEASG00005020404	Equus_asinus_asinus
ENSAOWP00000026149	ENSAOWG00000017639	Apteryx_owenii
ENSODEP00000013416	ENSODEG00000009919	Octodon_degus
ENSFCAP00000010601	ENSFCAG00000011410	Felis_catus
ENSAMEP00000016263	ENSAMEG00000015367	Ailuropoda_melanoleuca
ENSNVIP00000004377	ENSNVIG00000003526	Neovison_vison
ENSPVIP00000018557	ENSPVIG00000014169	Pogona_vitticeps
ENSMMMP00000010744	ENSMMMG00000009569	Marmota_marmota_marmota
ENSTSYP00000017592	ENSTSYG00000030449	Carlito_syrichta
ENSSTOP00000002682	ENSSTOG00000003002	Ictidomys_tridecemlineatus
ENSMAUP00000024680	ENSMAUG00000021456	Mesocricetus_auratus
MGP_PahariEiJ_P0059997	MGP_PahariEiJ_G0024502	Mus_pahari_strain_PAHARI_EIJ
ENSLAFP00000005783	ENSLAFG00000006885	Loxodonta_africana
ENSVURP00010022625	ENSVURG00010017340	Vombatus_ursinus
