ENSEBUP00000007192	ENSEBUG00000004713	Eptatretus_burgeri	ENSEBUT00000007666
ENSPMAP00000007453	ENSPMAG00000006759	Petromyzon_marinus	ENSPMAT00000007487
ENSGAGP00000008819	ENSGAGG00000006982	Gopherus_agassizii
ENSCABP00000023533	ENSCABG00000017344	Chelonoidis_abingdonii
ENSCPBP00000036428	ENSCPBG00000025304	Chrysemys_picta_bellii
ENSPSIP00000012063	ENSPSIG00000010871	Pelodiscus_sinensis
ENSCPRP00005007980	ENSCPRG00005005647	Crocodylus_porosus
ENSCCEP00000009528	ENSCCEG00000009652	Cyanistes_caeruleus
ENSPMJP00000011820	ENSPMJG00000009121	Parus_major
ENSFALP00000004952	ENSFALG00000004755	Ficedula_albicollis
ENSTGUP00000001106	ENSTGUG00000001076	Taeniopygia_guttata
ENSLSDP00000016231	ENSLSDG00000011698	Lonchura_striata_domestica
ENSSCAP00000000290	ENSSCAG00000000265	Serinus_canaria
ENSZALP00000013200	ENSZALG00000011015	Zonotrichia_albicollis
ENSLCOP00000007097	ENSLCOG00000005230	Lepidothrix_coronata
ENSMVIP00005028162	ENSMVIG00005019619	Manacus_vitellinus
ENSCPUP00000007141	ENSCPUG00000005150	Calidris_pugnax	ENSCPUT00000008590
ENSCPGP00000019735	ENSCPGG00000013820	Calidris_pygmaea	ENSCPGT00000021604
ENSMUNP00000017106	ENSMUNG00000013151	Melopsittacus_undulatus
ENSGALP00000067888	ENSGALG00000015113	Gallus_gallus
ENSCJPP00005008667	ENSCJPG00005007729	Coturnix_japonica
ENSNMEP00000012688	ENSNMEG00000011703	Numida_meleagris
ENSABRP00000001879	ENSABRG00000001909	Anser_brachyrhynchus
ENSAPLP00000008935	ENSAPLG00000009255	Anas_platyrhynchos_platyrhynchos
ENSARWP00000012691	ENSARWG00000008784	Apteryx_rowi
ENSAOWP00000003653	ENSAOWG00000002583	Apteryx_owenii
ENSDNVP00000005667	ENSDNVG00000004073	Dromaius_novaehollandiae
ENSNPEP00000006211	ENSNPEG00000004683	Nothoprocta_perdicaria
ENSACAP00000018554	ENSACAG00000027513	Anolis_carolinensis
ENSPVIP00000026203	ENSPVIG00000019566	Pogona_vitticeps
ENSNSUP00000024711	ENSNSUG00000017852	Notechis_scutatus
ENSSMRP00000020654	ENSSMRG00000016066	Salvator_merianae
ENSPCIP00000033296	ENSPCIG00000024714	Phascolarctos_cinereus
ENSVURP00010009343	ENSVURG00010007243	Vombatus_ursinus
ENSSHAP00000005810	ENSSHAG00000005070	Sarcophilus_harrisii
