ENSCJAP00000042043	ENSCJAG00000034315	Callithrix_jacchus
ENSANAP00000030925	ENSANAG00000033210	Aotus_nancymaae
ENSPSMP00000025853	ENSPSMG00000018133	Prolemur_simus
ENSUPAP00010026050	ENSUPAG00010020595	Urocitellus_parryii
ENSSDAP00000024911	ENSSDAG00000022665	Spermophilus_dauricus
ENSMMMP00000010503	ENSMMMG00000009348	Marmota_marmota_marmota
ENSCGRP00015038075	ENSCGRG00015028468	Cricetulus_griseus_CriGri-PICR
ENSAMEP00000009942	ENSAMEG00000009472	Ailuropoda_melanoleuca	ENSAMET00000010378
ENSCAFP00000064080	ENSCAFG00000023691	Canis_lupus_familiaris
ENSNVIP00000021020	ENSNVIG00000016475	Neovison_vison
ENSFCAP00000028128	ENSFCAG00000033007	Felis_catus
