ENSCINP00000012995	ENSCING00000006297	Ciona_intestinalis
ENSCSAVP00000012173	ENSCSAVG00000007169	Ciona_savignyi
ENSEBUP00000018448	ENSEBUG00000011519	Eptatretus_burgeri	ENSEBUT00000019024
ENSPMAP00000004322	ENSPMAG00000003970	Petromyzon_marinus	ENSPMAT00000004339
ENSPMJP00000006538	ENSPMJG00000005476	Parus_major
ENSCCEP00000012369	ENSCCEG00000011958	Cyanistes_caeruleus
ENSSCAP00000006928	ENSSCAG00000005381	Serinus_canaria
ENSTGUP00000017827	ENSTGUG00000017546	Taeniopygia_guttata
ENSLSDP00000016526	ENSLSDG00000011902	Lonchura_striata_domestica
ENSLCOP00000007109	ENSLCOG00000005240	Lepidothrix_coronata	ENSLCOT00000007581
ENSMVIP00005028188	ENSMVIG00005019638	Manacus_vitellinus	ENSMVIT00005031694
ENSCPGP00000016123	ENSCPGG00000011357	Calidris_pygmaea	ENSCPGT00000017641
ENSCPUP00000006693	ENSCPUG00000004850	Calidris_pugnax
ENSMUNP00000003137	ENSMUNG00000002699	Melopsittacus_undulatus
ENSZALP00000007059	ENSZALG00000006324	Zonotrichia_albicollis
ENSFALP00000001947	ENSFALG00000001871	Ficedula_albicollis
ENSAHAP00000010384	ENSAHAG00000007521	Apteryx_haastii
ENSARWP00000025187	ENSARWG00000017130	Apteryx_rowi
ENSAOWP00000020862	ENSAOWG00000014115	Apteryx_owenii
ENSDNVP00000020091	ENSDNVG00000014052	Dromaius_novaehollandiae
ENSABRP00000015663	ENSABRG00000013735	Anser_brachyrhynchus	ENSABRT00000022295
ENSAPLP00000031314	ENSAPLG00000025560	Anas_platyrhynchos_platyrhynchos
ENSNMEP00000016153	ENSNMEG00000014291	Numida_meleagris
ENSGALP00000003621	ENSGALG00000002308	Gallus_gallus
ENSCJPP00005006297	ENSCJPG00005005910	Coturnix_japonica
ENSNPEP00000012305	ENSNPEG00000009205	Nothoprocta_perdicaria
ENSCPRP00005022239	ENSCPRG00005015514	Crocodylus_porosus
ENSGAGP00000018296	ENSGAGG00000013538	Gopherus_agassizii
ENSCABP00000021121	ENSCABG00000015560	Chelonoidis_abingdonii
ENSCPBP00000002366	ENSCPBG00000001906	Chrysemys_picta_bellii
ENSPSIP00000019915	ENSPSIG00000017640	Pelodiscus_sinensis
ENSPVIP00000014231	ENSPVIG00000010996	Pogona_vitticeps
ENSACAP00000007984	ENSACAG00000008166	Anolis_carolinensis
ENSSMRP00000003538	ENSSMRG00000002982	Salvator_merianae
ENSNSUP00000018174	ENSNSUG00000013304	Notechis_scutatus
ENSSPUP00000018808	ENSSPUG00000014508	Sphenodon_punctatus
ENSSHAP00000001907	ENSSHAG00000001698	Sarcophilus_harrisii
ENSMODP00000057541	ENSMODG00000013618	Monodelphis_domestica
ENSPCIP00000038859	ENSPCIG00000028578	Phascolarctos_cinereus
ENSVURP00010013691	ENSVURG00010010528	Vombatus_ursinus
ENSTBEP00000003508	ENSTBEG00000004061	Tupaia_belangeri
ENSDORP00000006861	ENSDORG00000007316	Dipodomys_ordii
ENSMMUP00000045017	ENSMMUG00000008738	Macaca_mulatta
MGP_SPRETEiJ_P0048619	MGP_SPRETEiJ_G0023173	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000003609	ENSMSIG00000003330	Mus_spicilegus
ENSMUSP00000041650	ENSMUSG00000042705	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0046690	MGP_CAROLIEiJ_G0022261	Mus_caroli_strain_CAROLI_EIJ
