ENSIPUP00000014179	ENSIPUG00000009696	Ictalurus_punctatus
ENSSLDP00000003755	ENSSLDG00000002975	Seriola_lalandi_dorsalis
ENSTSYP00000020977	ENSTSYG00000030615	Carlito_syrichta
ENSCAFP00020025767	ENSCAFG00020020259	Canis_lupus_dingo
ENSCAFP00000055696	ENSCAFG00000041853	Canis_lupus_familiaris
ENSCAFP00020033029	ENSCAFG00020025654	Canis_lupus_dingo
ENSCAFP00000058366	ENSCAFG00000049378	Canis_lupus_familiaris
ENSBIXP00005027808	ENSBIXG00005030050	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000022553	ENSBIXG00000006603	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000013237	ENSBMUG00000010124	Bos_mutus
ENSBBBP00000014061	ENSBBBG00000021772	Bison_bison_bison
ENSCCNP00000023424	ENSCCNG00000023002	Castor_canadensis
ENSMSIP00000029228	ENSMSIG00000024543	Mus_spicilegus
ENSCLAP00000025786	ENSCLAG00000017912	Chinchilla_lanigera
ENSPSMP00000036813	ENSPSMG00000025326	Prolemur_simus
ENSUAMP00000021836	ENSUAMG00000017176	Ursus_americanus
ENSUMAP00000016783	ENSUMAG00000012330	Ursus_maritimus
ENSVVUP00000003295	ENSVVUG00000002549	Vulpes_vulpes
ENSNVIP00000018998	ENSNVIG00000014895	Neovison_vison
ENSPPRP00000026807	ENSPPRG00000017780	Panthera_pardus
ENSTGEP00000019324	ENSTGEG00000015554	Theropithecus_gelada
ENSANAP00000010523	ENSANAG00000023263	Aotus_nancymaae
ENSCGRP00015030780	ENSCGRG00015023180	Cricetulus_griseus_CriGri-PICR
ENSSMRP00000003004	ENSSMRG00000002550	Salvator_merianae
