ENSJHYP00000012950	ENSJHYG00000010049	Junco_hyemalis
ENSMFAP00000007026	ENSMFAG00000034147	Macaca_fascicularis
ENSMZEP00005000506	ENSMZEG00005000470	Maylandia_zebra
ENSEBUP00000020332	ENSEBUG00000012613	Eptatretus_burgeri
ENSPMJP00000003966	ENSPMJG00000003437	Parus_major
ENSHBUP00000028096	ENSHBUG00000011685	Haplochromis_burtoni
ENSMMOP00000014692	ENSMMOG00000011233	Mola_mola
ENSRNOP00000068737	ENSRNOG00000059443	Rattus_norvegicus
ENSDARP00000014151	ENSDARG00000014692	Danio_rerio
ENSHCOP00000008969	ENSHCOG00000011311	Hippocampus_comes
ENSDCDP00000055302	ENSDCDG00000032748	Denticeps_clupeoides
ENSCGRP00015005841	ENSCGRG00015004566	Cricetulus_griseus_CriGri-PICR
ENSODEP00000002244	ENSODEG00000001750	Octodon_degus
ENSSTOP00000000566	ENSSTOG00000000623	Ictidomys_tridecemlineatus
ENSORLP00000007964	ENSORLG00000006337	Oryzias_latipes_ASM223467v1
ENSUMAP00000030029	ENSUMAG00000021715	Ursus_maritimus
ENSCSEP00000011310	ENSCSEG00000007253	Cynoglossus_semilaevis
ENSELUP00000038065	ENSELUG00000017844	Esox_lucius
ENSPMEP00000005744	ENSPMEG00000007146	Poecilia_mexicana	ENSPMET00000006998
ENSGWIP00000033896	ENSGWIG00000017516	Gouania_willdenowi
ENSMOCP00000002168	ENSMOCG00000001703	Microtus_ochrogaster
ENSCCEP00000012851	ENSCCEG00000012348	Cyanistes_caeruleus
ENSSMRP00000012254	ENSSMRG00000009579	Salvator_merianae
MGP_PahariEiJ_P0027462	MGP_PahariEiJ_G0016074	Mus_pahari_strain_PAHARI_EIJ
ENSNMEP00000005053	ENSNMEG00000005342	Numida_meleagris
ENSAPOP00000015139	ENSAPOG00000018103	Acanthochromis_polyacanthus
ENSBMUP00000010313	ENSBMUG00000007953	Bos_mutus
ENSOANP00000014555	ENSOANG00000021071	Ornithorhynchus_anatinus
ENSTTRP00000008201	ENSTTRG00000008654	Tursiops_truncatus
ENSETEP00000004633	ENSETEG00000005697	Echinops_telfairi
ENSAMXP00000019931	ENSAMXG00000019355	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCHAP00000034721	ENSCHAG00000016510	Clupea_harengus
ENSSDUP00000007147	ENSSDUG00000005265	Seriola_dumerili
ENSPRNP00000003043	ENSPRNG00000001880	Parambassis_ranga
ENSMLEP00000032517	ENSMLEG00000040466	Mandrillus_leucophaeus
ENSACLP00000035842	ENSACLG00000024264	Astatotilapia_calliptera
ENSXCOP00000026743	ENSXCOG00000019974	Xiphophorus_couchianus	ENSXCOT00000027070
ENSMICP00000009594	ENSMICG00000010544	Microcebus_murinus
ENSTSYP00000006041	ENSTSYG00000006612	Carlito_syrichta
ENSLOCP00000015558	ENSLOCG00000012640	Lepisosteus_oculatus
ENSBBBP00000025163	ENSBBBG00000020347	Bison_bison_bison
ENSPEMP00000022575	ENSPEMG00000019901	Peromyscus_maniculatus_bairdii
ENSMODP00000004232	ENSMODG00000003459	Monodelphis_domestica
ENSPLAP00000023574	ENSPLAG00000008990	Poecilia_latipinna	ENSPLAT00000005685
ENSCSAP00000013297	ENSCSAG00000017262	Chlorocebus_sabaeus
ENSEEUP00000003202	ENSEEUG00000003500	Erinaceus_europaeus
C16A3.4.2	WBGene00015809	Caenorhabditis_elegans_strain_N2	C16A3.4.2
ENSBIXP00000011169	ENSBIXG00000016505	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCGOP00000050484	ENSCGOG00000022410	Cottoperca_gobio
ENSATEP00000020476	ENSATEG00000014287	Anabas_testudineus
ENSPCOP00000016950	ENSPCOG00000020267	Propithecus_coquereli
ENSCGRP00001027730	ENSCGRG00001024661	Cricetulus_griseus_CHOK1GS_HDv1
ENSRROP00000018223	ENSRROG00000033175	Rhinopithecus_roxellana
ENSNSUP00000011887	ENSNSUG00000008946	Notechis_scutatus
ENSPREP00000030449	ENSPREG00000020611	Poecilia_reticulata	ENSPRET00000030793
ENSCAFP00020025586	ENSCAFG00020020158	Canis_lupus_dingo
ENSIPUP00000011972	ENSIPUG00000008147	Ictalurus_punctatus
ENSGAFP00000027480	ENSGAFG00000018571	Gambusia_affinis	ENSGAFT00000027763
ENSTNIP00000003706	ENSTNIG00000000052	Tetraodon_nigroviridis
MGP_CAROLIEiJ_P0037967	MGP_CAROLIEiJ_G0019698	Mus_caroli_strain_CAROLI_EIJ
ENSCSAVP00000008688	ENSCSAVG00000005158	Ciona_savignyi
ENSMOCP00000014684	ENSMOCG00000014111	Microtus_ochrogaster
ENSGALP00000049965	ENSGALG00000037171	Gallus_gallus
ENSPSMP00000022272	ENSPSMG00000015735	Prolemur_simus
ENSLSDP00000007905	ENSLSDG00000005940	Lonchura_striata_domestica
ENSGACP00000023789	ENSGACG00000018006	Gasterosteus_aculeatus
ENSPVAP00000005835	ENSPVAG00000006171	Pteropus_vampyrus
ENSLCAP00010001880	ENSLCAG00010001046	Lates_calcarifer
ENSOPRP00000007139	ENSOPRG00000007806	Ochotona_princeps
ENSMEUP00000004007	ENSMEUG00000004399	Notamacropus_eugenii
ENSBSLP00000050668	ENSBSLG00000024085	Betta_splendens
ENSCJAP00000022146	ENSCJAG00000012047	Callithrix_jacchus
ENSPCAP00000002352	ENSPCAG00000002518	Procavia_capensis
ENSSHAP00000004925	ENSSHAG00000004315	Sarcophilus_harrisii
ENSSMAP00000008020	ENSSMAG00000004950	Scophthalmus_maximus
ENSAHAP00000007228	ENSAHAG00000005436	Apteryx_haastii
ENSLCOP00000006044	ENSLCOG00000004480	Lepidothrix_coronata
ENSNVIP00000001602	ENSNVIG00000001307	Neovison_vison
ENSLCRP00005020376	ENSLCRG00005008318	Larimichthys_crocea
ENSVPAP00000004453	ENSVPAG00000004801	Vicugna_pacos
ENSSBOP00000019972	ENSSBOG00000026590	Saimiri_boliviensis_boliviensis
ENSACIP00000014053	ENSACIG00000010939	Amphilophus_citrinellus
ENSMMMP00000011794	ENSMMMG00000010567	Marmota_marmota_marmota
ENSTGUP00000007605	ENSTGUG00000007377	Taeniopygia_guttata
ENSTNIP00000010822	ENSTNIG00000008000	Tetraodon_nigroviridis
ENSCANP00000022078	ENSCANG00000034487	Colobus_angolensis_palliatus
ENSOGAP00000013289	ENSOGAG00000014834	Otolemur_garnettii
ENSPCIP00000033800	ENSPCIG00000025058	Phascolarctos_cinereus
ENSNPEP00000015636	ENSNPEG00000011667	Nothoprocta_perdicaria
ENSPVIP00000025780	ENSPVIG00000019289	Pogona_vitticeps
ENSFDAP00000001831	ENSFDAG00000011699	Fukomys_damarensis
ENSCCAP00000035131	ENSCCAG00000035492	Cebus_capucinus_imitator
ENSNGAP00000010574	ENSNGAG00000012958	Nannospalax_galili
ENSUAMP00000031521	ENSUAMG00000024162	Ursus_americanus
ENSSPAP00000005102	ENSSPAG00000003954	Stegastes_partitus
ENSMSIP00000025005	ENSMSIG00000021146	Mus_spicilegus
ENSCPOP00000002067	ENSCPOG00000002276	Cavia_porcellus
ENSCGRP00000014540	ENSCGRG00000010522	Cricetulus_griseus_CriGri_1.0
ENSSPUP00000017339	ENSSPUG00000013414	Sphenodon_punctatus
ENSOCUP00000015043	ENSOCUG00000017508	Oryctolagus_cuniculus
ENSMUNP00000001647	ENSMUNG00000001415	Melopsittacus_undulatus
ENSONIP00000015631	ENSONIG00000012409	Oreochromis_niloticus
ENSCCNP00000022412	ENSCCNG00000022055	Castor_canadensis
ENSPMGP00000011183	ENSPMGG00000009276	Periophthalmus_magnuspinnatus
ENSPKIP00000024946	ENSPKIG00000008000	Paramormyrops_kingsleyae	ENSPKIT00000005668
ENSCMIP00000027957	ENSCMIG00000012155	Callorhinchus_milii
ENSPTEP00000023007	ENSPTEG00000023831	Piliocolobus_tephrosceles
MGP_SPRETEiJ_P0039737	MGP_SPRETEiJ_G0020592	Mus_spretus_strain_SPRET/EiJ
ENSLACP00000013571	ENSLACG00000011949	Latimeria_chalumnae
ENSSLDP00000001932	ENSSLDG00000001508	Seriola_lalandi_dorsalis
ENSABRP00000005990	ENSABRG00000005569	Anser_brachyrhynchus
ENSNBRP00000021287	ENSNBRG00000016286	Neolamprologus_brichardi
ENSMLUP00000006473	ENSMLUG00000007088	Myotis_lucifugus
FBpp0306150	FBgn0030878	Drosophila_melanogaster	FBtr0334034
ENSAMXP00005021088	ENSAMXG00005010950	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSFALP00000007830	ENSFALG00000007501	Ficedula_albicollis
ENSMNEP00000027090	ENSMNEG00000036952	Macaca_nemestrina
ENSXETP00000021356	ENSXETG00000006553	Xenopus_tropicalis
ENSCHIP00000003781	ENSCHIG00000007951	Capra_hircus
ENSECRP00000006253	ENSECRG00000004166	Erpetoichthys_calabaricus
ENSMPUP00000011020	ENSMPUG00000011110	Mustela_putorius_furo
ENSBIXP00005027644	ENSBIXG00005030343	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPNYP00000021175	ENSPNYG00000016004	Pundamilia_nyererei
ENSSFOP00015031980	ENSSFOG00015020484	Scleropages_formosus	ENSSFOT00015032337
ENSVURP00010027566	ENSVURG00010021097	Vombatus_ursinus
ENSKMAP00000000895	ENSKMAG00000000706	Kryptolebias_marmoratus	ENSKMAT00000000926
ENSMUSP00000059678	ENSMUSG00000052253	Mus_musculus_strain_reference_(CL57BL6)
ENSMALP00000016348	ENSMALG00000011465	Monopterus_albus
ENSMVIP00005016076	ENSMVIG00005011557	Manacus_vitellinus
ENSORLP00015018422	ENSORLG00015019466	Oryzias_latipes_ASM223469v1
ENSJJAP00000001070	ENSJJAG00000000941	Jaculus_jaculus
ENSGGOP00000018732	ENSGGOG00000009831	Gorilla_gorilla
ENSUPAP00010003902	ENSUPAG00010003200	Urocitellus_parryii
ENSCVAP00000008599	ENSCVAG00000010440	Cyprinodon_variegatus	ENSCVAT00000001348
ENSCLAP00000016747	ENSCLAG00000011494	Chinchilla_lanigera
ENSP00000310042	ENSG00000173545	Homo_sapiens
ENSSDUP00000012089	ENSSDUG00000008804	Seriola_dumerili
ENSODEP00000005857	ENSODEG00000004409	Octodon_degus
ENSVVUP00000042626	ENSVVUG00000030273	Vulpes_vulpes
ENSFCAP00000015830	ENSFCAG00000018947	Felis_catus
ENSAMEP00000016218	ENSAMEG00000015369	Ailuropoda_melanoleuca
ENSCAPP00000006495	ENSCAPG00000008661	Cavia_aperea
ENSSCAP00000005266	ENSSCAG00000004227	Serinus_canaria
ENSEEEP00000038081	ENSEEEG00000018087	Electrophorus_electricus
YLR387C_mRNA	YLR387C	Saccharomyces_cerevisiae_strain_S288C
ENSPPRP00000015945	ENSPPRG00000008393	Panthera_pardus
ENSSDAP00000018306	ENSSDAG00000016730	Spermophilus_dauricus
ENSMMUP00000063307	ENSMMUG00000055492	Macaca_mulatta
ENSGAGP00000005580	ENSGAGG00000004519	Gopherus_agassizii
ENSLAFP00000018842	ENSLAFG00000031794	Loxodonta_africana
ENSPMAP00000000002	ENSPMAG00000000002	Petromyzon_marinus
ENSCPBP00000029948	ENSCPBG00000021097	Chrysemys_picta_bellii
ENSCPUP00000023178	ENSCPUG00000015733	Calidris_pugnax
ENSTBEP00000005837	ENSTBEG00000006779	Tupaia_belangeri
ENSHHUP00000052226	ENSHHUG00000031421	Hucho_hucho
ENSPPYP00000024261	ENSPPYG00000029803	Pongo_abelii
ENSMALP00000016359	ENSMALG00000011476	Monopterus_albus
ENSLBEP00000026297	ENSLBEG00000020022	Labrus_bergylta
ENSZALP00000023376	ENSZALG00000018090	Zonotrichia_albicollis
ENSAPLP00000006602	ENSAPLG00000006976	Anas_platyrhynchos_platyrhynchos
ENSEASP00005010203	ENSEASG00005007253	Equus_asinus_asinus
ENSANAP00000007820	ENSANAG00000021969	Aotus_nancymaae
ENSAPEP00000004389	ENSAPEG00000003157	Amphiprion_percula
ENSECAP00000017938	ENSECAG00000020350	Equus_caballus
ENSMUGP00000024533	ENSMUGG00000020506	Meriones_unguiculatus
ENSCABP00000006046	ENSCABG00000004555	Chelonoidis_abingdonii
ENSODEP00000002033	ENSODEG00000001594	Octodon_degus
ENSTRUP00000003712	ENSTRUG00000001605	Takifugu_rubripes
ENSPFOP00000001343	ENSPFOG00000001399	Poecilia_formosa	ENSPFOT00000001346
ENSPANP00000001029	ENSPANG00000009355	Papio_anubis
ENSNLEP00000014439	ENSNLEG00000011876	Nomascus_leucogenys
ENSAOCP00000002536	ENSAOCG00000005659	Amphiprion_ocellaris
ENSPNAP00000035309	ENSPNAG00000025225	Pygocentrus_nattereri
ENSDNOP00000025609	ENSDNOG00000035990	Dasypus_novemcinctus
ENSORLP00020019235	ENSORLG00020020228	Oryzias_latipes_ASM223471v1
ENSAOWP00000000911	ENSAOWG00000000674	Apteryx_owenii
ENSRNOP00000073087	ENSRNOG00000010589	Rattus_norvegicus
ENSDNVP00000000659	ENSDNVG00000000511	Dromaius_novaehollandiae
YBR267W_mRNA	YBR267W	Saccharomyces_cerevisiae_strain_S288C
ENSXMAP00000006844	ENSXMAG00000006827	Xiphophorus_maculatus	ENSXMAT00000006852
ENSHGLP00000010890	ENSHGLG00000007811	Heterocephalus_glaber_HetGla_female_1.0
ENSVPAP00000001185	ENSVPAG00000001286	Vicugna_pacos
ENSCPRP00005023432	ENSCPRG00005016273	Crocodylus_porosus
ENSCHOP00000009071	ENSCHOG00000010240	Choloepus_hoffmanni
ENSPTRP00000028727	ENSPTRG00000016743	Pan_troglodytes
ENSPSIP00000019245	ENSPSIG00000017092	Pelodiscus_sinensis
ENSACAP00000000283	ENSACAG00000000306	Anolis_carolinensis
ENSHGLP00100019205	ENSHGLG00100014160	Heterocephalus_glaber_HetGla_1.0
ENSARWP00000004793	ENSARWG00000003470	Apteryx_rowi
