ENSSTOP00000019015	ENSSTOG00000023680	Ictidomys_tridecemlineatus
ENSUPAP00010010819	ENSUPAG00010006302	Urocitellus_parryii
ENSSDAP00000025534	ENSSDAG00000023197	Spermophilus_dauricus
ENSMMMP00000026270	ENSMMMG00000023000	Marmota_marmota_marmota
MGP_SPRETEiJ_P0085267	MGP_SPRETEiJ_G0031509	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000112736	ENSMUSG00000051900	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000033050	ENSMSIG00000027577	Mus_spicilegus
MGP_CAROLIEiJ_P0081877	MGP_CAROLIEiJ_G0030395	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0018667	MGP_PahariEiJ_G0013605	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000001933	ENSRNOG00000015783	Rattus_norvegicus
ENSMUGP00000008585	ENSMUGG00000007659	Meriones_unguiculatus
ENSCGRP00000016450	ENSCGRG00000011945	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015017896	ENSCGRG00015013661	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001019350	ENSCGRG00001018806	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000015614	ENSMAUG00000014981	Mesocricetus_auratus
ENSMOCP00000003689	ENSMOCG00000002932	Microtus_ochrogaster
ENSPEMP00000031171	ENSPEMG00000018760	Peromyscus_maniculatus_bairdii
ENSOCUP00000023650	ENSOCUG00000022812	Oryctolagus_cuniculus
ENSOPRP00000005875	ENSOPRG00000006422	Ochotona_princeps
ENSPSMP00000025875	ENSPSMG00000018132	Prolemur_simus
ENSOGAP00000015668	ENSOGAG00000025478	Otolemur_garnettii
ENSCCNP00000006578	ENSCCNG00000006970	Castor_canadensis
ENSUMAP00000012976	ENSUMAG00000009576	Ursus_maritimus
ENSUAMP00000010547	ENSUAMG00000008668	Ursus_americanus
ENSAMEP00000000834	ENSAMEG00000000805	Ailuropoda_melanoleuca
ENSAMEP00000004003	ENSAMEG00000003801	Ailuropoda_melanoleuca
ENSMPUP00000013379	ENSMPUG00000013481	Mustela_putorius_furo
ENSNVIP00000005523	ENSNVIG00000004398	Neovison_vison
ENSCAFP00020027528	ENSCAFG00020021558	Canis_lupus_dingo
ENSCAFP00000058492	ENSCAFG00000017787	Canis_lupus_familiaris
ENSVVUP00000009326	ENSVVUG00000006764	Vulpes_vulpes
ENSFCAP00000055865	ENSFCAG00000047474	Felis_catus
ENSEASP00005003265	ENSEASG00005002490	Equus_asinus_asinus
ENSECAP00000019632	ENSECAG00000022181	Equus_caballus
ENSMLUP00000017514	ENSMLUG00000008279	Myotis_lucifugus
ENSBMUP00000011553	ENSBMUG00000008874	Bos_mutus
ENSBMUP00000014010	ENSBMUG00000010689	Bos_mutus
ENSBIXP00000028319	ENSBIXG00000009534	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000072598	ENSBTAG00000035915	Bos_taurus
ENSBBBP00000012820	ENSBBBG00000020545	Bison_bison_bison
ENSBIXP00005014705	ENSBIXG00005002644	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOARP00000015967	ENSOARG00000014872	Ovis_aries
ENSCHIP00000013710	ENSCHIG00000015021	Capra_hircus
ENSSSCP00000047939	ENSSSCG00000035000	Sus_scrofa_strain_reference
ENSVPAP00000002908	ENSVPAG00000003143	Vicugna_pacos
ENSCHOP00000009298	ENSCHOG00000010518	Choloepus_hoffmanni
ENSPVAP00000007689	ENSPVAG00000008140	Pteropus_vampyrus
ENSEEUP00000003307	ENSEEUG00000003636	Erinaceus_europaeus
ENSDNOP00000031518	ENSDNOG00000039023	Dasypus_novemcinctus
ENSLAFP00000002633	ENSLAFG00000003171	Loxodonta_africana
ENSETEP00000000749	ENSETEG00000000925	Echinops_telfairi
